sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Direct Object,Indirect Object,"""Of"" Object",Adverbial Preposition,Subject,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,subject,object,advcl
<p> Perhaps the most difficult element of a good induction program to work out with a school district is the arranging of release time for both the new teacher and his/her mentor .,<p>/NN Perhaps/RB the/DT most/RBS difficult/JJ element/NN of/IN a/DT good/JJ induction/NN program/NN to/TO work/VB out/RP with/IN a/DT school/NN district/NN is/VBZ the/DT arranging/NN of/IN release/NN time/NN for/IN both/PDT the/DT new/JJ teacher/NN and/CC his/her/NN mentor/NN ./.,"nsubj(arranging-21, <p>-1) advmod(arranging-21, Perhaps-2) det(element-6, the-3) advmod(difficult-5, most-4) amod(element-6, difficult-5) nsubj(arranging-21, element-6) case(program-11, of-7) det(program-11, a-8) amod(program-11, good-9) compound(program-11, induction-10) nmod:of(element-6, program-11) mark(work-13, to-12) acl(element-6, work-13) compound:prt(work-13, out-14) case(district-18, with-15) det(district-18, a-16) compound(district-18, school-17) nmod:with(work-13, district-18) cop(arranging-21, is-19) det(arranging-21, the-20) root(ROOT-0, arranging-21) case(time-24, of-22) compound(time-24, release-23) nmod:of(arranging-21, time-24) case(teacher-29, for-25) cc:preconj(teacher-29, both-26) det(teacher-29, the-27) amod(teacher-29, new-28) nmod:for(time-24, teacher-29) cc(teacher-29, and-30) compound(mentor-32, his/her-31) nmod:for(time-24, mentor-32) conj:and(teacher-29, mentor-32)  ",arranging,21,"nsubj(arranging-21, <p>-1) advmod(arranging-21, Perhaps-2) nsubj(arranging-21, element-6) cop(arranging-21, is-19) det(arranging-21, the-20) nmod:of(arranging-21, time-24) root(ROOT-0, arranging-21) ",a school district is the arranging of release time for both,NN,[],,,,,[],[],['time'],[],['element'],[],[],[],[],['the'],[],[],[],[],[],[],[],['Perhaps'],[],,,singular,,[],[]
"In the same way that Dvorak 's New World symphony weaves authentic and composed "" folk "" melodies to paint a picture of Americana , the members of the Saint Petersburg Society for Jewish Folk Music devoted themselves to first arranging and finally creating new "" Jewish "" tunes .","In/IN the/DT same/JJ way/NN that/DT Dvorak/NNP 's/POS New/NNP World/NNP symphony/NN weaves/NNS authentic/VBZ and/CC composed/VBN ''/'' folk/NN ''/'' melodies/VBG to/TO paint/VB a/DT picture/NN of/IN Americana/NNS ,/, the/DT members/NNS of/IN the/DT Saint/NNP Petersburg/NNP Society/NNP for/IN Jewish/JJ Folk/NN Music/NN devoted/VBN themselves/PRP to/TO first/JJ arranging/NNS and/CC finally/RB creating/VBG new/JJ ''/'' Jewish/NNS ''/'' tunes/VBZ ./.","case(way-4, In-1) det(way-4, the-2) amod(way-4, same-3) nmod:in(authentic-12, way-4) det(Dvorak-6, that-5) nmod:poss(weaves-11, Dvorak-6) case(Dvorak-6, 's-7) compound(weaves-11, New-8) compound(weaves-11, World-9) compound(weaves-11, symphony-10) nsubj(authentic-12, weaves-11) nsubj(composed-14, weaves-11) root(ROOT-0, authentic-12) cc(authentic-12, and-13) conj:and(authentic-12, composed-14) dobj(composed-14, folk-16) dep(composed-14, melodies-18) mark(paint-20, to-19) xcomp(melodies-18, paint-20) det(picture-22, a-21) dobj(paint-20, picture-22) case(Americana-24, of-23) nmod:of(picture-22, Americana-24) det(members-27, the-26) appos(Americana-24, members-27) case(Society-32, of-28) det(Society-32, the-29) compound(Society-32, Saint-30) compound(Society-32, Petersburg-31) nmod:of(members-27, Society-32) case(Music-36, for-33) amod(Music-36, Jewish-34) compound(Music-36, Folk-35) nmod:for(paint-20, Music-36) acl(Music-36, devoted-37) dobj(devoted-37, themselves-38) case(arranging-41, to-39) amod(arranging-41, first-40) nmod:to(devoted-37, arranging-41) cc(melodies-18, and-42) advmod(creating-44, finally-43) dep(composed-14, creating-44) conj:and(melodies-18, creating-44) amod(Jewish-47, new-45) dobj(creating-44, Jewish-47) acl:relcl(Jewish-47, tunes-49)  ",arranging,41,"case(arranging-41, to-39) amod(arranging-41, first-40) nmod:to(devoted-37, arranging-41) ","Music devoted themselves to first arranging and finally creating new """,NNS,[],,,,,[],[],[],[],[],"[('to', 'devoted')]",['to'],['devoted'],[],[],[],[],['first'],[],[],[],['to'],[],[],,,ambiguous,,[],[]
"<p> Yet particularities skillfully arranged , or simply allowed to coexist without much visible arranging , can also create ironic dislocation .","<p>/NN Yet/RB particularities/NNS skillfully/RB arranged/VBD ,/, or/CC simply/RB allowed/VBD to/TO coexist/VB without/IN much/RB visible/JJ arranging/NNS ,/, can/MD also/RB create/VB ironic/JJ dislocation/NN ./.","nsubj(arranged-5, <p>-1) nsubj(allowed-9, <p>-1) nsubj(coexist-11, <p>-1) nsubj(create-19, <p>-1) advmod(arranged-5, Yet-2) nsubj(arranged-5, particularities-3) advmod(arranged-5, skillfully-4) root(ROOT-0, arranged-5) cc(arranged-5, or-7) advmod(allowed-9, simply-8) conj:or(arranged-5, allowed-9) mark(coexist-11, to-10) xcomp(allowed-9, coexist-11) case(arranging-15, without-12) advmod(visible-14, much-13) amod(arranging-15, visible-14) nmod:without(coexist-11, arranging-15) aux(create-19, can-17) advmod(create-19, also-18) conj:or(arranged-5, create-19) amod(dislocation-21, ironic-20) dobj(create-19, dislocation-21)  ",arranging,15,"case(arranging-15, without-12) amod(arranging-15, visible-14) nmod:without(coexist-11, arranging-15) ","to coexist without much visible arranging , can also create ironic",NNS,[],,,,,[],[],[],[],[],"[('without', 'coexist')]",['without'],['coexist'],[],[],[],[],['visible'],[],[],[],['without'],[],[],,,ambiguous,,[],[]
Perhaps this small amount of use is related to the actual number of band and orchestra directors who do their own arranging or write their own drills .,Perhaps/RB this/DT small/JJ amount/NN of/IN use/NN is/VBZ related/VBN to/TO the/DT actual/JJ number/NN of/IN band/NN and/CC orchestra/NN directors/NNS who/WP do/VBP their/PRP$ own/JJ arranging/NN or/CC write/VBP their/PRP$ own/JJ drills/NNS ./.," advmod(related-8, Perhaps-1) det(amount-4, this-2) amod(amount-4, small-3) nsubjpass(related-8, amount-4) case(use-6, of-5) nmod:of(amount-4, use-6) auxpass(related-8, is-7) root(ROOT-0, related-8) case(number-12, to-9) det(number-12, the-10) amod(number-12, actual-11) nmod:to(related-8, number-12) nsubj(do-19, number-12) nsubj(write-24, number-12) case(directors-17, of-13) compound(directors-17, band-14) cc(band-14, and-15) conj:and(band-14, orchestra-16) compound(directors-17, orchestra-16) nmod:of(number-12, directors-17) ref(number-12, who-18) acl:relcl(number-12, do-19) nmod:poss(arranging-22, their-20) amod(arranging-22, own-21) dobj(do-19, arranging-22) cc(do-19, or-23) acl:relcl(number-12, write-24) conj:or(do-19, write-24) nmod:poss(drills-27, their-25) amod(drills-27, own-26) dobj(write-24, drills-27)  ",arranging,22,"nmod:poss(arranging-22, their-20) amod(arranging-22, own-21) dobj(do-19, arranging-22) ",directors who do their own arranging or write their own drills,NN,[],do,VBP,object,[],[],[],[],[],[],[],[],[],[],[],[],[],['own'],[],['their'],[],[],[],[],,,singular,plural,[],['do']
"19 This move was also reflected in the artists ' image ( dressed not anymore as caipiras but with United States country and western clothes , careful hair style , jewelry ) , performance ( careful intonation ) , arranging ( written-out scores ) , and orchestration ( addition of strings ) .","19/CD This/DT move/NN was/VBD also/RB reflected/VBN in/IN the/DT artists/NNS '/POS image/NN -LRB-/-LRB- dressed/VBN not/RB anymore/RB as/IN caipiras/NNS but/CC with/IN United/NNP States/NNPS country/NN and/CC western/JJ clothes/NNS ,/, careful/JJ hair/NN style/NN ,/, jewelry/NN -RRB-/-RRB- ,/, performance/NN -LRB-/-LRB- careful/JJ intonation/NN -RRB-/-RRB- ,/, arranging/NNP -LRB-/-LRB- written-out/JJ scores/NNS -RRB-/-RRB- ,/, and/CC orchestration/NN -LRB-/-LRB- addition/NN of/IN strings/NNS -RRB-/-RRB- ./."," nsubjpass(reflected-6, 19-1) det(move-3, This-2) dep(19-1, move-3) auxpass(reflected-6, was-4) advmod(reflected-6, also-5) root(ROOT-0, reflected-6) case(image-11, in-7) det(artists-9, the-8) nmod:poss(image-11, artists-9) case(artists-9, '-10) nmod:in(reflected-6, image-11) dep(image-11, dressed-13) dep(image-11, dressed-13') conj:but(dressed-13, dressed-13') neg(caipiras-17, not-14) advmod(caipiras-17, anymore-15) case(caipiras-17, as-16) nmod:as(dressed-13, caipiras-17) cc(dressed-13, but-18) case(country-22, with-19) compound(country-22, United-20) compound(country-22, States-21) nmod:with(dressed-13', country-22) cc(country-22, and-23) amod(clothes-25, western-24) nmod:with(dressed-13', clothes-25) conj:and(country-22, clothes-25) amod(style-29, careful-27) compound(style-29, hair-28) appos(clothes-25, style-29) appos(clothes-25, jewelry-31) appos(image-11, performance-34) amod(intonation-37, careful-36) appos(performance-34, intonation-37) appos(image-11, arranging-40) conj:and(performance-34, arranging-40) amod(scores-43, written-out-42) appos(arranging-40, scores-43) cc(performance-34, and-46) appos(image-11, orchestration-47) conj:and(performance-34, orchestration-47) dep(orchestration-47, addition-49) case(strings-51, of-50) nmod:of(addition-49, strings-51)  ",arranging,40,"appos(arranging-40, scores-43) appos(image-11, arranging-40) conj:and(performance-34, arranging-40) ","( careful intonation ) , arranging ( written-out scores ) ,",NNP,[],,,,,[],[],[],[],[],[],[],[],[],[],"[('and', 'performance')]",[],[],[],[],[],[],[],"['modified', 'scores', 'modifier', 'image']",,,singular,,[],[]
All this needed arranging and the weather was grey so we asked to do some interiors .,All/PDT this/DT needed/VBN arranging/NNS and/CC the/DT weather/NN was/VBD grey/JJ so/IN we/PRP asked/VBD to/TO do/VB some/DT interiors/NNS ./.," det:predet(arranging-4, All-1) det(arranging-4, this-2) amod(arranging-4, needed-3) nsubj(grey-9, arranging-4) cc(arranging-4, and-5) det(weather-7, the-6) conj:and(arranging-4, weather-7) nsubj(grey-9, weather-7) cop(grey-9, was-8) root(ROOT-0, grey-9) mark(asked-12, so-10) nsubj(asked-12, we-11) nsubj(do-14, we-11) advcl(grey-9, asked-12) mark(do-14, to-13) xcomp(asked-12, do-14) det(interiors-16, some-15) dobj(do-14, interiors-16)  ",arranging,4,"det:predet(arranging-4, All-1) det(arranging-4, this-2) amod(arranging-4, needed-3) cc(arranging-4, and-5) conj:and(arranging-4, weather-7) nsubj(grey-9, arranging-4) ",All this needed arranging and the weather was grey,NNS,[],was,VBD,subject,[],[],[],[],[],[],[],[],[],[],"['All', 'this']","[('and', 'weather')]",[],['needed'],[],[],[],[],[],[],,,ambiguous,ambiguous,['grey'],[]
"Designers blend the shoin and sukiya styles together to produce the three traditional artistic styles of hard , medium , and soft ( Figure 3 ) , also expressed in calligraphy , flower arranging , and other arts .","Designers/RB blend/VB the/DT shoin/NN and/CC sukiya/NN styles/NNS together/RB to/TO produce/VB the/DT three/CD traditional/JJ artistic/JJ styles/NNS of/IN hard/JJ ,/, medium/JJ ,/, and/CC soft/JJ -LRB-/-LRB- Figure/NN 3/CD -RRB-/-RRB- ,/, also/RB expressed/VBN in/IN calligraphy/NN ,/, flower/NN arranging/NNS ,/, and/CC other/JJ arts/NNS ./."," advmod(blend-2, Designers-1) root(ROOT-0, blend-2) det(styles-7, the-3) compound(styles-7, shoin-4) cc(shoin-4, and-5) conj:and(shoin-4, sukiya-6) compound(styles-7, sukiya-6) dobj(blend-2, styles-7) advmod(blend-2, together-8) mark(produce-10, to-9) advcl(blend-2, produce-10) det(styles-15, the-11) nummod(styles-15, three-12) amod(styles-15, traditional-13) amod(styles-15, artistic-14) dobj(produce-10, styles-15) case(hard-17, of-16) acl:of(styles-15, hard-17) acl:of(styles-15, medium-19) conj:and(hard-17, medium-19) cc(hard-17, and-21) acl:of(styles-15, soft-22) conj:and(hard-17, soft-22) dep(soft-22, Figure-24) nummod(Figure-24, 3-25) advmod(expressed-29, also-28) acl(styles-15, expressed-29) case(calligraphy-31, in-30) nmod:in(expressed-29, calligraphy-31) compound(arranging-34, flower-33) nmod:in(expressed-29, arranging-34) conj:and(calligraphy-31, arranging-34) cc(calligraphy-31, and-36) amod(arts-38, other-37) nmod:in(expressed-29, arts-38) conj:and(calligraphy-31, arts-38)  ",arranging,34,"compound(arranging-34, flower-33) nmod:in(expressed-29, arranging-34) conj:and(calligraphy-31, arranging-34) ","expressed in calligraphy , flower arranging , and other arts .",NNS,[],,,,,[],[],[],[],[],"[('in', 'expressed')]",['in'],['expressed'],[],[],"[('and', 'calligraphy')]",['flower'],[],[],[],[],[],[],[],,,ambiguous,,[],[]
"<p> Two examples of this principle may help clarify its significance : The art of Japanese flower arranging , Ikebana , involves a process of mindfully and patiently letting the whole emerge .","<p>/CD Two/CD examples/NNS of/IN this/DT principle/NN may/MD help/VB clarify/VB its/PRP$ significance/NN :/: The/DT art/NN of/IN Japanese/JJ flower/NN arranging/NNS ,/, Ikebana/NNP ,/, involves/VBZ a/DT process/NN of/IN mindfully/NN and/CC patiently/NN letting/VBG the/DT whole/JJ emerge/NN ./."," nummod(examples-3, <p>-1) nummod(examples-3, Two-2) nsubj(help-8, examples-3) case(principle-6, of-4) det(principle-6, this-5) nmod:of(examples-3, principle-6) aux(help-8, may-7) root(ROOT-0, help-8) xcomp(help-8, clarify-9) nmod:poss(significance-11, its-10) dobj(clarify-9, significance-11) det(art-14, The-13) nsubj(involves-22, art-14) case(arranging-18, of-15) amod(arranging-18, Japanese-16) compound(arranging-18, flower-17) nmod:of(art-14, arranging-18) appos(arranging-18, Ikebana-20) parataxis(help-8, involves-22) det(process-24, a-23) nsubj(letting-29, process-24) case(mindfully-26, of-25) nmod:of(process-24, mindfully-26) cc(mindfully-26, and-27) nmod:of(process-24, patiently-28) conj:and(mindfully-26, patiently-28) dep(involves-22, letting-29) det(emerge-32, the-30) amod(emerge-32, whole-31) dobj(letting-29, emerge-32)  ",arranging,18,"case(arranging-18, of-15) amod(arranging-18, Japanese-16) compound(arranging-18, flower-17) appos(arranging-18, Ikebana-20) nmod:of(art-14, arranging-18) ","The art of Japanese flower arranging , Ikebana , involves a",NNS,[],,,,,[],[],[],[],[],"[('of', 'art')]",['of'],['art'],[],[],[],['flower'],['Japanese'],[],[],[],['of'],[],"['modified', 'Ikebana']",,,ambiguous,,[],[]
Classical music provides a very large window onto societies and their arranging of landscapes to serve cultural aspirations .,Classical/JJ music/NN provides/VBZ a/DT very/RB large/JJ window/NN onto/IN societies/NNS and/CC their/PRP$ arranging/NN of/IN landscapes/NNS to/TO serve/VB cultural/JJ aspirations/NNS ./.," amod(music-2, Classical-1) nsubj(provides-3, music-2) root(ROOT-0, provides-3) det(window-7, a-4) advmod(large-6, very-5) amod(window-7, large-6) dobj(provides-3, window-7) case(societies-9, onto-8) nmod:onto(provides-3, societies-9) cc(societies-9, and-10) nmod:poss(arranging-12, their-11) nmod:onto(provides-3, arranging-12) conj:and(societies-9, arranging-12) case(landscapes-14, of-13) nmod:of(arranging-12, landscapes-14) mark(serve-16, to-15) advcl(provides-3, serve-16) amod(aspirations-18, cultural-17) dobj(serve-16, aspirations-18)  ",arranging,12,"nmod:poss(arranging-12, their-11) nmod:of(arranging-12, landscapes-14) nmod:onto(provides-3, arranging-12) conj:and(societies-9, arranging-12) ",window onto societies and their arranging of landscapes to serve cultural,NN,[],,,,,[],[],['landscapes'],[],[],"[('onto', 'provides')]",['onto'],['provides'],[],[],"[('and', 'societies')]",[],[],[],['their'],[],[],[],[],,,singular,,[],[]
"<p> The Koo-Wang meeting yielded several points of consensus on future SEF-ARATS interactions , including ( 1 ) strengthening cross-strait dialogue , ( 2 ) reactivating institutionalized consultations , ( 3 ) promoting cross-strait visits by delegations consisting of members at various levels of the two associations , ( 4 ) assisting each other in handling cases ( of civilian distress ) that arise in the course of cross-strait exchanges , and ( 5 ) arranging for a visit to Taiwan by Mr. Wang Daohan at an opportune time .","<p>/RB The/DT Koo-Wang/NNP meeting/NN yielded/VBD several/JJ points/NNS of/IN consensus/NN on/IN future/JJ SEF-ARATS/NNP interactions/NNS ,/, including/VBG -LRB-/-LRB- 1/CD -RRB-/-RRB- strengthening/JJ cross-strait/JJ dialogue/NN ,/, -LRB-/-LRB- 2/CD -RRB-/-RRB- reactivating/VBG institutionalized/JJ consultations/NNS ,/, -LRB-/-LRB- 3/LS -RRB-/-RRB- promoting/JJ cross-strait/JJ visits/NNS by/IN delegations/NNS consisting/VBG of/IN members/NNS at/IN various/JJ levels/NNS of/IN the/DT two/CD associations/NNS ,/, -LRB-/-LRB- 4/CD -RRB-/-RRB- assisting/VBG each/DT other/JJ in/IN handling/VBG cases/NNS -LRB-/-LRB- of/IN civilian/JJ distress/NN -RRB-/-RRB- that/WDT arise/VBP in/IN the/DT course/NN of/IN cross-strait/JJ exchanges/NNS ,/, and/CC -LRB-/-LRB- 5/CD -RRB-/-RRB- arranging/NNP for/IN a/DT visit/NN to/TO Taiwan/NNP by/IN Mr./NNP Wang/NNP Daohan/NNP at/IN an/DT opportune/JJ time/NN ./."," advmod(yielded-5, <p>-1) det(meeting-4, The-2) compound(meeting-4, Koo-Wang-3) nsubj(yielded-5, meeting-4) root(ROOT-0, yielded-5) amod(points-7, several-6) dobj(yielded-5, points-7) case(consensus-9, of-8) nmod:of(points-7, consensus-9) case(interactions-13, on-10) amod(interactions-13, future-11) compound(interactions-13, SEF-ARATS-12) nmod:on(consensus-9, interactions-13) case(dialogue-21, including-15) dep(dialogue-21, 1-17) amod(dialogue-21, strengthening-19) amod(dialogue-21, cross-strait-20) nmod:including(consensus-9, dialogue-21) appos(dialogue-21, 2-24) acl(points-7, reactivating-26) amod(consultations-28, institutionalized-27) dobj(reactivating-26, consultations-28) dep(visits-35, 3-31) amod(visits-35, promoting-33) amod(visits-35, cross-strait-34) appos(consultations-28, visits-35) case(delegations-37, by-36) nmod:by(visits-35, delegations-37) acl(delegations-37, consisting-38) case(members-40, of-39) nmod:of(consisting-38, members-40) case(levels-43, at-41) amod(levels-43, various-42) nmod:at(members-40, levels-43) case(associations-47, of-44) det(associations-47, the-45) nummod(associations-47, two-46) nmod:of(levels-43, associations-47) appos(members-40, 4-50) acl(members-40, assisting-52) det(other-54, each-53) dobj(assisting-52, other-54) mark(handling-56, in-55) advcl(assisting-52, handling-56) dobj(handling-56, cases-57) nsubj(arise-64, cases-57) case(distress-61, of-59) amod(distress-61, civilian-60) nmod:of(cases-57, distress-61) ref(cases-57, that-63) acl:relcl(cases-57, arise-64) case(course-67, in-65) det(course-67, the-66) nmod:in(arise-64, course-67) case(exchanges-70, of-68) amod(exchanges-70, cross-strait-69) nmod:of(course-67, exchanges-70) cc(consultations-28, and-72) appos(consultations-28, 5-74) dobj(reactivating-26, arranging-76) conj:and(consultations-28, arranging-76) case(visit-79, for-77) det(visit-79, a-78) nmod:for(yielded-5, visit-79) case(Taiwan-81, to-80) nmod:to(visit-79, Taiwan-81) case(Daohan-85, by-82) compound(Daohan-85, Mr.-83) compound(Daohan-85, Wang-84) nmod:by(yielded-5, Daohan-85) case(time-89, at-86) det(time-89, an-87) amod(time-89, opportune-88) nmod:at(Daohan-85, time-89)  ",arranging,76,"dobj(reactivating-26, arranging-76) conj:and(consultations-28, arranging-76) ",", and ( 5 ) arranging for a visit to Taiwan",NNP,[],reactivating,VBG,object,[],[],[],[],[],[],[],[],[],[],[],"[('and', 'consultations')]",[],[],[],[],[],[],[],[],,,singular,ambiguous,[],['reactivating']
