,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,1.0,0.0,0.0,0.0,0.0,0.0,0.4
subject,0.5,0.0,0.5,0.0,0.0,0.0,0.13333333333333333
object,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2
adjectival modifier,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.4
Adverbial Modifier,0.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666667
['in'],1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
['without'],1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
['onto'],0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667
['of'],1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
['for'],1.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
['to'],1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
