,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.01694915254237288,0,0.0,0.0,0.0,0.0
subject,0.002824858757062147,0,1.0,0.0,0.0,0.0
object,0.005649717514124294,0,0.0,0.0,1.0,0.0
adjectival modifier,0.011299435028248588,0,1.0,0.0,1.0,0.0
Adverbial Modifier,0.08757062146892655,0,0.0,1.0,0.0,0.0
['in'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['without'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['at'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['onto'],0.0,0,0.0,0.0,0.0,1.0
['of'],0.005649717514124294,0,0.0,0.0,0.0,0.0
['for'],0.00847457627118644,0,0.0,0.0,0.0,0.0
['to'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['about'],0.00847457627118644,0,0.0,0.0,0.0,0.0
['that'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['instead'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['while'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['in'],0.07909604519774012,0,0.0,0.0,0.0,0.0
['from'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['toward'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['before'],0.014124293785310734,0,0.0,0.0,0.0,0.0
['at'],0.00847457627118644,0,0.0,0.0,0.0,0.0
['on'],0.005649717514124294,0,0.0,0.0,0.0,0.0
['than'],0.005649717514124294,0,0.0,0.0,0.0,0.0
['into'],0.002824858757062147,0,0.0,0.0,0.0,0.0
['of'],0.06497175141242938,0,0.0,0.0,0.0,0.0
['for'],0.05084745762711865,0,0.0,0.0,0.0,0.0
['after'],0.00847457627118644,0,0.0,0.0,0.0,0.0
['to'],0.022598870056497175,0,0.0,0.0,0.0,0.0
['by'],0.08192090395480225,0,0.0,0.0,0.0,0.0
Total,0.9888268156424581,0.0,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.002793296089385475
