,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.2727272727272727,0.0,0.4727272727272727,0.10909090909090909,0.0,0.0,0.12761020881670534
subject,0.3888888888888889,0.0,0.5370370370370371,0.07407407407407407,0.0,0.0,0.12529002320185614
object,0.22151898734177214,0.0,0.620253164556962,0.08227848101265822,0.0,0.0,0.3665893271461717
adjectival modifier,0.29069767441860467,0.046511627906976744,0.3953488372093023,0.18604651162790697,0.011627906976744186,0.011627906976744186,0.19953596287703015
Adverbial Modifier,0.5833333333333334,0.0,0.4166666666666667,0.0,0.0,0.0,0.027842227378190254
['as'],1.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
['in'],0.08333333333333333,0.08333333333333333,0.25,0.5,0.0,0.0,0.027842227378190254
['despite'],0.0,0.0,0.5,0.5,0.0,0.0,0.004640371229698376
['following'],0.0,0.0,1.0,0.0,0.0,0.0,0.0069605568445475635
['after'],0.18181818181818182,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.025522041763341066
['as_to'],0.0,0.0,0.0,1.0,0.0,0.0,0.002320185614849188
['from'],0.4375,0.0,0.375,0.0625,0.0625,0.0625,0.037122969837587005
['but'],1.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
['at'],1.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
['on'],0.0,0.0,0.0,1.0,0.0,0.0,0.002320185614849188
['over'],0.0,0.0,0.0,1.0,0.0,0.0,0.004640371229698376
['npmod'],0.5,0.0,0.5,0.0,0.0,0.0,0.004640371229698376
['besides'],0.0,0.0,1.0,0.0,0.0,0.0,0.002320185614849188
['upon'],1.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
['during'],1.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
['including'],0.5,0.0,0.0,0.5,0.0,0.0,0.004640371229698376
['about'],0.0,0.0,0.75,0.25,0.0,0.0,0.009280742459396751
['involving'],0.5,0.5,0.0,0.0,0.0,0.0,0.004640371229698376
['through'],1.0,0.0,0.0,0.0,0.0,0.0,0.004640371229698376
['of'],0.5,0.047619047619047616,0.2619047619047619,0.09523809523809523,0.0,0.0,0.09744779582366589
['for'],0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.013921113689095127
['to'],0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.027842227378190254
['with'],0.18181818181818182,0.0,0.45454545454545453,0.36363636363636365,0.0,0.0,0.025522041763341066
['by'],0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.016241299303944315
['that'] -adv,0.0,0.0,1.0,0.0,0.0,0.0,0.002320185614849188
