,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.08620689655172414,0.0,0.1452513966480447,0.125,0.375,0.0
subject,0.1206896551724138,0.0,0.16201117318435754,0.08333333333333333,0.0,0.0
object,0.20114942528735633,0.0,0.547486033519553,0.2708333333333333,0.5,0.0
adjectival modifier,0.14367816091954022,0.6666666666666666,0.18994413407821228,0.3333333333333333,0.2916666666666667,1.0
Adverbial Modifier,0.040229885057471264,0.0,0.027932960893854747,0.0,0.0,0.0
['as'],0.005747126436781609,0.0,0.0,0.0,0.0,0.0
['in'],0.005747126436781609,0.16666666666666666,0.01675977653631285,0.125,0.041666666666666664,0.0
['despite'],0.0,0.0,0.00558659217877095,0.020833333333333332,0.0,0.0
['following'],0.0,0.0,0.01675977653631285,0.0,0.041666666666666664,0.0
['after'],0.011494252873563218,0.0,0.03910614525139665,0.020833333333333332,0.041666666666666664,0.0
['as_to'],0.0,0.0,0.0,0.020833333333333332,0.0,0.0
['from'],0.040229885057471264,0.0,0.0335195530726257,0.020833333333333332,0.041666666666666664,1.0
['but'],0.005747126436781609,0.0,0.0,0.0,0.0,0.0
['at'],0.005747126436781609,0.0,0.0,0.0,0.0,0.0
['on'],0.0,0.0,0.0,0.020833333333333332,0.0,0.0
['over'],0.0,0.0,0.0,0.041666666666666664,0.0,0.0
['npmod'],0.005747126436781609,0.0,0.00558659217877095,0.0,0.0,0.0
['besides'],0.0,0.0,0.00558659217877095,0.0,0.0,0.0
['upon'],0.005747126436781609,0.0,0.0,0.0,0.0,0.0
['during'],0.005747126436781609,0.0,0.0,0.0,0.0,0.0
['including'],0.005747126436781609,0.0,0.0,0.020833333333333332,0.0,0.0
['about'],0.0,0.0,0.01675977653631285,0.020833333333333332,0.0,0.0
['involving'],0.005747126436781609,0.16666666666666666,0.0,0.0,0.0,0.0
['through'],0.011494252873563218,0.0,0.0,0.0,0.0,0.0
['of'],0.1206896551724138,0.3333333333333333,0.061452513966480445,0.08333333333333333,0.16666666666666666,0.0
['for'],0.022988505747126436,0.0,0.00558659217877095,0.020833333333333332,0.0,0.0
['to'],0.034482758620689655,0.0,0.0223463687150838,0.041666666666666664,0.0,0.0
['with'],0.011494252873563218,0.0,0.027932960893854747,0.08333333333333333,0.0,0.0
['by'],0.017241379310344827,0.3333333333333333,0.00558659217877095,0.020833333333333332,0.0,0.0
['that'],0.0,0.0,0.00558659217877095,0.0,0.0,0.0
Total,0.4037122969837587,0.013921113689095127,0.41531322505800466,0.11136890951276102,0.05568445475638051,0.002320185614849188
