sent,tags,parse
"( Patience , Hardy had written in "" Tess of the D'Urbervilles , "" is "" that blending of moral courage with physical timidity . ""","-LRB-/-LRB- Patience/NNP ,/, Hardy/NNP had/VBD written/VBN in/IN ''/'' Tess/NNP of/IN the/DT D'Urbervilles/NNPS ,/, ''/'' is/VBZ ''/'' that/IN blending/VBG of/IN moral/JJ courage/NN with/IN physical/JJ timidity/NN ./. ''/''","compound(Hardy-4, Patience-2) nsubj(written-6, Hardy-4) aux(written-6, had-5) root(ROOT-0, written-6) case(Tess-9, in-7) nmod:in(written-6, Tess-9) case(D'Urbervilles-12, of-10) det(D'Urbervilles-12, the-11) nmod:of(Tess-9, D'Urbervilles-12) dep(written-6, is-15) mark(blending-18, that-17) ccomp(written-6, blending-18) case(courage-21, of-19) amod(courage-21, moral-20) nmod:of(blending-18, courage-21) case(timidity-24, with-22) amod(timidity-24, physical-23) nmod:with(blending-18, timidity-24)  "
"<p> Since the discovery by Marija Gimbutas of the ancient Earth Goddess cultures of aboriginal Europe , we must regard Germanic mythology ( as well as Greek and Mesopotamian mythology ) as a blending or hybrid of the original Earth Goddess religion with the later sky-god myths of the Indo-Aryans .","<p>/RB Since/IN the/DT discovery/NN by/IN Marija/NNP Gimbutas/NNP of/IN the/DT ancient/JJ Earth/NNP Goddess/NNP cultures/NNS of/IN aboriginal/JJ Europe/NNP ,/, we/PRP must/MD regard/VB Germanic/JJ mythology/NN -LRB-/-LRB- as/RB well/RB as/IN Greek/JJ and/CC Mesopotamian/JJ mythology/NN -RRB-/-RRB- as/IN a/DT blending/NN or/CC hybrid/NN of/IN the/DT original/JJ Earth/NNP Goddess/NNP religion/NN with/IN the/DT later/RB sky-god/JJ myths/NNS of/IN the/DT Indo-Aryans/NNP ./.","advmod(discovery-4, <p>-1) case(discovery-4, Since-2) det(discovery-4, the-3) nmod:since(regard-20, discovery-4) case(Gimbutas-7, by-5) compound(Gimbutas-7, Marija-6) nmod:by(discovery-4, Gimbutas-7) case(cultures-13, of-8) det(cultures-13, the-9) amod(cultures-13, ancient-10) compound(cultures-13, Earth-11) compound(cultures-13, Goddess-12) nmod:of(Gimbutas-7, cultures-13) case(Europe-16, of-14) amod(Europe-16, aboriginal-15) nmod:of(cultures-13, Europe-16) nsubj(regard-20, we-18) aux(regard-20, must-19) root(ROOT-0, regard-20) amod(mythology-22, Germanic-21) dobj(regard-20, mythology-22) cc(Greek-27, as-24) mwe(as-24, well-25) mwe(as-24, as-26) dep(mythology-22, Greek-27) cc(Greek-27, and-28) amod(mythology-30, Mesopotamian-29) dep(mythology-22, mythology-30) conj:and(Greek-27, mythology-30) case(blending-34, as-32) det(blending-34, a-33) nmod:as(regard-20, blending-34) cc(blending-34, or-35) nmod:as(regard-20, hybrid-36) conj:or(blending-34, hybrid-36) case(religion-42, of-37) det(religion-42, the-38) amod(religion-42, original-39) compound(religion-42, Earth-40) compound(religion-42, Goddess-41) nmod:of(blending-34, religion-42) case(myths-47, with-43) det(myths-47, the-44) advmod(myths-47, later-45) amod(myths-47, sky-god-46) nmod:with(regard-20, myths-47) case(Indo-Aryans-50, of-48) det(Indo-Aryans-50, the-49) nmod:of(myths-47, Indo-Aryans-50)  "
"As Yoshiaki Iisaka pointed out , there is a difference between several religions coexisting in a society , on the one hand , and several kinds of beliefs such as Shinto and Buddhism , blending in one individual , on the other.","As/IN Yoshiaki/NNP Iisaka/NNP pointed/VBD out/RP ,/, there/EX is/VBZ a/DT difference/NN between/IN several/JJ religions/NNS coexisting/VBG in/IN a/DT society/NN ,/, on/IN the/DT one/CD hand/NN ,/, and/CC several/JJ kinds/NNS of/IN beliefs/NNS such/JJ as/IN Shinto/NNP and/CC Buddhism/NNP ,/, blending/VBG in/IN one/CD individual/NN ,/, on/IN the/DT other/JJ ./.","mark(pointed-4, As-1) compound(Iisaka-3, Yoshiaki-2) nsubj(pointed-4, Iisaka-3) advcl(is-8, pointed-4) compound:prt(pointed-4, out-5) expl(is-8, there-7) root(ROOT-0, is-8) det(difference-10, a-9) nsubj(is-8, difference-10) case(religions-13, between-11) amod(religions-13, several-12) nmod:between(difference-10, religions-13) acl(religions-13, coexisting-14) case(society-17, in-15) det(society-17, a-16) nmod:in(coexisting-14, society-17) case(hand-22, on-19) det(hand-22, the-20) nummod(hand-22, one-21) nmod:on(religions-13, hand-22) cc(hand-22, and-24) amod(kinds-26, several-25) nmod:on(religions-13, kinds-26) conj:and(hand-22, kinds-26) case(beliefs-28, of-27) nmod:of(kinds-26, beliefs-28) case(Shinto-31, such-29) mwe(such-29, as-30) nmod:such_as(beliefs-28, Shinto-31) cc(Shinto-31, and-32) nmod:such_as(beliefs-28, Buddhism-33) conj:and(Shinto-31, Buddhism-33) acl(religions-13, blending-35) case(individual-38, in-36) nummod(individual-38, one-37) nmod:in(blending-35, individual-38) case(other-42, on-40) det(other-42, the-41) nmod:on(religions-13, other-42)  "
"<p> 
##4002186 Mixing and blending citizenship and multicultural education present tremendous challenges as well as opportunities as the United States enters the twenty-first century .",<p>/NNP ##/NNP 4002186/NNP Mixing/NNP and/CC blending/NN citizenship/NN and/CC multicultural/NN education/NN present/VBP tremendous/JJ challenges/NNS as/RB well/RB as/IN opportunities/NNS as/IN the/DT United/NNP States/NNPS enters/VBZ the/DT twenty-first/JJ century/NN ./.,"compound(Mixing-4, <p>-1) compound(Mixing-4, ##-2) compound(Mixing-4, 4002186-3) nsubj(present-11, Mixing-4) cc(Mixing-4, and-5) compound(citizenship-7, blending-6) conj:and(Mixing-4, citizenship-7) nsubj(present-11, citizenship-7) cc(citizenship-7, and-8) compound(education-10, multicultural-9) conj:and(Mixing-4, education-10) conj:and(citizenship-7, education-10) root(ROOT-0, present-11) amod(challenges-13, tremendous-12) dobj(present-11, challenges-13) cc(challenges-13, as-14) mwe(as-14, well-15) mwe(as-14, as-16) dobj(present-11, opportunities-17) conj:and(challenges-13, opportunities-17) mark(enters-22, as-18) det(States-21, the-19) compound(States-21, United-20) nsubj(enters-22, States-21) advcl(present-11, enters-22) det(century-25, the-23) amod(century-25, twenty-first-24) dobj(enters-22, century-25)  "
"( n2 ) Additionally , the capitalist democracies controlled the international financial institutions , such as the International Monetary Fund and the World Bank , whose preference for lending to countries with more liberal regimes added to the human rights pressures of U.S. foreign policy since President Carter and of such organizations as Helsinki Watch and Amnesty International .","-LRB-/-LRB- n2/NNP -RRB-/-RRB- Additionally/RB ,/, the/DT capitalist/JJ democracies/NNS controlled/VBD the/DT international/JJ financial/JJ institutions/NNS ,/, such/JJ as/IN the/DT International/NNP Monetary/NNP Fund/NNP and/CC the/DT World/NNP Bank/NNP ,/, whose/WP$ preference/NN for/IN lending/NN to/TO countries/NNS with/IN more/RBR liberal/JJ regimes/NNS added/VBD to/TO the/DT human/JJ rights/NNS pressures/NNS of/IN U.S./NNP foreign/JJ policy/NN since/IN President/NNP Carter/NNP and/CC of/IN such/JJ organizations/NNS as/IN Helsinki/NNP Watch/NNP and/CC Amnesty/NNP International/NNP ./.","ccomp(controlled-9, n2-2) advmod(n2-2, Additionally-4) det(democracies-8, the-6) amod(democracies-8, capitalist-7) nsubj(controlled-9, democracies-8) root(ROOT-0, controlled-9) det(institutions-13, the-10) amod(institutions-13, international-11) amod(institutions-13, financial-12) dobj(controlled-9, institutions-13) nmod:poss(preference-27, institutions-13) case(Fund-20, such-15) mwe(such-15, as-16) det(Fund-20, the-17) compound(Fund-20, International-18) compound(Fund-20, Monetary-19) nmod:such_as(institutions-13, Fund-20) cc(Fund-20, and-21) det(Bank-24, the-22) compound(Bank-24, World-23) nmod:such_as(institutions-13, Bank-24) conj:and(Fund-20, Bank-24) ref(institutions-13, whose-26) nsubj(added-36, preference-27) nsubj(added-36', preference-27) case(lending-29, for-28) nmod:for(preference-27, lending-29) case(countries-31, to-30) nmod:to(lending-29, countries-31) case(regimes-35, with-32) advmod(liberal-34, more-33) amod(regimes-35, liberal-34) nmod:with(countries-31, regimes-35) acl:relcl(institutions-13, added-36) acl:relcl(institutions-13, added-36') conj:and(added-36, added-36') case(pressures-41, to-37) det(pressures-41, the-38) amod(pressures-41, human-39) compound(pressures-41, rights-40) nmod:to(added-36, pressures-41) case(policy-45, of-42) compound(policy-45, U.S.-43) amod(policy-45, foreign-44) nmod:of(pressures-41, policy-45) case(Carter-48, since-46) compound(Carter-48, President-47) nmod:since(policy-45, Carter-48) cc(added-36, and-49) case(organizations-52, of-50) amod(organizations-52, such-51) nmod:of(added-36', organizations-52) case(Watch-55, as-53) compound(Watch-55, Helsinki-54) nmod:as(added-36, Watch-55) cc(Watch-55, and-56) compound(International-58, Amnesty-57) nmod:as(added-36, International-58) conj:and(Watch-55, International-58)  "
<p> In this novel setting an economic measure such as the Organization of Petroleum Exporting Countries ' tripling or quadrupling of world oil prices in 1973-74 and again in 1979 had instant global repercussions ; the availability of money deposits from OPEC for global lending by Western banks further aggravated the debt crisis in the Third World .,<p>/RB In/IN this/DT novel/NN setting/NN an/DT economic/JJ measure/NN such/JJ as/IN the/DT Organization/NNP of/IN Petroleum/NNP Exporting/NNP Countries/NNPS '/'' tripling/VBG or/CC quadrupling/NN of/IN world/NN oil/NN prices/NNS in/IN 1973-74/CD and/CC again/RB in/IN 1979/CD had/VBD instant/JJ global/JJ repercussions/NNS ;/: the/DT availability/NN of/IN money/NN deposits/NNS from/IN OPEC/NNP for/IN global/JJ lending/NN by/IN Western/JJ banks/NNS further/RBR aggravated/VBN the/DT debt/NN crisis/NN in/IN the/DT Third/NNP World/NNP ./.,"advmod(aggravated-50, <p>-1) case(setting-5, In-2) det(setting-5, this-3) compound(setting-5, novel-4) nmod:in(aggravated-50, setting-5) det(measure-8, an-6) amod(measure-8, economic-7) nsubj(aggravated-50, measure-8) case(Organization-12, such-9) mwe(such-9, as-10) det(Organization-12, the-11) nmod:such_as(measure-8, Organization-12) case(Countries-16, of-13) compound(Countries-16, Petroleum-14) compound(Countries-16, Exporting-15) nmod:of(Organization-12, Countries-16) nsubj(aggravated-50, tripling-18) cc(tripling-18, or-19) conj:or(tripling-18, quadrupling-20) nsubj(aggravated-50, quadrupling-20) case(prices-24, of-21) compound(prices-24, world-22) compound(prices-24, oil-23) nmod:of(tripling-18, prices-24) nmod:of(tripling-18, prices-24') conj:and(prices-24, prices-24') case(1973-74-26, in-25) nmod:in(prices-24, 1973-74-26) cc(prices-24, and-27) advmod(1979-30, again-28) case(1979-30, in-29) nmod:in(prices-24', 1979-30) aux(aggravated-50, had-31) amod(repercussions-34, instant-32) amod(repercussions-34, global-33) dobj(aggravated-50, repercussions-34) det(availability-37, the-36) dep(repercussions-34, availability-37) case(deposits-40, of-38) compound(deposits-40, money-39) nmod:of(availability-37, deposits-40) case(OPEC-42, from-41) nmod:from(aggravated-50, OPEC-42) case(lending-45, for-43) amod(lending-45, global-44) nmod:for(OPEC-42, lending-45) case(banks-48, by-46) amod(banks-48, Western-47) nmod:by(aggravated-50, banks-48) advmod(aggravated-50, further-49) root(ROOT-0, aggravated-50) det(crisis-53, the-51) compound(crisis-53, debt-52) dobj(aggravated-50, crisis-53) case(World-57, in-54) det(World-57, the-55) compound(World-57, Third-56) nmod:in(crisis-53, World-57)  "
"<p> One clear lesson from the case of Poland is that the West should be preparing similar packages of lending and debt service relief for other East European countries , to be made available , quickly and on an adequate scale , to governments that choose to undertake the key steps of currency convertibility and price decontrol .","<p>/NN One/CD clear/JJ lesson/NN from/IN the/DT case/NN of/IN Poland/NNP is/VBZ that/IN the/DT West/NNP should/MD be/VB preparing/VBG similar/JJ packages/NNS of/IN lending/NN and/CC debt/NN service/NN relief/NN for/IN other/JJ East/NNP European/NNP countries/NNS ,/, to/TO be/VB made/VBN available/JJ ,/, quickly/RB and/CC on/IN an/DT adequate/JJ scale/NN ,/, to/TO governments/NNS that/WDT choose/VBP to/TO undertake/VB the/DT key/JJ steps/NNS of/IN currency/NN convertibility/NN and/CC price/NN decontrol/NN ./.","nmod:npmod(clear-3, <p>-1) nummod(<p>-1, One-2) amod(lesson-4, clear-3) nsubj(is-10, lesson-4) case(case-7, from-5) det(case-7, the-6) nmod:from(lesson-4, case-7) case(Poland-9, of-8) nmod:of(case-7, Poland-9) root(ROOT-0, is-10) mark(preparing-16, that-11) det(West-13, the-12) nsubj(preparing-16, West-13) aux(preparing-16, should-14) aux(preparing-16, be-15) ccomp(is-10, preparing-16) amod(packages-18, similar-17) dobj(preparing-16, packages-18) case(relief-24, of-19) compound(relief-24, lending-20) cc(lending-20, and-21) conj:and(lending-20, debt-22) compound(relief-24, debt-22) compound(relief-24, service-23) nmod:of(packages-18, relief-24) case(countries-29, for-25) amod(countries-29, other-26) compound(countries-29, East-27) compound(countries-29, European-28) nmod:for(preparing-16, countries-29) mark(made-33, to-31) auxpass(made-33, be-32) advcl(preparing-16, made-33) xcomp(made-33, available-34) advmod(and-37, quickly-36) xcomp(made-33, and-37) case(scale-41, on-38) det(scale-41, an-39) amod(scale-41, adequate-40) conj(and-37, scale-41) case(governments-44, to-43) nmod:to(made-33, governments-44) nsubj(choose-46, governments-44) nsubj(undertake-48, governments-44) ref(governments-44, that-45) acl:relcl(governments-44, choose-46) mark(undertake-48, to-47) xcomp(choose-46, undertake-48) det(steps-51, the-49) amod(steps-51, key-50) dobj(undertake-48, steps-51) case(convertibility-54, of-52) compound(convertibility-54, currency-53) nmod:of(steps-51, convertibility-54) cc(convertibility-54, and-55) compound(decontrol-57, price-56) nmod:of(steps-51, decontrol-57) conj:and(convertibility-54, decontrol-57)  "
This means that concessional lending ( ie.,This/DT means/VBZ that/DT concessional/RB lending/VB -LRB-/-LRB- ie/NN ./.,"nsubj(means-2, This-1) root(ROOT-0, means-2) nsubj(lending-5, that-3) advmod(lending-5, concessional-4) ccomp(means-2, lending-5) dobj(lending-5, ie-7)  "
This is disturbing because of the importance of this source of lending to African countries .,This/DT is/VBZ disturbing/VBG because/RB of/IN the/DT importance/NN of/IN this/DT source/NN of/IN lending/NN to/TO African/JJ countries/NNS ./.,"nsubj(disturbing-3, This-1) aux(disturbing-3, is-2) root(ROOT-0, disturbing-3) case(importance-7, because-4) mwe(because-4, of-5) det(importance-7, the-6) nmod:because_of(disturbing-3, importance-7) case(source-10, of-8) det(source-10, this-9) nmod:of(importance-7, source-10) case(lending-12, of-11) nmod:of(source-10, lending-12) case(countries-15, to-13) amod(countries-15, African-14) nmod:to(disturbing-3, countries-15)  "
<p> It is significant to note that the initial protests in these countries began over austerity measures governments were seeking to implement in order to meet their debt payments and the structural adjustment program ( SAP ) requirements of international creditors and lending institutions .,<p>/RB It/PRP is/VBZ significant/JJ to/TO note/VB that/IN the/DT initial/JJ protests/NNS in/IN these/DT countries/NNS began/VBD over/RP austerity/NN measures/NNS governments/NNS were/VBD seeking/VBG to/TO implement/VB in/IN order/NN to/TO meet/VB their/PRP$ debt/NN payments/NNS and/CC the/DT structural/JJ adjustment/NN program/NN -LRB-/-LRB- SAP/NNP -RRB-/-RRB- requirements/NNS of/IN international/JJ creditors/NNS and/CC lending/VBG institutions/NNS ./.,"advmod(significant-4, <p>-1) nsubj(significant-4, It-2) nsubj(note-6, It-2) cop(significant-4, is-3) root(ROOT-0, significant-4) mark(note-6, to-5) xcomp(significant-4, note-6) mark(began-14, that-7) det(protests-10, the-8) amod(protests-10, initial-9) nsubj(began-14, protests-10) case(countries-13, in-11) det(countries-13, these-12) nmod:in(protests-10, countries-13) ccomp(note-6, began-14) compound:prt(began-14, over-15) compound(measures-17, austerity-16) dobj(began-14, measures-17) nsubj(seeking-20, governments-18) nsubj(implement-22, governments-18) aux(seeking-20, were-19) acl:relcl(measures-17, seeking-20) mark(implement-22, to-21) xcomp(seeking-20, implement-22) mark(meet-26, in-23) mwe(in-23, order-24) mark(meet-26, to-25) advcl(implement-22, meet-26) nmod:poss(payments-29, their-27) compound(payments-29, debt-28) dobj(meet-26, payments-29) cc(measures-17, and-30) det(requirements-38, the-31) amod(requirements-38, structural-32) compound(requirements-38, adjustment-33) compound(requirements-38, program-34) appos(requirements-38, SAP-36) dobj(began-14, requirements-38) conj:and(measures-17, requirements-38) case(creditors-41, of-39) amod(creditors-41, international-40) nmod:of(requirements-38, creditors-41) cc(creditors-41, and-42) amod(institutions-44, lending-43) nmod:of(requirements-38, institutions-44) conj:and(creditors-41, institutions-44)  "
"After it became known in mid-February that the new structural adjustment program required by international lending institutions would require wage-cuts for public enterprise employees , many of those employees threatened to strike.","After/IN it/PRP became/VBD known/VBN in/IN mid-February/NN that/IN the/DT new/JJ structural/JJ adjustment/NN program/NN required/VBN by/IN international/JJ lending/NN institutions/NNS would/MD require/VB wage-cuts/NNS for/IN public/JJ enterprise/NN employees/NNS ,/, many/JJ of/IN those/DT employees/NNS threatened/VBD to/TO strike/VB ./.","mark(became-3, After-1) nsubj(became-3, it-2) advcl(threatened-30, became-3) xcomp(became-3, known-4) case(mid-February-6, in-5) nmod:in(known-4, mid-February-6) mark(require-19, that-7) det(program-12, the-8) amod(program-12, new-9) amod(program-12, structural-10) compound(program-12, adjustment-11) nsubj(require-19, program-12) acl(program-12, required-13) case(institutions-17, by-14) amod(institutions-17, international-15) compound(institutions-17, lending-16) nmod:by(required-13, institutions-17) aux(require-19, would-18) ccomp(known-4, require-19) dobj(require-19, wage-cuts-20) case(employees-24, for-21) amod(employees-24, public-22) compound(employees-24, enterprise-23) nmod:for(wage-cuts-20, employees-24) nsubj(threatened-30, many-26) nsubj(strike-32, many-26) case(employees-29, of-27) det(employees-29, those-28) nmod:of(many-26, employees-29) root(ROOT-0, threatened-30) mark(strike-32, to-31) xcomp(threatened-30, strike-32)  "
"Blending Indian myths , family history and personal recollections , The Rain God is an outstanding portrayal of the protagonist 's struggle to reconcile his Mexican past with his present life as a young university professor .","Blending/VBG Indian/JJ myths/NNS ,/, family/NN history/NN and/CC personal/JJ recollections/NNS ,/, The/DT Rain/NNP God/NNP is/VBZ an/DT outstanding/JJ portrayal/NN of/IN the/DT protagonist/NN 's/POS struggle/NN to/TO reconcile/VB his/PRP$ Mexican/JJ past/NN with/IN his/PRP$ present/JJ life/NN as/IN a/DT young/JJ university/NN professor/NN ./.","advcl(portrayal-17, Blending-1) amod(myths-3, Indian-2) dobj(Blending-1, myths-3) compound(history-6, family-5) dobj(Blending-1, history-6) conj:and(myths-3, history-6) cc(myths-3, and-7) amod(recollections-9, personal-8) dobj(Blending-1, recollections-9) conj:and(myths-3, recollections-9) det(God-13, The-11) compound(God-13, Rain-12) nsubj(portrayal-17, God-13) cop(portrayal-17, is-14) det(portrayal-17, an-15) amod(portrayal-17, outstanding-16) root(ROOT-0, portrayal-17) case(struggle-22, of-18) det(protagonist-20, the-19) nmod:poss(struggle-22, protagonist-20) case(protagonist-20, 's-21) nmod:of(portrayal-17, struggle-22) mark(reconcile-24, to-23) acl(struggle-22, reconcile-24) nmod:poss(past-27, his-25) amod(past-27, Mexican-26) dobj(reconcile-24, past-27) case(life-31, with-28) nmod:poss(life-31, his-29) amod(life-31, present-30) nmod:with(reconcile-24, life-31) case(professor-36, as-32) det(professor-36, a-33) amod(professor-36, young-34) compound(professor-36, university-35) nmod:as(life-31, professor-36)  "
"After 1983 , most banks ceased voluntary lending and loans were available only for rolling over debt and capitalizing interest payments in arrears ( World Bank , 1990 : 14 ) .","After/IN 1983/CD ,/, most/JJS banks/NNS ceased/VBD voluntary/JJ lending/NN and/CC loans/NNS were/VBD available/JJ only/RB for/IN rolling/VBG over/IN debt/NN and/CC capitalizing/VBG interest/NN payments/NNS in/IN arrears/NNS -LRB-/-LRB- World/NNP Bank/NNP ,/, 1990/CD :/: 14/CD -RRB-/-RRB- ./.","case(1983-2, After-1) nmod:after(ceased-6, 1983-2) amod(banks-5, most-4) nsubj(ceased-6, banks-5) root(ROOT-0, ceased-6) amod(lending-8, voluntary-7) nsubj(available-12, lending-8) cc(lending-8, and-9) conj:and(lending-8, loans-10) nsubj(available-12, loans-10) cop(available-12, were-11) ccomp(ceased-6, available-12) advmod(rolling-15, only-13) mark(rolling-15, for-14) advcl(available-12, rolling-15) case(debt-17, over-16) nmod:over(rolling-15, debt-17) cc(rolling-15, and-18) advcl(available-12, capitalizing-19) conj:and(rolling-15, capitalizing-19) compound(payments-21, interest-20) dobj(capitalizing-19, payments-21) case(arrears-23, in-22) nmod:in(capitalizing-19, arrears-23) compound(Bank-26, World-25) dep(arrears-23, Bank-26) nummod(14-30, 1990-28) appos(Bank-26, 14-30)  "
"<p> First , the United States will work with the Inter-American Development Bank ( IDB ) to create a new policy-based lending program to promote the reform of investment regimes .","<p>/VB First/RB ,/, the/DT United/NNP States/NNPS will/MD work/VB with/IN the/DT Inter-American/NNP Development/NNP Bank/NNP -LRB-/-LRB- IDB/NNP -RRB-/-RRB- to/TO create/VB a/DT new/JJ policy-based/JJ lending/NN program/NN to/TO promote/VB the/DT reform/NN of/IN investment/NN regimes/NNS ./.","ccomp(work-8, <p>-1) advmod(<p>-1, First-2) det(States-6, the-4) compound(States-6, United-5) nsubj(work-8, States-6) nsubj(create-18, States-6) aux(work-8, will-7) root(ROOT-0, work-8) case(Bank-13, with-9) det(Bank-13, the-10) compound(Bank-13, Inter-American-11) compound(Bank-13, Development-12) nmod:with(work-8, Bank-13) appos(Bank-13, IDB-15) mark(create-18, to-17) xcomp(work-8, create-18) det(program-23, a-19) amod(program-23, new-20) amod(program-23, policy-based-21) compound(program-23, lending-22) dobj(create-18, program-23) mark(promote-25, to-24) advcl(create-18, promote-25) det(reform-27, the-26) dobj(promote-25, reform-27) case(regimes-30, of-28) compound(regimes-30, investment-29) nmod:of(reform-27, regimes-30)  "
