,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.06481481481481481
subject,0.4166666666666667,0.0,0.5833333333333334,0.0,0.0,0.0,0.1111111111111111
object,0.2,0.0,0.4,0.2,0.0,0.0,0.09259259259259259
adjectival modifier,0.1,0.0,0.6,0.2,0.0,0.0,0.09259259259259259
Adverbial Modifier,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.06481481481481481
['as'],0.0,0.0,1.0,0.0,0.0,0.0,0.009259259259259259
['in'],0.25,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
['without'],1.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
['on'],0.0,0.0,0.5,0.5,0.0,0.0,0.018518518518518517
['npmod'],0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.027777777777777776
['through'],0.0,0.0,0.0,1.0,0.0,0.0,0.009259259259259259
['of'],0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.08333333333333333
['to'],0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
['before'],1.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
['by'],0.5,0.0,0.5,0.0,0.0,0.0,0.018518518518518517
['whether'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
['because'] -adv,0.0,0.0,1.0,0.0,0.0,0.0,0.009259259259259259
['than'] -adv,0.0,0.0,0.0,1.0,0.0,0.0,0.009259259259259259
