,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.00032393909944930353,0.0,0.17391304347826086,0.0,0.07142857142857142,0
subject,0.001943634596695821,0.0,0.34782608695652173,0.0,0.0,0
object,0.0011337868480725624,0.0,0.17391304347826086,0.2857142857142857,0.14285714285714285,0
adjectival modifier,0.003401360544217687,0.0,0.2608695652173913,0.2857142857142857,0.07142857142857142,0
Adverbial Modifier,0.2675736961451247,0.27058823529411763,0.13043478260869565,0.2857142857142857,0.14285714285714285,0
['as'],0.00048590864917395527,0.0,0.043478260869565216,0.0,0.07142857142857142,0
['in'],0.00032393909944930353,0.0,0.0,0.0,0.21428571428571427,0
['including'],0.0006478781988986071,0.0,0.0,0.0,0.0,0
['between'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['because_of'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['without'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['from'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['on'],0.00016196954972465177,0.0,0.043478260869565216,0.14285714285714285,0.0,0
['npmod'],0.00032393909944930353,0.0,0.043478260869565216,0.0,0.0,0
['through'],0.0,0.011764705882352941,0.0,0.14285714285714285,0.0,0
['before'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['of'],0.0009718172983479105,0.0,0.08695652173913043,0.0,0.2857142857142857,0
['for'],0.0006478781988986071,0.0,0.0,0.0,0.0,0
['to'],0.0006478781988986071,0.0,0.0,0.0,0.07142857142857142,0
['with'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['by'],0.00048590864917395527,0.0,0.043478260869565216,0.0,0.0,0
['as'],0.00647878198898607,0.023529411764705882,0.0,0.0,0.0,0
['toward'],0.0014577259475218659,0.011764705882352941,0.0,0.0,0.0,0
['in'],0.017168772270813086,0.03529411764705882,0.0,0.0,0.0,0
['without'],0.009880142533203757,0.0,0.0,0.0,0.0,0
['if'],0.006964690638160026,0.023529411764705882,0.0,0.0,0.0,0
['rather'],0.0009718172983479105,0.0,0.0,0.0,0.0,0
['such'],0.0006478781988986071,0.011764705882352941,0.0,0.0,0.0,0
['although'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['after'],0.011175898931000973,0.0,0.0,0.0,0.0,0
['against'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['upon'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['from'],0.01004211208292841,0.023529411764705882,0.0,0.0,0.0,0
"['whether', 'as']",0.00016196954972465177,0.0,0.0,0.0,0.0,0
['at'],0.002105604146420473,0.0,0.0,0.0,0.0,0
['on'],0.003887269193391642,0.023529411764705882,0.0,0.0,0.0,0
['over'],0.00048590864917395527,0.0,0.0,0.0,0.0,0
['between'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['whether'],0.0017816650469711693,0.011764705882352941,0.0,0.0,0.0,0
['until'],0.00048590864917395527,0.0,0.0,0.0,0.0,0
['conflict'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
"['to', 'of']",0.00016196954972465177,0.0,0.0,0.0,0.0,0
['into'],0.002105604146420473,0.0,0.0,0.0,0.0,0
['that'],0.026077097505668934,0.023529411764705882,0.0,0.0,0.0,0
['so'],0.0008098477486232588,0.0,0.0,0.0,0.0,0
['instead'],0.00275348234531908,0.0,0.0,0.0,0.0,0
['while'],0.007450599287333981,0.0,0.0,0.0,0.0,0
['because'],0.0045351473922902496,0.0,0.043478260869565216,0.0,0.0,0
['though'],0.0009718172983479105,0.0,0.0,0.0,0.0,0
['whereas'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['once'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['around'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
"['that', 'although']",0.00016196954972465177,0.0,0.0,0.0,0.0,0
['unless'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['like'],0.004859086491739553,0.0,0.0,0.0,0.0,0
['about'],0.007612568837058633,0.0,0.0,0.0,0.0,0
['pleasure'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['before'],0.02364755425979916,0.011764705882352941,0.0,0.0,0.0,0
['amid'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['below'],0.00032393909944930353,0.0,0.0,0.0,0.0,0
['than'],0.0009718172983479105,0.0,0.0,0.14285714285714285,0.0,0
['besides'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['through'],0.0006478781988986071,0.0,0.0,0.0,0.0,0
['off'],0.00016196954972465177,0.0,0.0,0.0,0.0,0
['of'],0.03466148364107548,0.058823529411764705,0.0,0.0,0.0,0
['for'],0.013281503077421444,0.023529411764705882,0.0,0.0,0.0,0
['to'],0.016034985422740525,0.011764705882352941,0.0,0.0,0.0,0
['since'],0.00275348234531908,0.011764705882352941,0.0,0.0,0.0,0
['with'],0.005668934240362812,0.0,0.0,0.0,0.0,0
['by'],0.03676708778749595,0.023529411764705882,0.0,0.0,0.0,0
Total,0.9798444691318838,0.013489922234565943,0.0036502142517060784,0.0011109347722583717,0.0022218695445167433,0.0
