,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.6333333333333333,0.0,0.31666666666666665,0.016666666666666666,0.0,0.0,0.08797653958944282
subject,0.6268656716417911,0.029850746268656716,0.208955223880597,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.09824046920821114
object,0.5283018867924528,0.018867924528301886,0.22641509433962265,0.1509433962264151,0.0,0.0,0.07771260997067449
adjectival modifier,0.6129032258064516,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.0,0.0,0.09090909090909091
Adverbial Modifier,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.008797653958944282
['as'],0.4,0.0,0.2,0.4,0.0,0.0,0.007331378299120235
['in'],0.7333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.021994134897360705
['without'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['close_to'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['such_as'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['from'],0.9,0.0,0.0,0.0,0.0,0.0,0.01466275659824047
['between'],1.0,0.0,0.0,0.0,0.0,0.0,0.005865102639296188
['at'],1.0,0.0,0.0,0.0,0.0,0.0,0.004398826979472141
['on'],0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.004398826979472141
['npmod'],0.0,0.0,1.0,0.0,0.0,0.0,0.001466275659824047
['into'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['beyond'],0.5,0.0,0.0,0.5,0.0,0.0,0.002932551319648094
['including'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['with_respect_to'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['as_for'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['around'],0.0,0.0,1.0,0.0,0.0,0.0,0.001466275659824047
['about'],0.8,0.0,0.0,0.2,0.0,0.0,0.007331378299120235
['before'],1.0,0.0,0.0,0.0,0.0,0.0,0.007331378299120235
['than'],1.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047
['through'],1.0,0.0,0.0,0.0,0.0,0.0,0.002932551319648094
['of'],0.7954545454545454,0.0,0.09090909090909091,0.06818181818181818,0.0,0.0,0.06451612903225806
['for'],0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.017595307917888565
['to'],0.8888888888888888,0.0,0.0,0.05555555555555555,0.0,0.0,0.026392961876832845
['with'],0.7272727272727273,0.0,0.0,0.09090909090909091,0.0,0.0,0.016129032258064516
['by'],1.0,0.0,0.0,0.0,0.0,0.0,0.007331378299120235
['if'] -adv,0.0,0.0,1.0,0.0,0.0,0.0,0.001466275659824047
