,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.06551724137931035,0.0,0.41304347826086957,0.030303030303030304,0.11764705882352941,0.0
subject,0.07241379310344828,0.5,0.30434782608695654,0.09090909090909091,0.29411764705882354,0.5
object,0.04827586206896552,0.25,0.2608695652173913,0.24242424242424243,0.23529411764705882,0.0
adjectival modifier,0.06551724137931035,0.5,0.2608695652173913,0.06060606060606061,0.47058823529411764,0.0
Adverbial Modifier,0.005172413793103448,0.0,0.021739130434782608,0.0,0.058823529411764705,0.5
['as'],0.0034482758620689655,0.0,0.021739130434782608,0.06060606060606061,0.0,0.0
['in'],0.01896551724137931,0.0,0.043478260869565216,0.06060606060606061,0.0,0.0
['without'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['close_to'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['such_as'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['from'],0.015517241379310345,0.0,0.0,0.0,0.058823529411764705,0.0
['between'],0.006896551724137931,0.0,0.0,0.0,0.0,0.0
['at'],0.005172413793103448,0.0,0.0,0.0,0.0,0.0
['on'],0.0034482758620689655,0.0,0.0,0.0,0.058823529411764705,0.0
['npmod'],0.0,0.0,0.021739130434782608,0.0,0.0,0.0
['into'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['beyond'],0.0017241379310344827,0.0,0.0,0.030303030303030304,0.0,0.0
['including'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['with_respect_to'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['as_for'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['around'],0.0,0.0,0.021739130434782608,0.0,0.0,0.0
['about'],0.006896551724137931,0.0,0.0,0.030303030303030304,0.0,0.0
['before'],0.008620689655172414,0.0,0.0,0.0,0.0,0.0
['than'],0.0017241379310344827,0.0,0.0,0.0,0.0,0.0
['through'],0.0034482758620689655,0.0,0.0,0.0,0.0,0.0
['of'],0.0603448275862069,0.0,0.08695652173913043,0.09090909090909091,0.11764705882352941,0.0
['for'],0.013793103448275862,0.0,0.043478260869565216,0.06060606060606061,0.0,0.0
['to'],0.027586206896551724,0.0,0.0,0.030303030303030304,0.058823529411764705,0.0
['with'],0.013793103448275862,0.0,0.0,0.030303030303030304,0.11764705882352941,0.0
['by'],0.008620689655172414,0.0,0.0,0.0,0.0,0.0
['if'],0.0,0.0,0.021739130434782608,0.0,0.0,0.0
Total,0.8504398826979472,0.005865102639296188,0.06744868035190615,0.04838709677419355,0.024926686217008796,0.002932551319648094
