,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.05654761904761905,0.125,0.38016528925619836,0.12,0.12389380530973451,0.0
subject,0.04047619047619048,0.1875,0.24793388429752067,0.24,0.24778761061946902,0.25
object,0.075,0.25,0.23140495867768596,0.2,0.168141592920354,0.5
adjectival modifier,0.0494047619047619,0.1875,0.256198347107438,0.12,0.19469026548672566,0.0
Adverbial Modifier,0.08928571428571429,0.0,0.01652892561983471,0.0,0.0,0.25
['as'],0.0,0.0,0.008264462809917356,0.04,0.0,0.0
['toward'],0.0011904761904761906,0.0,0.0,0.0,0.0,0.0
['such_as'],0.002380952380952381,0.0,0.0,0.0,0.0,0.0
['without'],0.0005952380952380953,0.0,0.008264462809917356,0.0,0.0,0.0
['around'],0.0005952380952380953,0.0,0.0,0.0,0.008849557522123894,0.0
['across'],0.0,0.0,0.008264462809917356,0.0,0.0,0.0
['in'],0.017857142857142856,0.0,0.049586776859504134,0.04,0.11504424778761062,0.0
['from'],0.005357142857142857,0.0,0.0,0.0,0.017699115044247787,0.0
['but'],0.0,0.0,0.008264462809917356,0.0,0.0,0.0
['at'],0.0011904761904761906,0.0625,0.008264462809917356,0.0,0.0,0.0
['on'],0.002976190476190476,0.0,0.01652892561983471,0.0,0.008849557522123894,0.0
['over'],0.0,0.0,0.008264462809917356,0.0,0.008849557522123894,0.0
['between'],0.0011904761904761906,0.0,0.008264462809917356,0.0,0.0,0.0
['along'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['atop'],0.0,0.0,0.0,0.0,0.008849557522123894,0.0
['rather_than'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['besides'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['during'],0.0011904761904761906,0.0,0.0,0.0,0.017699115044247787,0.0
['while'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['by_means_of'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['including'],0.0017857142857142857,0.0,0.0,0.0,0.0,0.0
['except_for'],0.0,0.0,0.0,0.0,0.008849557522123894,0.0
['in_addition_to'],0.0005952380952380953,0.0,0.0,0.0,0.0,0.0
['beyond'],0.0,0.0,0.0,0.0,0.008849557522123894,0.0
['like'],0.0011904761904761906,0.0,0.008264462809917356,0.0,0.017699115044247787,0.0
['about'],0.002380952380952381,0.0,0.01652892561983471,0.0,0.017699115044247787,0.0
['before'],0.0005952380952380953,0.0,0.008264462809917356,0.0,0.0,0.0
['than'],0.0005952380952380953,0.0,0.008264462809917356,0.0,0.008849557522123894,0.0
['above'],0.0,0.0,0.008264462809917356,0.0,0.0,0.0
