,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.901775147928994,0.002366863905325444,0.04970414201183432,0.005917159763313609,0.0,0.901775147928994,0.17087967644084934
subject,0.8491228070175438,0.0,0.07543859649122807,0.012280701754385965,0.0,0.8491228070175438,0.11526794742163801
object,0.7993254637436762,0.013490725126475547,0.045531197301854974,0.006745362563237774,0.0,0.7993254637436762,0.11991911021233569
adjectival modifier,0.8647125140924464,0.0033821871476888386,0.06200676437429538,0.011273957158962795,0.0,0.8647125140924464,0.17937310414560162
Adverbial Modifier,0.9545454545454546,0.012121212121212121,0.021212121212121213,0.0030303030303030303,0.0,0.9545454545454546,0.06673407482305359
['as'],0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.001820020222446916
['toward'],1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
['such_as'],1.0,0.0,0.0,0.0,0.0,1.0,0.0010111223458038423
['away_from'],0.0,0.0,1.0,0.0,0.0,0.0,0.00020222446916076846
"['in', 'unlike']",1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['without'],0.0,0.0,0.0,0.0,0.0,0.0,0.00020222446916076846
['instead_of'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['such'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['excluding'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['after'],0.5,0.25,0.0,0.25,0.0,0.5,0.0008088978766430738
['based_on'],1.0,0.0,0.0,0.0,0.0,1.0,0.0004044489383215369
['in'],0.9488372093023256,0.0,0.018604651162790697,0.0,0.0,0.9488372093023256,0.043478260869565216
['against'],1.0,0.0,0.0,0.0,0.0,1.0,0.0010111223458038423
['in_lieu_of'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['from'],0.8333333333333334,0.0,0.05555555555555555,0.0,0.0,0.8333333333333334,0.003640040444893832
['npmod'],0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0006066734074823053
['at'],1.0,0.0,0.0,0.0,0.0,1.0,0.0004044489383215369
['regarding'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['on'],0.8494623655913979,0.0,0.053763440860215055,0.010752688172043012,0.0,0.8494623655913979,0.018806875631951468
['over'],0.8235294117647058,0.0,0.058823529411764705,0.0,0.0,0.8235294117647058,0.0034378159757330637
['between'],0.8823529411764706,0.0,0.0,0.0,0.0,0.8823529411764706,0.0034378159757330637
['into'],0.8,0.0,0.0,0.0,0.0,0.8,0.0010111223458038423
['under'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['except'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['despite'],1.0,0.0,0.0,0.0,0.0,1.0,0.0004044489383215369
['upon'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['including'],1.0,0.0,0.0,0.0,0.0,1.0,0.0008088978766430738
['compared'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['per'],1.0,0.0,0.0,0.0,0.0,1.0,0.001820020222446916
['as_for'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['due_to'],0.0,0.0,0.0,0.0,0.0,0.0,0.00020222446916076846
['around'],0.5,0.0,0.5,0.0,0.0,0.5,0.0004044489383215369
['with_regard_to'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['like'],1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
['about'],0.8620689655172413,0.0,0.0,0.0,0.0,0.8620689655172413,0.0058645096056622855
"['to', 'for']",1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['before'],1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['than'],0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,0.0012133468149646107
['through'],0.7272727272727273,0.0,0.09090909090909091,0.18181818181818182,0.0,0.7272727272727273,0.002224469160768453
['of'],0.7666666666666667,0.00909090909090909,0.1393939393939394,0.0030303030303030303,0.0,0.7666666666666667,0.06673407482305359
['for'],0.9230769230769231,0.02564102564102564,0.01282051282051282,0.0,0.0,0.9230769230769231,0.01577350859453994
['to'],0.8225806451612904,0.016129032258064516,0.06451612903225806,0.03225806451612903,0.0,0.8225806451612904,0.012537917087967644
['with'],0.92,0.0,0.0,0.0,0.0,0.92,0.005055611729019211
['by'],0.8235294117647058,0.0,0.08823529411764706,0.029411764705882353,0.0,0.8235294117647058,0.006875631951466127
['as'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0014155712841253793
['toward'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['in'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.006875631951466127
['despite'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
"['with', 'whether'] -adv",1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['without'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.006268958543983822
['if'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.003640040444893832
['point'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['rather'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0012133468149646107
['after'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.024266936299292215
['against'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0004044489383215369
['from'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0034378159757330637
['signals'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.00020222446916076846
['at'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0008088978766430738
['on'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.004651162790697674
['over'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
['between'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0004044489383215369
['whether'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
['into'] -adv,1.0,0.0,0.0,0.0,0.0,1.0,0.0006066734074823053
