,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.16747252747252747,0.1,0.25766871165644173,0.22727272727272727,0.17708333333333334,0
subject,0.10637362637362638,0.0,0.26380368098159507,0.3181818181818182,0.1875,0
object,0.10417582417582417,0.4,0.1656441717791411,0.18181818181818182,0.421875,0
adjectival modifier,0.16857142857142857,0.15,0.3374233128834356,0.45454545454545453,0.2760416666666667,0
Adverbial Modifier,0.06923076923076923,0.2,0.04294478527607362,0.045454545454545456,0.015625,0
['as'],0.0017582417582417582,0.0,0.006134969325153374,0.0,0.0,0
['toward'],0.0006593406593406593,0.0,0.0,0.0,0.0,0
['such_as'],0.001098901098901099,0.0,0.0,0.0,0.0,0
['away_from'],0.0,0.0,0.006134969325153374,0.0,0.0,0
"['in', 'unlike']",0.00021978021978021978,0.0,0.0,0.0,0.0,0
['without'],0.0,0.0,0.0,0.0,0.005208333333333333,0
['instead_of'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['such'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['excluding'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['after'],0.00043956043956043956,0.05,0.0,0.045454545454545456,0.0,0
['based_on'],0.00043956043956043956,0.0,0.0,0.0,0.0,0
['in'],0.04483516483516484,0.0,0.024539877300613498,0.0,0.036458333333333336,0
['against'],0.001098901098901099,0.0,0.0,0.0,0.0,0
['in_lieu_of'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['from'],0.0032967032967032967,0.0,0.006134969325153374,0.0,0.010416666666666666,0
['npmod'],0.00021978021978021978,0.0,0.006134969325153374,0.0,0.005208333333333333,0
['at'],0.00043956043956043956,0.0,0.0,0.0,0.0,0
['regarding'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['on'],0.01736263736263736,0.0,0.03067484662576687,0.045454545454545456,0.041666666666666664,0
['over'],0.003076923076923077,0.0,0.006134969325153374,0.0,0.010416666666666666,0
['between'],0.0032967032967032967,0.0,0.0,0.0,0.010416666666666666,0
['into'],0.0008791208791208791,0.0,0.0,0.0,0.005208333333333333,0
['under'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['except'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['despite'],0.00043956043956043956,0.0,0.0,0.0,0.0,0
['upon'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['including'],0.0008791208791208791,0.0,0.0,0.0,0.0,0
['compared'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['per'],0.001978021978021978,0.0,0.0,0.0,0.0,0
['as_for'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['due_to'],0.0,0.0,0.0,0.0,0.005208333333333333,0
['around'],0.00021978021978021978,0.0,0.006134969325153374,0.0,0.0,0
['with_regard_to'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['like'],0.0006593406593406593,0.0,0.0,0.0,0.0,0
['about'],0.005494505494505495,0.0,0.0,0.0,0.020833333333333332,0
"['to', 'for']",0.00021978021978021978,0.0,0.0,0.0,0.0,0
['before'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['than'],0.001098901098901099,0.0,0.0,0.0,0.005208333333333333,0
['through'],0.0017582417582417582,0.0,0.006134969325153374,0.09090909090909091,0.0,0
['of'],0.055604395604395604,0.15,0.2822085889570552,0.045454545454545456,0.140625,0
['for'],0.015824175824175824,0.1,0.006134969325153374,0.0,0.020833333333333332,0
['to'],0.01120879120879121,0.05,0.024539877300613498,0.09090909090909091,0.020833333333333332,0
['with'],0.005054945054945055,0.0,0.0,0.0,0.010416666666666666,0
['by'],0.006153846153846154,0.0,0.018404907975460124,0.045454545454545456,0.010416666666666666,0
['as'],0.0015384615384615385,0.0,0.0,0.0,0.0,0
['toward'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['in'],0.0074725274725274725,0.0,0.0,0.0,0.0,0
['despite'],0.0006593406593406593,0.0,0.0,0.0,0.0,0
"['with', 'whether']",0.00021978021978021978,0.0,0.0,0.0,0.0,0
['without'],0.006813186813186814,0.0,0.0,0.0,0.0,0
['if'],0.003956043956043956,0.0,0.0,0.0,0.0,0
['point'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
['rather'],0.0013186813186813187,0.0,0.0,0.0,0.0,0
['after'],0.026373626373626374,0.0,0.0,0.0,0.0,0
['against'],0.00043956043956043956,0.0,0.0,0.0,0.0,0
['from'],0.0037362637362637363,0.0,0.0,0.0,0.0,0
['signals'],0.00021978021978021978,0.0,0.0,0.0,0.0,0
