word,occurences,classNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
a,422366,1,Y,N,N,N,N,N,Y,N,N,N,N
AA,52,1,Y,N,N,N,N,N,Y,N,N,N,N
abacus,8,1,Y,N,N,N,N,N,N,N,N,N,N
abandon,35,1,N,Y,N,N,N,N,N,N,N,N,N
abandonment,94,1,N,Y,N,N,N,N,N,N,N,N,N
abasement,6,1,N,Y,N,N,N,N,N,N,N,N,N
abatement,13,1,N,Y,N,N,N,N,N,N,N,N,N
abattoir,28,1,Y,N,N,N,N,N,N,N,N,N,N
abbe,14,1,Y,N,N,N,N,N,N,N,N,N,N
abbess,52,1,Y,N,N,N,N,N,N,N,Y,N,N
abbey,181,1,Y,N,N,N,N,Y,N,N,N,N,N
abbot,43,1,Y,N,N,N,N,N,Y,N,Y,N,N
abbreviation,14,1,Y,Y,N,N,N,N,N,N,N,N,N
ABC,29,1,Y,Y,N,N,N,N,N,N,N,N,N
abdication,34,1,Y,Y,N,N,N,N,N,N,N,N,N
abdomen,114,1,Y,N,N,N,N,N,N,N,N,N,N
abduction,11,1,Y,Y,N,N,N,N,N,N,N,N,N
aberration,50,1,Y,Y,N,N,N,N,N,N,N,N,N
abettor,1,1,Y,N,N,N,N,N,N,N,N,N,N
abeyance,17,1,N,Y,N,N,N,N,N,N,N,N,N
abhorrence,7,1,N,Y,N,N,N,N,N,N,N,N,N
abidance by,0,1,N,Y,N,N,N,N,N,N,N,N,N
abilities,0,1,N,N,N,Y,N,N,N,N,N,N,N
ability,1557,1,Y,Y,N,N,N,N,N,N,N,N,N
abjection,3,1,Y,Y,N,N,N,N,N,N,N,N,N
abjuration,0,1,Y,Y,N,N,N,N,N,N,N,N,N
ablative,1,1,Y,N,N,N,N,N,N,N,N,N,N
ablaut,0,1,Y,Y,N,N,N,N,N,N,N,N,N
able-bodied seaman,0,1,Y,N,N,N,N,N,N,N,N,N,N
able seaman,0,1,Y,N,N,N,N,N,N,N,N,N,N
ablution,4,1,Y,Y,N,N,N,N,N,N,N,N,N
ablutions,4,1,N,N,N,Y,N,N,N,N,N,N,N
abnegation,2,1,N,Y,N,N,N,N,N,N,N,N,N
abnormality,39,1,Y,Y,N,N,N,N,N,N,N,N,N
abo,6,1,Y,N,N,N,N,N,N,N,N,N,N
abode,31,1,Y,N,N,N,N,N,N,N,N,N,N
abolition,139,1,N,Y,N,N,N,N,N,N,N,N,N
abolitionist,22,1,Y,N,N,N,N,N,N,N,N,N,N
A-bomb,12,1,Y,N,N,N,N,N,N,N,N,N,N
abominable snowman,0,1,Y,N,N,N,N,N,N,N,N,N,N
abomination,24,1,Y,Y,N,N,N,N,N,N,N,N,N
aboriginal,7,1,Y,N,N,N,N,N,N,N,N,N,N
aborigine,1,1,Y,N,N,N,N,N,N,N,N,N,N
Aborigine,66,1,Y,N,N,N,N,N,N,N,N,N,N
abortion,351,1,Y,Y,N,N,N,N,N,N,N,N,N
abortionist,18,1,Y,N,N,N,N,N,N,N,N,N,N
about-face,1,1,Y,N,N,N,N,N,N,N,N,N,N
about turn,0,1,Y,N,N,N,N,N,N,N,N,N,N
above,80,1,N,N,N,N,N,Y,N,N,N,N,N
above-mentioned,0,1,N,N,N,N,N,Y,N,N,N,N,N
above-named,0,1,N,N,N,N,N,Y,N,N,N,N,N
abracadabra,1,1,N,Y,N,N,N,N,N,N,N,N,N
abrasion,9,1,Y,Y,N,N,N,N,N,N,N,N,N
abrasive,9,1,Y,Y,N,N,N,N,N,N,N,N,N
abridgment,3,1,Y,Y,N,N,N,N,N,N,N,N,N
abrogation,4,1,Y,Y,N,N,N,N,N,N,N,N,N
abruptness,13,1,N,Y,N,N,N,N,N,N,N,N,N
abscess,21,1,Y,N,N,N,N,N,N,N,N,N,N
absence,741,1,Y,Y,N,N,N,N,N,N,N,N,N
absence of mind,0,1,N,Y,N,N,N,N,N,N,N,N,N
absentee,31,1,Y,N,N,N,N,N,N,N,N,N,N
absenteeism,24,1,N,Y,N,N,N,N,N,N,N,N,N
absent-mindedness,6,1,N,Y,N,N,N,N,N,N,N,N,N
absinth,2,1,N,Y,N,N,N,N,N,N,N,N,N
absoluteness,7,1,N,Y,N,N,N,N,N,N,N,N,N
absolute zero,0,1,N,Y,N,N,N,N,N,N,N,N,N
absolution,9,1,N,Y,N,N,N,N,N,N,N,N,N
absolutism,7,1,N,Y,N,N,N,N,N,N,N,N,N
absorbent,0,1,Y,Y,N,N,N,N,N,N,N,N,N
absorption,72,1,N,Y,N,N,N,N,N,N,N,N,N
abstainer,6,1,Y,N,N,N,N,N,N,N,N,N,N
abstemiousness,3,1,N,Y,N,N,N,N,N,N,N,N,N
