Noun,Noun Count,NN Count,NN Percentage,NNS Count,NNS Percentage,NNP Count,NNP Percentage,NNPS Count,NNPS Percentage,Plural Noun Count,Plural Noun Percentage,Singular Noun Count,Singular Noun Percentage,Bare Plural Noun Count,Bare Plural Noun Percentage,Bare Singular Noun Count,Bare Singular Noun Percentage,Linked Noun Count,Linked Noun Percentage,Noun Negation Count,Noun Negation Percentage,Verb Construction Count,Verb Construction Percentage,VB Count,VB Percentage,VBD Count,VBD Percentage,VBG Count,VBG Percentage,VBN Count,VBN Percentage,VBP Count,VBP Percentage,VBZ Count,VBZ Percentage,Plural Verb Count,Plural Verb Percentage,Singular Verb Count,Singular Verb Percentage,Verb Subject Count,Verb Subject Percentage,Unique Verb Subject Count,Significant Verb Subjects,Significant Verb Subject Count,Verb Object Count,Verb Object Percentage,Unique Verb Object Count,Significant Verb Objects,Significant Verb Object Count,Verb Negation Count,Verb Negation Percentage,Prepositional Phrase Count,Prepositional Phrase Percentage,Prepositional Subject Count,Prepositional Subject Percentage,Unique Prepositional Subject Count,Significant Prepositional Subjects,Prepositional Object Count,Prepositional Object Percentage,Unique Prepositional Object Count,Significant Prepositional Objects,Determiner Count,Determiner Percentage,Unique Determiner Count,Significant Determiners,Indefinite Article Count,Indefinite Article Percentage,Definite Article Count,Definite Article Percentage,Demonstrative Pronoun Count,Demonstrative Pronoun Percentage,Quantifier Count,Quantifier Percentage,Other Determiner Count,Other Determiner Percentage,Conjoined Count,Conjoined Percentage,Unique Conjoined Count,Significant Conjoined,Compound Count,Compound Percentage,Unique Compound Count,Significant Compounds,Adjective Count,Adjective Percentage,Unique Adjective Count,Significant Adjectives,Possesed Count,Possesed Percentage,Unique Possesed Count,Significant Possesed,Possesive Count,Possesive Percentage,Numeric Count,Numeric Percentage,Adverb Count,Adverb Percentage,Appositive Count,Appositive Percentage,Appositional Modifier Count,Appositional Modifier Percentage,Unique Appositional Modifier Count,Significant Appositional Modifiers,Modified Appositive Count,Modified Appositive Percentage,Unique Modified Appositive Count,Significant Modified Appositives,Modal Count,Modal Percentage,Conditional Count,Conditional Percentage,Denumerator Count,Denumerator Percentage,Unit Denumerator Count,Unit Denumerator Percentage,Fuzzy Denumerator Count,Fuzzy Denumerator Percentage,Other Denumerator Count,Other Denumerator Percentage,Allan Count,Allan Percentage,A N Count,A N Percentage,F Ns Count,F Ns Percentage,Ex Pl Count,Ex Pl Percentage,O Den Count,O Den Percentage,All N Count,All N Percentage,Countable Count,Countable Percentage,Uncountable Count,Uncountable Percentage,Verdical Count,Verdical Percentage,NonVerdical Count,NonVerdical Percentage
worry,909,479,0.53,429,0.47,1,0.00,0,0,429,0.47,480,0.53,229,0.25,234,0.26,446,0.49,38,0.04,492,0.54,113,0.23,96,0.20,15,0.03,51,0.10,83,0.17,123,0.25,83,0.17,123,0.25,253,0.51,89,"{'be': 131, 'have': 14}",2,239,0.49,106,"{'be': 42, 'have': 43}",2,5,0.01,535,0.59,320,0.60,247,{},215,0.40,188,{},250,0.28,12,"{'a': 55, 'all': 11, 'that': 2, 'these': 16, 'some': 6, 'an': 4, 'this': 5, 'another': 10, 'such': 2, 'the': 126, 'any': 7, 'those': 6}",60,0.24,96,0.38,23,0.09,10,0.04,53,0.21,145,0.16,109,{},87,0.10,67,{'money': 8},265,0.29,136,{'biggest': 17},1,0.00,1,{'allies': 1},193,0.21,14,0.02,30,0.03,54,0.06,16,0.30,15,{'fears': 2},11,0.20,11,{},7,0.01,6,0.01,72,0.08,60,0.83,4,0.06,8,0.11,94,0.10,60,0.64,4,0.04,22,0.23,8,0.09,0,0,88,0.10,0,0,42,0.05,11,0.01
whisky,75,57,0.76,12,0.16,6,0.08,0,0,12,0.16,63,0.84,7,0.09,48,0.64,20,0.27,1,0.01,28,0.37,7,0.25,10,0.36,2,0.07,1,0.04,1,0.04,6,0.21,1,0.04,6,0.21,12,0.43,9,"{'be': 2, 'marry': 1, 'flow': 1, 'command': 1, 'take': 1, 'seem': 2, 'include': 2, 'open': 1, 'age': 1}",9,16,0.57,12,"{'be': 2, 'drink': 3, 'include': 2}",3,0,0.00,34,0.45,30,0.88,28,{},4,0.12,3,"{'states': 1, 'phenols': 1, 'it': 2}",13,0.17,4,"{'these': 1, 'a': 4, 'the': 7, 'that': 1}",2,0.15,7,0.54,2,0.15,0,0,2,0.15,10,0.13,10,{},26,0.35,19,"{'drinking': 2, 'lovers': 2, 'scotch': 5, 'eastern': 2}",26,0.35,22,{},1,0.01,1,{'flavor': 1},5,0.07,2,0.03,2,0.03,10,0.13,4,0.40,4,"{'product': 1, 'brandy': 1, 'experience': 1, 'blades': 1}",1,0.10,1,{'exit': 1},0,0.00,1,0.01,5,0.07,2,0.40,1,0.20,2,0.40,5,0.07,2,0.40,1,0.20,0,0,2,0.40,0,0,5,0.07,0,0,1,0.01,0,0
victory,3282,2772,0.84,507,0.15,3,0.00,0,0,504,0.15,2774,0.85,252,0.08,878,0.27,2152,0.66,30,0.01,1572,0.48,377,0.24,617,0.39,111,0.07,212,0.13,71,0.05,170,0.11,71,0.05,170,0.11,580,0.37,219,"{'be': 155, 'come': 28}",2,992,0.63,239,"{'be': 151, 'claim': 45, 'win': 107, 'give': 33, 'score': 29, 'achieve': 27, 'declare': 41, 'celebrate': 39}",8,32,0.02,2441,0.74,1403,0.57,897,{},1038,0.43,652,{},1411,0.43,18,"{'a': 707, 'all': 2, 'that': 21, 'these': 11, 'some': 12, 'an': 83, 'this': 47, 'every': 3, 'another': 25, 'each': 5, 'the': 477, 'any': 6, 'those': 7}",770,0.55,403,0.29,57,0.04,15,0.01,162,0.11,288,0.09,238,{},598,0.18,307,{},1210,0.37,351,"{'military': 44, 'great': 39, 'major': 38, 'first': 38}",3,0.00,3,"{'causes': 1, 'letter': 1, 'glory': 1}",648,0.20,139,0.04,113,0.03,142,0.04,30,0.21,28,{},41,0.29,38,{},18,0.01,23,0.01,907,0.28,770,0.85,11,0.01,126,0.14,937,0.29,763,0.81,11,0.01,37,0.04,126,0.13,0,0,926,0.28,0,0,62,0.02,33,0.01
variety,9774,8129,0.83,1626,0.17,19,0.00,0,0,1624,0.17,8128,0.83,979,0.10,763,0.08,8032,0.82,18,0.00,4649,0.48,1250,0.27,517,0.11,471,0.10,596,0.13,971,0.21,816,0.18,971,0.21,816,0.18,1693,0.36,467,{'be': 502},1,2956,0.64,588,"{'be': 151, 'use': 188, 'offer': 154, 'provide': 62, 'have': 146, 'include': 90}",6,41,0.01,13319,1.36,4528,0.34,2243,{},8791,0.66,2658,{},7728,0.79,19,"{'a': 5998, 'both': 10, 'all': 52, 'another': 16, 'that': 10, 'these': 41, 'some': 64, 'what': 3, 'whatever': 2, 'an': 142, 'this': 68, 'every': 19, 'which': 3, 'each': 17, 'such': 22, 'the': 1230, 'any': 24, 'those': 6}",5906,0.76,1083,0.14,91,0.01,87,0.01,517,0.07,1280,0.13,900,{},654,0.07,374,{},3135,0.32,688,"{'new': 119, 'great': 84, 'many': 87, 'wide': 799}",20,0.00,19,{'sake': 2},131,0.01,267,0.03,154,0.02,354,0.04,99,0.28,93,{},78,0.22,77,{},11,0.00,23,0.00,6269,0.64,5878,0.94,116,0.02,275,0.04,6932,0.71,5868,0.85,115,0.02,669,0.10,275,0.04,5,0.00,6462,0.66,5,0.00,59,0.01,33,0.00
valley,2234,1649,0.74,576,0.26,9,0.00,0,0,575,0.26,1655,0.74,308,0.14,374,0.17,1552,0.69,5,0.00,650,0.29,91,0.14,142,0.22,85,0.13,90,0.14,104,0.16,132,0.20,104,0.16,132,0.20,317,0.49,155,{'be': 80},1,333,0.51,186,{'be': 28},1,4,0.01,1525,0.68,1202,0.79,797,{},323,0.21,247,{},1480,0.66,13,"{'a': 219, 'that': 8, 'these': 14, 'some': 4, 'an': 6, 'this': 51, 'every': 5, 'another': 2, 'each': 3, 'the': 1164, 'those': 2}",225,0.15,1102,0.74,69,0.05,8,0.01,76,0.05,333,0.15,194,"{'hills': 24, 'peaks': 43}",684,0.31,302,"{'river': 89, 'floor': 57}",646,0.29,219,"{'dry': 91, 'lower': 22, 'narrow': 24, 'central': 23}",51,0.02,41,{},53,0.02,23,0.01,49,0.02,154,0.07,30,0.19,29,{},47,0.31,47,{},1,0.00,6,0.00,258,0.12,230,0.89,6,0.02,22,0.09,303,0.14,227,0.75,6,0.02,48,0.16,22,0.07,0,0,299,0.13,0,0,9,0.00,7,0.00
unreality,46,44,0.96,2,0.04,0,0,0,0,2,0.04,44,0.96,2,0.04,30,0.65,14,0.30,0,0.00,12,0.26,2,0.17,3,0.25,4,0.33,2,0.17,0,0,1,0.08,0,0,1,0.08,3,0.25,3,"{'precipitate': 1, 'begin': 1, 'transport': 1}",3,9,0.75,9,"{'portray': 1, 'wedge': 1, 'have': 1, 'hint': 1, 'suggest': 1, 'felt': 1, 'determine': 1, 'integrate': 1, 'be': 1}",9,2,0.17,47,1.02,32,0.68,20,"{'air': 7, 'sense': 6}",15,0.32,14,{'it': 2},14,0.30,3,"{'a': 2, 'the': 10, 'an': 2}",4,0.29,10,0.71,0,0,0,0,0,0,11,0.24,11,{},2,0.04,2,"{'utopian': 1, 'kafkaesque': 1}",9,0.20,9,"{'idealized': 1, 'greater': 1, 'certain': 1, 'monstrous': 1, 'fictional': 1, 'manifest': 1, 'current': 1, 'massive': 1, 'peculiar': 1}",0,0.00,0,{},0,0.00,0,0.00,1,0.02,8,0.17,1,0.12,1,{'encampment': 1},3,0.38,3,"{'accusation': 1, '109': 1, 'visions': 1}",0,0.00,0,0.00,4,0.09,4,1.00,0,0,0,0,4,0.09,4,1.00,0,0,0,0,0,0,0,0,4,0.09,0,0,2,0.04,0,0
university,7534,4675,0.62,2851,0.38,8,0.00,0,0,2850,0.38,4679,0.62,2159,0.29,2331,0.31,3044,0.40,21,0.00,2412,0.32,645,0.27,517,0.21,134,0.06,340,0.14,431,0.18,325,0.13,431,0.18,325,0.13,1632,0.68,469,"{'be': 344, 'have': 100}",2,780,0.32,285,"{'be': 113, 'attend': 64}",2,68,0.03,3820,0.51,3247,0.85,1561,{},573,0.15,353,{},2677,0.36,23,"{'a': 530, 'both': 12, 'all': 23, 'that': 9, 'these': 10, 'some': 26, 'an': 36, 'this': 18, 'every': 13, 'another': 13, 'each': 12, 'such': 4, 'the': 1934, 'any': 18, 'those': 10}",562,0.21,1799,0.67,44,0.02,59,0.02,201,0.08,1786,0.24,424,"{'schools': 94, 'colleges': 642, 'college': 179}",2474,0.33,619,"{'students': 183, 'state': 109, 'research': 79}",1535,0.20,250,"{'catholic': 60, 'major': 69, 'elite': 26, 'many': 44, 'modern': 27, 'private': 34, 'large': 46, 'most': 31, 'american': 160, 'other': 54, 'several': 28, 'local': 33, 'public': 95}",269,0.04,181,{},238,0.03,181,0.02,102,0.01,288,0.04,61,0.21,51,{},83,0.29,72,{},13,0.00,21,0.00,818,0.11,573,0.70,65,0.08,180,0.22,932,0.12,563,0.60,60,0.06,129,0.14,180,0.19,0,0,928,0.12,0,0,88,0.01,29,0.00
unity,1973,1935,0.98,34,0.02,4,0.00,0,0,33,0.02,1939,0.98,23,0.01,1175,0.60,775,0.39,13,0.01,839,0.43,245,0.29,120,0.14,88,0.10,86,0.10,69,0.08,214,0.26,69,0.08,214,0.26,292,0.35,132,{'be': 123},1,547,0.65,201,"{'be': 46, 'maintain': 25, 'achieve': 21}",3,27,0.03,1664,0.84,1016,0.61,612,{},648,0.39,356,{},653,0.33,14,"{'a': 157, 'both': 2, 'all': 3, 'that': 15, 'these': 2, 'some': 3, 'an': 28, 'this': 39, 'such': 5, 'the': 390, 'any': 6}",187,0.29,367,0.56,48,0.07,9,0.01,34,0.05,466,0.24,285,{},161,0.08,112,{},740,0.38,288,{'national': 99},1,0.00,1,{'sake': 1},128,0.06,4,0.00,32,0.02,116,0.06,31,0.27,28,{'end': 3},27,0.23,25,{'identity': 3},6,0.00,9,0.00,190,0.10,184,0.97,0,0,6,0.03,254,0.13,184,0.72,0,0,63,0.25,6,0.02,1,0.00,245,0.12,1,0.00,39,0.02,12,0.01
uncertainty,1781,1368,0.77,412,0.23,1,0.00,0,0,412,0.23,1369,0.77,223,0.13,930,0.52,628,0.35,9,0.01,783,0.44,181,0.23,94,0.12,63,0.08,77,0.10,119,0.15,241,0.31,119,0.15,241,0.31,420,0.54,159,{'be': 147},1,363,0.46,164,"{'be': 17, 'reduce': 31}",2,11,0.01,1230,0.69,818,0.67,483,{},412,0.33,293,{},586,0.33,12,"{'a': 8, 'all': 16, 'that': 13, 'these': 17, 'some': 23, 'an': 8, 'this': 46, 'another': 3, 'the': 443, 'any': 6, 'those': 2}",38,0.06,377,0.64,58,0.10,8,0.01,92,0.16,408,0.23,264,{},185,0.10,105,"{'expressions': 34, 'principle': 17}",462,0.26,183,"{'many': 22, 'economic': 19, 'political': 19, 'scientific': 35}",2,0.00,2,"{'90s': 1, 'measurements': 1}",56,0.03,6,0.00,26,0.01,70,0.04,23,0.33,23,{},12,0.17,12,{},4,0.00,9,0.01,45,0.03,16,0.36,22,0.49,7,0.16,86,0.05,16,0.19,20,0.23,42,0.49,7,0.08,1,0.01,85,0.05,1,0.00,20,0.01,10,0.01
tragedy,1364,1164,0.85,194,0.14,6,0.00,0,0,193,0.14,1169,0.86,112,0.08,385,0.28,867,0.64,18,0.01,630,0.46,116,0.18,158,0.25,30,0.05,89,0.14,39,0.06,189,0.30,39,0.06,189,0.30,301,0.48,132,"{'strike': 15, 'be': 109}",2,329,0.52,140,{'be': 93},1,19,0.03,921,0.68,628,0.68,470,{},293,0.32,217,{},798,0.59,16,"{'a': 227, 'both': 2, 'all': 7, 'that': 11, 'these': 14, 'what': 4, 'an': 19, 'this': 51, 'every': 3, 'another': 3, 'such': 2, 'the': 449, 'any': 2, 'those': 2}",242,0.30,367,0.46,71,0.09,7,0.01,101,0.13,237,0.17,181,{},133,0.10,97,{'family': 12},404,0.30,182,"{'personal': 27, 'greek': 32}",4,0.00,4,"{'plot': 1, 'image': 1, 'shape': 1, 'aftermath': 1}",72,0.05,13,0.01,40,0.03,92,0.07,24,0.26,24,{},22,0.24,21,{},28,0.02,12,0.01,265,0.19,242,0.91,6,0.02,17,0.06,289,0.21,242,0.84,6,0.02,24,0.08,17,0.06,0,0,285,0.21,0,0,36,0.03,32,0.02
