sent,tags,parse
"<p> To appreciate the difficulties of Florence 's widowhood , it is necessary briefly to rehearse the story of her marriage to Hardy .","<p>/VBN To/TO appreciate/VB the/DT difficulties/NNS of/IN Florence/NNP 's/POS widowhood/NN ,/, it/PRP is/VBZ necessary/JJ briefly/RB to/TO rehearse/VB the/DT story/NN of/IN her/PRP$ marriage/NN to/TO Hardy/NNP ./.","advcl(necessary-13, <p>-1) mark(appreciate-3, To-2) xcomp(<p>-1, appreciate-3) det(difficulties-5, the-4) dobj(appreciate-3, difficulties-5) case(widowhood-9, of-6) nmod:poss(widowhood-9, Florence-7) case(Florence-7, 's-8) nmod:of(difficulties-5, widowhood-9) nsubj(necessary-13, it-11) nsubj(rehearse-16, it-11) cop(necessary-13, is-12) root(ROOT-0, necessary-13) advmod(rehearse-16, briefly-14) mark(rehearse-16, to-15) xcomp(necessary-13, rehearse-16) det(story-18, the-17) dobj(rehearse-16, story-18) case(marriage-21, of-19) nmod:poss(marriage-21, her-20) nmod:of(story-18, marriage-21) case(Hardy-23, to-22) nmod:to(rehearse-16, Hardy-23)  "
"There had been other visits , too , at least one in the winter , my mother and I , when I was three and my father was out of work , but I have only shards of memory of those times -- chiefly of a Christmas tree with actual candles and of a long , swooping nighttime sled ride with my mother down the Quincy Hill , past my grandparents ' home , and around the corner into Summit Street where my aunt lived .","There/EX had/VBD been/VBN other/JJ visits/NNS ,/, too/RB ,/, at/IN least/JJS one/CD in/IN the/DT winter/NN ,/, my/PRP$ mother/NN and/CC I/PRP ,/, when/WRB I/PRP was/VBD three/CD and/CC my/PRP$ father/NN was/VBD out/RB of/IN work/NN ,/, but/CC I/PRP have/VBP only/JJ shards/NNS of/IN memory/NN of/IN those/DT times/NNS --/: chiefly/RB of/IN a/DT Christmas/NNP tree/NN with/IN actual/JJ candles/NNS and/CC of/IN a/DT long/JJ ,/, swooping/JJ nighttime/JJ sled/NN ride/NN with/IN my/PRP$ mother/NN down/IN the/DT Quincy/NNP Hill/NNP ,/, past/IN my/PRP$ grandparents/NNS '/POS home/NN ,/, and/CC around/IN the/DT corner/NN into/IN Summit/NNP Street/NNP where/WRB my/PRP$ aunt/NN lived/VBD ./.","expl(visits-5, There-1) aux(visits-5, had-2) cop(visits-5, been-3) amod(visits-5, other-4) root(ROOT-0, visits-5) conj:and(visits-5, visits-5') conj:and(visits-5, visits-5'') conj:and(visits-5, visits-5''') conj:and(visits-5, visits-5'''') conj:and(visits-5, visits-5''''') conj:and(visits-5, visits-5'''''') advmod(visits-5, too-7) case(least-10, at-9) nmod:npmod(one-11, least-10) appos(visits-5, one-11) case(winter-14, in-12) det(winter-14, the-13) nmod:in(one-11, winter-14) nmod:poss(mother-17, my-16) nmod:in(one-11, mother-17) conj:and(winter-14, mother-17) cc(winter-14, and-18) nmod:in(one-11, I-19) conj:and(winter-14, I-19) advmod(three-24, when-21) nsubj(three-24, I-22) cop(three-24, was-23) acl:relcl(winter-14, three-24) cc(three-24, and-25) nmod:poss(father-27, my-26) nsubj(work-31, father-27) cop(work-31, was-28) case(work-31, out-29) mwe(out-29, of-30) acl:relcl(winter-14, work-31) conj:and(three-24, work-31) cc(work-31, but-33) nsubj(have-35, I-34) conj:and(three-24, have-35) conj:but(work-31, have-35) amod(shards-37, only-36) dobj(have-35, shards-37) case(memory-39, of-38) nmod:of(shards-37, memory-39) case(times-42, of-40) det(times-42, those-41) nmod:of(memory-39, times-42) dep(tree-48, chiefly-44) case(tree-48, of-45) det(tree-48, a-46) compound(tree-48, Christmas-47) dep(have-35, tree-48) case(candles-51, with-49) amod(candles-51, actual-50) nmod:with(visits-5, candles-51) cc(visits-5, and-52) case(ride-60, of-53) det(ride-60, a-54) amod(ride-60, long-55) amod(ride-60, swooping-57) amod(ride-60, nighttime-58) compound(ride-60, sled-59) nmod:of(visits-5'', ride-60) case(mother-63, with-61) nmod:poss(mother-63, my-62) nmod:with(ride-60, mother-63) case(Hill-67, down-64) det(Hill-67, the-65) compound(Hill-67, Quincy-66) nmod:down(mother-63, Hill-67) case(home-73, past-69) nmod:poss(grandparents-71, my-70) nmod:poss(home-73, grandparents-71) case(grandparents-71, '-72) nmod:past(visits-5', home-73) cc(visits-5, and-75) case(corner-78, around-76) det(corner-78, the-77) nmod:around(visits-5''', corner-78) case(Street-81, into-79) compound(Street-81, Summit-80) nmod:into(corner-78, Street-81) advmod(lived-85, where-82) nmod:poss(aunt-84, my-83) nsubj(lived-85, aunt-84) acl:relcl(Street-81, lived-85)  "
"It is hardly surprising that America 's schools would recognize strong cultural ties with Europe since our nation 's political , religious , educational , and economic institutions were created chiefly by people of European descent , our government was shaped by European ideas , and nearly 80 percent of the people who live here are of European descent .","It/PRP is/VBZ hardly/RB surprising/JJ that/IN America/NNP 's/POS schools/NNS would/MD recognize/VB strong/JJ cultural/JJ ties/NNS with/IN Europe/NNP since/IN our/PRP$ nation/NN 's/VBZ political/JJ ,/, religious/RB ,/, educational/JJ ,/, and/CC economic/JJ institutions/NNS were/VBD created/VBN chiefly/RB by/IN people/NNS of/IN European/JJ descent/NN ,/, our/PRP$ government/NN was/VBD shaped/VBN by/IN European/JJ ideas/NNS ,/, and/CC nearly/RB 80/CD percent/NN of/IN the/DT people/NNS who/WP live/VBP here/RB are/VBP of/IN European/JJ descent/NN ./.","nsubj(surprising-4, It-1) cop(surprising-4, is-2) advmod(surprising-4, hardly-3) root(ROOT-0, surprising-4) mark(recognize-10, that-5) nmod:poss(schools-8, America-6) case(America-6, 's-7) nsubj(recognize-10, schools-8) aux(recognize-10, would-9) ccomp(surprising-4, recognize-10) amod(ties-13, strong-11) amod(ties-13, cultural-12) dobj(recognize-10, ties-13) case(Europe-15, with-14) nmod:with(recognize-10, Europe-15) mark(educational-24, since-16) nmod:poss(nation-18, our-17) nsubj(educational-24, nation-18) cop(educational-24, 's-19) amod(educational-24, political-20) advmod(educational-24, religious-22) advcl(recognize-10, educational-24) cc(surprising-4, and-26) amod(institutions-28, economic-27) nsubjpass(created-30, institutions-28) auxpass(created-30, were-29) conj:and(surprising-4, created-30) advmod(created-30, chiefly-31) case(people-33, by-32) nmod:by(created-30, people-33) case(descent-36, of-34) amod(descent-36, European-35) nmod:of(people-33, descent-36) nmod:poss(government-39, our-38) nsubjpass(shaped-41, government-39) auxpass(shaped-41, was-40) ccomp(surprising-4, shaped-41) case(ideas-44, by-42) amod(ideas-44, European-43) nmod:by(shaped-41, ideas-44) cc(surprising-4, and-46) advmod(80-48, nearly-47) nummod(percent-49, 80-48) nsubj(descent-59, percent-49) case(people-52, of-50) det(people-52, the-51) nmod:of(percent-49, people-52) nsubj(live-54, people-52) ref(people-52, who-53) acl:relcl(people-52, live-54) advmod(live-54, here-55) cop(descent-59, are-56) case(descent-59, of-57) amod(descent-59, European-58) conj:and(surprising-4, descent-59)  "
"And here the workers in the neighborhood came to attend classes and meetings , mingling with university men and community leaders , and living , at least briefly , a mode of life very different from their own .","And/CC here/RB the/DT workers/NNS in/IN the/DT neighborhood/NN came/VBD to/TO attend/VB classes/NNS and/CC meetings/NNS ,/, mingling/VBG with/IN university/NN men/NNS and/CC community/NN leaders/NNS ,/, and/CC living/VBG ,/, at/IN least/JJS briefly/RB ,/, a/DT mode/NN of/IN life/NN very/RB different/JJ from/IN their/PRP$ own/JJ ./.","cc(came-8, And-1) advmod(came-8, here-2) det(workers-4, the-3) nsubj(came-8, workers-4) nsubj(attend-10, workers-4) case(neighborhood-7, in-5) det(neighborhood-7, the-6) nmod:in(workers-4, neighborhood-7) root(ROOT-0, came-8) mark(attend-10, to-9) xcomp(came-8, attend-10) dobj(attend-10, classes-11) cc(classes-11, and-12) dobj(attend-10, meetings-13) conj:and(classes-11, meetings-13) ccomp(came-8, mingling-15) case(men-18, with-16) compound(men-18, university-17) nmod:with(mingling-15, men-18) cc(men-18, and-19) compound(leaders-21, community-20) nmod:with(mingling-15, leaders-21) conj:and(men-18, leaders-21) cc(mingling-15, and-23) ccomp(came-8, living-24) conj:and(mingling-15, living-24) case(least-27, at-26) dep(living-24, least-27) dep(least-27, briefly-28) det(mode-31, a-30) ccomp(came-8, mode-31) conj:and(mingling-15, mode-31) case(life-33, of-32) nmod:of(mode-31, life-33) advmod(different-35, very-34) amod(life-33, different-35) case(own-38, from-36) nmod:poss(own-38, their-37) nmod:from(life-33, own-38)  "
"I propose briefly to examine four methodologies : deconstruction , feminist criticism , the New Historicism , and film theory .","I/PRP propose/VBP briefly/RB to/TO examine/VB four/CD methodologies/NNS :/: deconstruction/NN ,/, feminist/JJ criticism/NN ,/, the/DT New/NNP Historicism/NNP ,/, and/CC film/NN theory/NN ./.","nsubj(propose-2, I-1) nsubj(examine-5, I-1) root(ROOT-0, propose-2) advmod(propose-2, briefly-3) mark(examine-5, to-4) xcomp(propose-2, examine-5) nummod(methodologies-7, four-6) dobj(examine-5, methodologies-7) dep(methodologies-7, deconstruction-9) amod(criticism-12, feminist-11) dep(methodologies-7, criticism-12) conj:and(deconstruction-9, criticism-12) det(Historicism-16, the-14) compound(Historicism-16, New-15) dep(methodologies-7, Historicism-16) conj:and(deconstruction-9, Historicism-16) cc(deconstruction-9, and-18) compound(theory-20, film-19) dep(methodologies-7, theory-20) conj:and(deconstruction-9, theory-20)  "
One year I spoke briefly to a man who appeared to feel that the convention had been ruined for him because the subject of the president 's address had not been published beforehand .,One/CD year/NN I/PRP spoke/VBD briefly/RB to/TO a/DT man/NN who/WP appeared/VBD to/TO feel/VB that/IN the/DT convention/NN had/VBD been/VBN ruined/VBN for/IN him/PRP because/IN the/DT subject/NN of/IN the/DT president/NN 's/POS address/NN had/VBD not/RB been/VBN published/VBN beforehand/RB ./.,"nummod(year-2, One-1) nmod:tmod(spoke-4, year-2) nsubj(spoke-4, I-3) root(ROOT-0, spoke-4) advmod(spoke-4, briefly-5) case(man-8, to-6) det(man-8, a-7) nmod:to(spoke-4, man-8) nsubj(appeared-10, man-8) nsubj(feel-12, man-8) ref(man-8, who-9) acl:relcl(man-8, appeared-10) mark(feel-12, to-11) xcomp(appeared-10, feel-12) mark(ruined-18, that-13) det(convention-15, the-14) nsubjpass(ruined-18, convention-15) aux(ruined-18, had-16) auxpass(ruined-18, been-17) ccomp(feel-12, ruined-18) case(him-20, for-19) nmod:for(ruined-18, him-20) mark(published-32, because-21) det(subject-23, the-22) nsubjpass(published-32, subject-23) case(address-28, of-24) det(president-26, the-25) nmod:poss(address-28, president-26) case(president-26, 's-27) nmod:of(subject-23, address-28) aux(published-32, had-29) neg(published-32, not-30) auxpass(published-32, been-31) advcl(ruined-18, published-32) advmod(published-32, beforehand-33)  "
"<p> Next to me when I boarded the plane to fly out to the 1983 LA convention was a severe , owlish chap .","<p>/NNP Next/NNP to/TO me/PRP when/WRB I/PRP boarded/VBD the/DT plane/NN to/TO fly/VB out/RP to/TO the/DT 1983/CD LA/NNP convention/NN was/VBD a/DT severe/JJ ,/, owlish/JJ chap/NN ./.","compound(me-4, <p>-1) case(me-4, Next-2) mwe(Next-2, to-3) nmod:next_to(chap-23, me-4) advmod(boarded-7, when-5) nsubj(boarded-7, I-6) acl:relcl(me-4, boarded-7) det(plane-9, the-8) dobj(boarded-7, plane-9) mark(fly-11, to-10) acl(plane-9, fly-11) compound:prt(fly-11, out-12) case(convention-17, to-13) det(convention-17, the-14) nummod(convention-17, 1983-15) compound(convention-17, LA-16) nmod:to(fly-11, convention-17) cop(chap-23, was-18) det(chap-23, a-19) amod(chap-23, severe-20) amod(chap-23, owlish-22) root(ROOT-0, chap-23)  "
My own main purpose in flying to LA was not to attend the MLA .,My/PRP$ own/JJ main/JJ purpose/NN in/IN flying/VBG to/TO LA/NNP was/VBD not/RB to/TO attend/VB the/DT MLA/NN ./.,"nmod:poss(purpose-4, My-1) amod(purpose-4, own-2) amod(purpose-4, main-3) nsubj(was-9, purpose-4) nsubj(attend-12, purpose-4) mark(flying-6, in-5) acl(purpose-4, flying-6) case(LA-8, to-7) nmod:to(flying-6, LA-8) root(ROOT-0, was-9) neg(was-9, not-10) mark(attend-12, to-11) xcomp(was-9, attend-12) det(MLA-14, the-13) dobj(attend-12, MLA-14)  "
What they chiefly have in common is a particular relation of the life to the work .,What/WP they/PRP chiefly/RB have/VBP in/IN common/JJ is/VBZ a/DT particular/JJ relation/NN of/IN the/DT life/NN to/TO the/DT work/NN ./.,"dobj(common-6, What-1) nsubj(common-6, they-2) advmod(common-6, chiefly-3) aux(common-6, have-4) case(common-6, in-5) csubj(relation-10, common-6) cop(relation-10, is-7) det(relation-10, a-8) amod(relation-10, particular-9) root(ROOT-0, relation-10) case(life-13, of-11) det(life-13, the-12) nmod:of(relation-10, life-13) case(work-16, to-14) det(work-16, the-15) nmod:to(life-13, work-16)  "
After a while you fly out .,After/IN a/DT while/NN you/PRP fly/VBP out/RP ./.,"case(while-3, After-1) det(while-3, a-2) nmod:after(fly-5, while-3) nsubj(fly-5, you-4) root(ROOT-0, fly-5) compound:prt(fly-5, out-6)  "
