Noun,Noun Count,NN Count,NN Percentage,NNS Count,NNS Percentage,NNP Count,NNP Percentage,NNPS Count,NNPS Percentage,Plural Noun Count,Plural Noun Percentage,Singular Noun Count,Singular Noun Percentage,Bare Plural Noun Count,Bare Plural Noun Percentage,Bare Singular Noun Count,Bare Singular Noun Percentage,Linked Noun Count,Linked Noun Percentage,Noun Negation Count,Noun Negation Percentage,Verb Construction Count,Verb Construction Percentage,VB Count,VB Percentage,VBD Count,VBD Percentage,VBG Count,VBG Percentage,VBN Count,VBN Percentage,VBP Count,VBP Percentage,VBZ Count,VBZ Percentage,Plural Verb Count,Plural Verb Percentage,Singular Verb Count,Singular Verb Percentage,Verb Subject Count,Verb Subject Percentage,Unique Verb Subject Count,Significant Verb Subjects,Significant Verb Subject Count,Verb Object Count,Verb Object Percentage,Unique Verb Object Count,Significant Verb Objects,Significant Verb Object Count,Verb Negation Count,Verb Negation Percentage,Prepositional Phrase Count,Prepositional Phrase Percentage,Prepositional Subject Count,Prepositional Subject Percentage,Unique Prepositional Subject Count,Significant Prepositional Subjects,Prepositional Object Count,Prepositional Object Percentage,Unique Prepositional Object Count,Significant Prepositional Objects,Determiner Count,Determiner Percentage,Unique Determiner Count,Significant Determiners,Indefinite Article Count,Indefinite Article Percentage,Definite Article Count,Definite Article Percentage,Demonstrative Pronoun Count,Demonstrative Pronoun Percentage,Quantifier Count,Quantifier Percentage,Other Determiner Count,Other Determiner Percentage,Conjoined Count,Conjoined Percentage,Unique Conjoined Count,Significant Conjoined,Compound Count,Compound Percentage,Unique Compound Count,Significant Compounds,Adjective Count,Adjective Percentage,Unique Adjective Count,Significant Adjectives,Adjtype: Behavior Avg,Adjtype: Body Avg,Adjtype: Feeling Avg,Adjtype: Mind Avg,Adjtype: Miscellaneous Avg,Adjtype: Motion Avg,Adjtype: Perception Avg,Adjtype: Quantity Avg,Adjtype: Social Avg,Adjtype: Spatial Avg,Adjtype: Substance Avg,Adjtype: Temporal Avg,Adjtype: Weather Avg,Possesed Count,Possesed Percentage,Unique Possesed Count,Significant Possesed,Possesive Count,Possesive Percentage,Numeric Count,Numeric Percentage,Adverb Count,Adverb Percentage,Appositive Count,Appositive Percentage,Appositional Modifier Count,Appositional Modifier Percentage,Unique Appositional Modifier Count,Significant Appositional Modifiers,Modified Appositive Count,Modified Appositive Percentage,Unique Modified Appositive Count,Significant Modified Appositives,Modal Count,Modal Percentage,Conditional Count,Conditional Percentage,Denumerator Count,Denumerator Percentage,Unit Denumerator Count,Unit Denumerator Percentage,Fuzzy Denumerator Count,Fuzzy Denumerator Percentage,Other Denumerator Count,Other Denumerator Percentage,Allan Count,Allan Percentage,A N Count,A N Percentage,F Ns Count,F Ns Percentage,Sing Subj Plu V Count,Sing Subj Plu V Percentage,O Den Count,O Den Percentage,All N Count,All N Percentage,Countable Count,Countable Percentage,Uncountable Count,Uncountable Percentage,Verdical Count,Verdical Percentage,NonVerdical Count,NonVerdical Percentage,A Count,A Percentage,An Count,An Percentage,All Count,All Percentage,Another Count,Another Percentage,Any Count,Any Percentage,Both Count,Both Percentage,Certain Count,Certain Percentage,Each Count,Each Percentage,Either Count,Either Percentage,Enough Count,Enough Percentage,Every Count,Every Percentage,Few Count,Few Percentage,Little Count,Little Percentage,Many Count,Many Percentage,Much Count,Much Percentage,Neither Count,Neither Percentage,No Count,No Percentage,One Count,One Percentage,Said Count,Said Percentage,Several Count,Several Percentage,Some Count,Some Percentage,Such Count,Such Percentage,Sufficient Count,Sufficient Percentage,That Count,That Percentage,The Count,The Percentage,This Count,This Percentage,Various Count,Various Percentage,We Count,We Percentage,Whatever Count,Whatever Percentage,Whatsoever Count,Whatsoever Percentage,What Count,What Percentage,Whichever Count,Whichever Percentage,Which Count,Which Percentage,You Count,You Percentage
brother,184,110,0.60,73,0.40,1,0.01,0,0,73,0.40,111,0.60,34,0.18,69,0.38,81,0.44,0,0.00,93,0.51,18,0.19,40,0.43,5,0.05,10,0.11,9,0.10,9,0.10,9,0.10,9,0.10,56,0.60,38,{'be': 12},1,37,0.40,26,"{'be': 5, 'have': 6}",2,0,0.00,63,0.34,50,0.79,48,{},13,0.21,13,{},33,0.18,5,"{'a': 3, 'the': 25, 'all': 2, 'another': 2, 'that': 1}",2,0.06,25,0.76,1,0.03,1,0.03,3,0.09,46,0.25,32,"{'sisters': 5, 'father': 4}",22,0.12,22,{},40,0.22,23,"{'younger': 9, 'older': 8}",0.07030405405405404,0.04253120978120978,0.005745495495495495,0.28171171171171167,0.08117792792792794,0.02674436936936938,0.07455518018018018,0.02386373873873874,0.08359716859716859,0.05148986486486486,0.0627927927927928,0.05514864864864864,0.14033783783783785,7,0.04,6,"{'death': 2, 'novels': 1, 'house': 1, 'reluctance': 1, 'authority': 1, 'wives': 1}",101,0.55,10,0.05,3,0.02,42,0.23,11,0.26,11,{},10,0.24,10,{},0,0.00,0,0.00,14,0.08,2,0.14,2,0.14,10,0.71,15,0.08,2,0.13,2,0.13,1,0.07,10,0.67,0,0,15,0.08,0,0,0,0,0,0,3,0.02,0,0,2,0.01,2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,1,0.01,25,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrot,102,51,0.50,51,0.50,0,0,0,0,51,0.50,50,0.49,34,0.33,22,0.22,46,0.45,1,0.01,54,0.53,17,0.31,5,0.09,7,0.13,7,0.13,12,0.22,6,0.11,12,0.22,6,0.11,21,0.39,14,"{'be': 6, 'contain': 2, 'wash': 2}",3,33,0.61,23,"{'add': 6, 'combine': 3}",2,1,0.02,37,0.36,29,0.78,28,{},8,0.22,6,"{'purchases': 1, 'assistance': 3, 'tops': 1, 'mfn': 1, 'incentive': 1, 'those': 1}",33,0.32,4,"{'a': 10, 'the': 20, 'all': 2, 'an': 1}",11,0.33,18,0.55,0,0,1,0.03,2,0.06,46,0.45,37,{},21,0.21,17,"{'bars': 2, 'tops': 2, 'market': 2, 'sellers': 2}",18,0.18,16,"{'big': 2, 'white': 2}",0.0746390056022409,0.10882125350140057,0.011707107843137256,0.07708333333333332,0.04812219887955183,0.024170518207282915,0.11861148777692894,0.02645098039215687,0.17153011204481794,0.04583823529411763,0.1055269607843137,0.06609803921568627,0.12140076712503181,0,0.00,0,{},1,0.01,1,0.01,0,0.00,6,0.06,3,0.50,3,"{'this': 1, 'bananas': 1, 'peas': 1}",0,0.00,0,{},0,0.00,0,0.00,12,0.12,12,1.00,0,0,0,0,14,0.14,12,0.86,0,0,2,0.14,0,0,0,0,13,0.13,0,0,2,0.02,0,0,10,0.10,1,0.01,2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cattle,776,0,0,772,0.99,4,0.01,0,0,0,0,4,0.01,0,0,3,0.00,773,1.00,2,0.00,309,0.40,72,0.23,70,0.23,35,0.11,56,0.18,52,0.17,22,0.07,52,0.17,22,0.07,151,0.49,93,{'be': 26},1,158,0.51,90,"{'be': 10, 'raise': 10}",2,12,0.04,400,0.52,312,0.78,241,{},88,0.22,76,{},78,0.10,7,"{'a': 5, 'both': 1, 'all': 1, 'these': 2, 'some': 1, 'the': 66, 'those': 2}",6,0.08,60,0.77,4,0.05,1,0.01,7,0.09,196,0.25,125,"{'sheep': 17, 'horses': 17}",223,0.29,112,"{'grazing': 13, 'ranchers': 13}",99,0.13,60,"{'spotted': 20, 'more': 7}",0.06661419753086419,0.06730606995884772,0.0212986111111111,0.10203909465020577,0.10998045267489713,0.0352283950617284,0.07813664087969642,0.03189866255144034,0.09406165490887713,0.07864197530864198,0.08244984567901235,0.09684207818930039,0.13550232149537714,2,0.00,2,"{'bunks': 1, 'system': 1}",32,0.04,20,0.03,10,0.01,36,0.05,7,0.19,6,"{'horses': 1, 'system': 1, 'maasai': 1, 'fruit': 1, 'barley': 1, 'cattle': 2}",11,0.31,10,{'cattle': 2},0,0.00,1,0.00,22,0.03,5,0.23,2,0.09,15,0.68,74,0.10,5,0.07,2,0.03,52,0.70,15,0.20,0,0,72,0.09,0,0,14,0.02,1,0.00,5,0.01,0,0,1,0.00,0,0,0,0,1,0.00,0,0,0,0,0,0,2,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0,0,0,0,0,0,66,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crime,2099,1409,0.67,684,0.33,6,0.00,0,0,683,0.33,1412,0.67,363,0.17,780,0.37,956,0.46,22,0.01,783,0.37,198,0.25,129,0.16,97,0.12,145,0.19,96,0.12,109,0.14,96,0.12,109,0.14,314,0.40,124,"{'be': 94, 'commit': 22}",2,469,0.60,172,"{'be': 58, 'commit': 101}",2,25,0.03,1323,0.63,1035,0.78,565,{'fear': 61},288,0.22,190,{'humanity': 20},560,0.27,15,"{'a': 211, 'all': 9, 'that': 4, 'this': 13, 'some': 11, 'an': 15, 'these': 18, 'every': 7, 'each': 2, 'such': 4, 'the': 248, 'any': 14, 'those': 2}",233,0.42,235,0.42,33,0.06,30,0.05,24,0.04,401,0.19,245,{},541,0.26,193,"{'rates': 21, 'rate': 25, 'street': 23, 'hate': 26, 'war': 56}",590,0.28,196,"{'military': 28, 'violent': 93, 'other': 20, 'organized': 33, 'serious': 29}",0.07226511715797442,0.04600671348786431,0.01467730116738052,0.0985888762912572,0.08191324955908307,0.04018106470983452,0.11168914723577396,0.036660052910052844,0.10133762702611936,0.09925747459477612,0.1279736552028218,0.08209254010246068,0.08735718055460108,3,0.00,3,"{'impact': 1, 'element': 1, 'nature': 1}",72,0.03,25,0.01,37,0.02,162,0.08,35,0.22,28,"{'drugs': 3, 'crimes': 3, 'poverty': 3}",46,0.28,34,{'circumstances': 5},5,0.00,17,0.01,256,0.12,225,0.88,4,0.02,27,0.11,299,0.14,222,0.74,4,0.01,46,0.15,27,0.09,0,0,296,0.14,0,0,47,0.02,16,0.01,211,0.10,15,0.01,1,0.00,1,0.00,1,0.00,0,0,4,0.00,2,0.00,0,0,0,0,7,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,0,0,3,0.00,0,0,0,0,11,0.01,17,0.01,0,0,4,0.00,2,0.00,13,0.01,1,0.00,0,0,0,0,0,0,1,0.00,0,0,0,0,0,0
fly,204,195,0.96,8,0.04,1,0.00,0,0,8,0.04,196,0.96,4,0.02,101,0.50,99,0.49,0,0.00,96,0.47,33,0.34,12,0.12,10,0.10,10,0.10,7,0.07,22,0.23,7,0.07,22,0.23,46,0.48,33,{'be': 12},1,50,0.52,41,{},0,1,0.01,60,0.29,46,0.77,45,{},14,0.23,11,{'ointment': 4},91,0.45,5,"{'a': 24, 'both': 1, 'the': 64, 'another': 1, 'an': 1}",22,0.24,54,0.59,0,0,0,0,14,0.15,10,0.05,10,{},134,0.66,73,"{'fruit': 16, 'ash': 12}",37,0.18,24,"{'tsetse': 5, 'female': 5, 'phorid': 4}",0.1769604978354978,0.10122258297258294,0.010930014430014429,0.09706277056277055,0.0999388528138528,0.0193219696969697,0.04406854256854255,0.019583333333333338,0.14284325396825395,0.0628598484848485,0.056679292929292906,0.05956439393939395,0.10896464646464644,6,0.03,6,"{'body': 1, 'fluid': 1, 'forewings': 1, 'foot': 1, 'cousin': 1, 'wings': 1}",2,0.01,3,0.01,3,0.01,12,0.06,1,0.08,1,{'vulture': 1},5,0.42,5,"{'stercorana': 1, 'range': 1, 'bird': 1, 'melanogaster': 1, 'cat': 1}",0,0.00,1,0.00,26,0.13,23,0.88,0,0,3,0.12,32,0.16,23,0.72,0,0,6,0.19,3,0.09,0,0,31,0.15,0,0,1,0.00,1,0.00,24,0.12,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,64,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harm,72,60,0.83,12,0.17,0,0,0,0,12,0.17,60,0.83,2,0.03,18,0.25,52,0.72,5,0.07,38,0.53,18,0.47,4,0.11,3,0.08,6,0.16,0,0,7,0.18,0,0,7,0.18,12,0.32,8,"{'do': 1, 'intend': 1, 'be': 5, 'avoid': 1, 'result': 1, 'include': 1, 'come': 1, 'occur': 1}",8,26,0.68,14,"{'do': 4, 'impose': 2, 'cause': 3, 'inflict': 3, 'prevent': 5}",5,0,0.00,35,0.49,30,0.86,25,"{'apportionment': 3, 'risk': 3}",5,0.14,5,"{'environment': 1, 'harm': 1, 'injury': 1, 'minors': 1, 'infection': 1}",23,0.32,4,"{'a': 2, 'both': 1, 'the': 19, 'some': 1}",3,0.13,19,0.83,0,0,0,0,1,0.04,8,0.11,7,"{'a': 1, 'life': 1, 'death': 1, 'increased': 1, 'bestow': 1, 'program': 1, 'threat': 2}",4,0.06,3,"{'pecuniary': 2, 'benefits': 1, 'bodily': 1}",40,0.56,25,"{'environmental': 5, 'more': 3, 'physical': 5}",0.05585520833333333,0.04780386904761905,0.009930208333333334,0.11446979166666667,0.11747395833333336,0.03650223214285715,0.1326040178571428,0.041411458333333324,0.10382217261904758,0.05656458333333334,0.08456250000000001,0.07279166666666666,0.1262083333333333,1,0.01,1,{'way': 1},0,0.00,0,0.00,2,0.03,0,0.00,0,0,0,{},0,0,0,{},0,0.00,0,0.00,3,0.04,2,0.67,0,0,1,0.33,3,0.04,2,0.67,0,0,0,0,1,0.33,0,0,3,0.04,0,0,5,0.07,0,0,2,0.03,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
injustice,703,579,0.82,117,0.17,7,0.01,0,0,116,0.17,581,0.83,30,0.04,320,0.46,353,0.50,4,0.01,293,0.42,86,0.29,32,0.11,39,0.13,42,0.14,31,0.11,59,0.20,31,0.11,59,0.20,97,0.33,55,"{'be': 27, 'occur': 6}",2,196,0.67,101,{'do': 19},1,9,0.03,459,0.65,365,0.80,274,{},94,0.20,83,{},200,0.28,12,"{'a': 24, 'all': 8, 'this': 6, 'some': 4, 'an': 29, 'these': 4, 'every': 4, 'the': 113, 'any': 5}",57,0.28,107,0.54,11,0.06,13,0.07,8,0.04,179,0.25,109,"{'justice': 13, 'poverty': 11}",37,0.05,31,{'gender': 4},219,0.31,88,"{'great': 10, 'past': 9, 'environmental': 9, 'economic': 12, 'historical': 9, 'social': 32, 'racial': 16}",0.05262834994462905,0.03952890365448509,0.010092967884828346,0.08855249169435213,0.11125960686600217,0.03553604651162789,0.10051342746400886,0.032952325581395395,0.0807713455149501,0.057706201550387574,0.22276220930232524,0.07900600775193793,0.08869011627906966,0,0.00,0,{},7,0.01,3,0.00,10,0.01,28,0.04,8,0.29,8,"{'impurity': 1, 'government': 1, 'jawr': 1, 'damage': 1, 'politics': 1, 'lesson': 1, 'corruption': 1, 'victimization': 1}",6,0.21,6,"{'n13': 1, 'envy': 1, 'jealousy': 1, 'shame': 1, 'punishment': 1, 'unconstitutionality': 1}",1,0.00,1,0.00,60,0.09,55,0.92,0,0,5,0.08,81,0.12,55,0.68,0,0,19,0.23,5,0.06,2,0.02,76,0.11,2,0.00,13,0.02,2,0.00,24,0.03,29,0.04,8,0.01,1,0.00,5,0.01,0,0,0,0,0,0,0,0,0,0,4,0.01,0,0,0,0,0,0,2,0.00,0,0,0,0,2,0.00,0,0,0,0,4,0.01,8,0.01,0,0,1,0.00,113,0.16,6,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justice,3495,3176,0.91,309,0.09,10,0.00,0,0,306,0.09,3184,0.91,48,0.01,2169,0.62,1278,0.37,32,0.01,1235,0.35,374,0.30,192,0.16,128,0.10,145,0.12,144,0.12,235,0.19,144,0.12,235,0.19,585,0.47,230,"{'do': 24, 'be': 154}",2,650,0.53,237,"{'be': 39, 'do': 133}",2,74,0.06,2022,0.58,1726,0.85,866,{},296,0.15,191,{'court': 30},457,0.13,16,"{'a': 60, 'both': 4, 'all': 8, 'that': 6, 'these': 3, 'some': 13, 'an': 13, 'this': 3, 'another': 7, 'each': 3, 'the': 326, 'any': 5, 'those': 3}",84,0.18,287,0.63,14,0.03,10,0.02,56,0.12,792,0.23,349,{'peace': 60},754,0.22,251,"{'supreme': 51, 'court': 55, 'system': 223}",1002,0.29,236,"{'other': 27, 'environmental': 37, 'chief': 34, 'economic': 45, 'social': 225, 'military': 28, 'racial': 24, 'criminal': 55, 'distributive': 25}",0.048594480858036394,0.037560575872684986,0.009165816326530614,0.09921444398927408,0.06738941543770816,0.02954116804872818,0.10282645612989688,0.02809380431004508,0.06966370288991486,0.05680893001969662,0.29370985401459926,0.07020133819951373,0.08723001390337191,17,0.00,16,{'views': 2},37,0.01,46,0.01,50,0.01,236,0.07,59,0.25,50,{},59,0.25,50,{'peace': 6},12,0.00,10,0.00,131,0.04,74,0.56,7,0.05,50,0.38,235,0.07,74,0.31,7,0.03,103,0.44,50,0.21,1,0.00,230,0.07,1,0.00,105,0.03,14,0.00,60,0.02,13,0.00,8,0.00,7,0.00,5,0.00,4,0.00,0,0,3,0.00,1,0.00,0,0,0,0,0,0,4,0.00,1,0.00,4,0.00,1,0.00,0,0,3,0.00,0,0,7,0.00,1,0.00,1,0.00,0,0,6,0.00,326,0.09,3,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key,1115,859,0.77,254,0.23,2,0.00,0,0,254,0.23,859,0.77,79,0.07,83,0.07,953,0.85,7,0.01,751,0.67,127,0.17,85,0.11,57,0.08,55,0.07,85,0.11,319,0.42,85,0.11,319,0.42,320,0.43,79,"{'lie': 19, 'be': 192}",2,431,0.57,119,"{'be': 167, 'use': 12, 'provide': 17, 'press': 20, 'hold': 25, 'find': 12}",6,11,0.01,612,0.55,269,0.44,211,{},343,0.56,238,{'success': 44},851,0.76,13,"{'a': 147, 'all': 6, 'this': 3, 'some': 4, 'an': 11, 'these': 2, 'another': 4, 'each': 3, 'the': 663, 'any': 5}",154,0.18,503,0.59,6,0.01,12,0.01,174,0.20,143,0.13,115,{},141,0.13,105,{},207,0.19,112,{},0.04797340871021776,0.07855511186886814,0.01320131909547738,0.08641119286910737,0.08540048456568557,0.024339430286352406,0.16191666666666663,0.023098618090452244,0.0992109356305336,0.0466146705750977,0.1382928182579564,0.05822654941373537,0.13675879396984933,2,0.00,2,"{'length': 1, 'venture': 1}",40,0.04,29,0.03,58,0.05,38,0.03,10,0.26,10,{},9,0.24,9,"{'organizations': 1, 'wilson': 1, 'greater': 1, 'keys': 1, 'activity': 1, 'arab': 1, '1': 1, 'factor': 1, 'adapters': 1}",22,0.02,47,0.04,186,0.17,157,0.84,4,0.02,25,0.13,232,0.21,157,0.68,2,0.01,48,0.21,25,0.11,0,0,225,0.20,0,0,18,0.02,65,0.06,147,0.13,11,0.01,6,0.01,4,0.00,5,0.00,1,0.00,0,0,3,0.00,0,0,0,0,0,0,1,0.00,2,0.00,2,0.00,0,0,0,0,0,0,12,0.01,0,0,3,0.00,4,0.00,0,0,0,0,1,0.00,1,0.00,3,0.00,2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitten,13,6,0.46,7,0.54,0,0,0,0,7,0.54,6,0.46,4,0.31,0,0,9,0.69,0,0.00,7,0.54,2,0.29,3,0.43,0,0,1,0.14,0,0,1,0.14,0,0,1,0.14,4,0.57,4,"{'happen': 1, 'run': 1, 'rescue': 1, 'nurse': 1}",4,3,0.43,3,"{'swallow': 1, 'throw': 1, 'get': 1}",3,0,0.00,6,0.46,6,1.00,6,"{'use': 1, 'acquainted': 1, 'ball': 1, 'experiments': 1, 'creatures': 1, 'gave': 1}",0,0.00,0,{},7,0.54,2,"{'a': 3, 'the': 4}",3,0.43,2,0.29,0,0,0,0,2,0.29,6,0.46,4,"{'puppies': 1, 'cats': 2, 'dogs': 2, 'puppy': 1}",4,0.31,4,"{'wild': 1, 'african': 1, 'orphaned': 1, 'cat': 1}",1,0.08,1,{'littlest': 1},0.08916666666666667,0.05,0.018125,0.11583333333333332,0.04583333333333334,0.05083333333333334,0.06166666666666666,0.0225,0.07354166666666667,0.10375,0.15,0.12125,0.0975,0,0.00,0,{},0,0.00,1,0.08,1,0.08,0,0.00,0,0,0,{},0,0,0,{},0,0.00,0,0.00,4,0.31,3,0.75,0,0,1,0.25,4,0.31,3,0.75,0,0,0,0,1,0.25,0,0,4,0.31,0,0,0,0,0,0,3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
