sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability
"A brother had preceded him to the new world , and apparently the news was good enough to persuade my grandfather to take the leap , probably about 1898 .","A/DT brother/NN had/VBD preceded/VBN him/PRP to/TO the/DT new/JJ world/NN ,/, and/CC apparently/RB the/DT news/NN was/VBD good/JJ enough/RB to/TO persuade/VB my/PRP$ grandfather/NN to/TO take/VB the/DT leap/NN ,/, probably/RB about/RB 1898/CD ./.","det(brother-2, A-1) nsubj(preceded-4, brother-2) aux(preceded-4, had-3) root(ROOT-0, preceded-4) dobj(preceded-4, him-5) case(world-9, to-6) det(world-9, the-7) amod(world-9, new-8) nmod:to(preceded-4, world-9) cc(preceded-4, and-11) advmod(good-16, apparently-12) det(news-14, the-13) nsubj(good-16, news-14) nsubj(persuade-19, news-14) cop(good-16, was-15) conj:and(preceded-4, good-16) advmod(good-16, enough-17) mark(persuade-19, to-18) xcomp(good-16, persuade-19) nmod:poss(grandfather-21, my-20) dobj(persuade-19, grandfather-21) mark(take-23, to-22) acl(grandfather-21, take-23) det(leap-25, the-24) dobj(take-23, leap-25) advmod(1898-29, probably-27) advmod(1898-29, about-28) acl:relcl(leap-25, 1898-29)  ",brother,2,"det(brother-2, A-1) nsubj(preceded-4, brother-2) ",A brother had preceded him to the,NN,[],preceded,VBN,subject,[],[],[],[],[],['A'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"Then , during his courtship , he noticed that his betrothed 's young brother , Alexis , was becoming increasingly attached to him .","Then/RB ,/, during/IN his/PRP$ courtship/NN ,/, he/PRP noticed/VBD that/IN his/PRP$ betrothed/NN 's/POS young/JJ brother/NN ,/, Alexis/NNP ,/, was/VBD becoming/VBG increasingly/RB attached/JJ to/TO him/PRP ./.","advmod(noticed-8, Then-1) case(courtship-5, during-3) nmod:poss(courtship-5, his-4) nmod:during(noticed-8, courtship-5) nsubj(noticed-8, he-7) root(ROOT-0, noticed-8) mark(becoming-19, that-9) nmod:poss(betrothed-11, his-10) nmod:poss(brother-14, betrothed-11) case(betrothed-11, 's-12) amod(brother-14, young-13) nsubj(becoming-19, brother-14) appos(brother-14, Alexis-16) aux(becoming-19, was-18) ccomp(noticed-8, becoming-19) advmod(attached-21, increasingly-20) xcomp(becoming-19, attached-21) case(him-23, to-22) nmod:to(attached-21, him-23)  ",brother,14,"nmod:poss(brother-14, betrothed-11) amod(brother-14, young-13) appos(brother-14, Alexis-16) nsubj(becoming-19, brother-14) ","that his betrothed 's young brother , Alexis , was becoming",NN,[],was,VBD,subject,[],[],[],[],[],[],[],[],['young'],[],['betrothed'],[],[],[],"['modified', 'Alexis']",,,singular,ambiguous,,unknown
"<p> In the report , Bob Fowler often gets singled out for special mention , as if he were a favorite son or brother : "" The enemy was compelled to retire upon receiving fire from the light machine guns in the weapons platoon , commanded by Lt. Fowler .","<p>/RB In/IN the/DT report/NN ,/, Bob/NNP Fowler/NNP often/RB gets/VBZ singled/VBN out/RP for/IN special/JJ mention/NN ,/, as/RB if/IN he/PRP were/VBD a/DT favorite/JJ son/NN or/CC brother/NN :/: ''/'' The/DT enemy/NN was/VBD compelled/VBN to/TO retire/VB upon/IN receiving/VBG fire/NN from/IN the/DT light/JJ machine/NN guns/NNS in/IN the/DT weapons/NNS platoon/NN ,/, commanded/JJ by/IN Lt./NNP Fowler/NNP ./.","advmod(report-4, <p>-1) case(report-4, In-2) det(report-4, the-3) nmod:in(gets-9, report-4) compound(Fowler-7, Bob-6) nsubj(gets-9, Fowler-7) advmod(gets-9, often-8) root(ROOT-0, gets-9) dep(gets-9, singled-10) compound:prt(singled-10, out-11) case(mention-14, for-12) amod(mention-14, special-13) nmod:for(singled-10, mention-14) mark(son-22, as-16) mwe(as-16, if-17) nsubj(son-22, he-18) cop(son-22, were-19) det(son-22, a-20) amod(son-22, favorite-21) advcl(singled-10, son-22) cc(son-22, or-23) advcl(singled-10, brother-24) conj:or(son-22, brother-24) det(enemy-28, The-27) nsubjpass(compelled-30, enemy-28) nsubj(retire-32, enemy-28) auxpass(compelled-30, was-29) dep(gets-9, compelled-30) mark(retire-32, to-31) xcomp(compelled-30, retire-32) mark(receiving-34, upon-33) advcl(retire-32, receiving-34) dobj(receiving-34, fire-35) case(guns-40, from-36) det(guns-40, the-37) amod(guns-40, light-38) compound(guns-40, machine-39) nmod:from(receiving-34, guns-40) case(platoon-44, in-41) det(platoon-44, the-42) compound(platoon-44, weapons-43) nmod:in(guns-40, platoon-44) parataxis(gets-9, commanded-46) case(Fowler-49, by-47) compound(Fowler-49, Lt.-48) nmod:by(commanded-46, Fowler-49)  ",brother,24,"advcl(singled-10, brother-24) conj:or(son-22, brother-24) ","were a favorite son or brother : "" The enemy was",NN,[],,,,,[],[],[],[],[],"[('or', 'son')]",[],[],[],[],[],[],[],[],,,singular,,,unknown
"He soon moved to the little building across the street , leaving his father and brother in the general store , and that is how I remember things .","He/PRP soon/RB moved/VBD to/TO the/DT little/JJ building/NN across/IN the/DT street/NN ,/, leaving/VBG his/PRP$ father/NN and/CC brother/NN in/IN the/DT general/JJ store/NN ,/, and/CC that/DT is/VBZ how/WRB I/PRP remember/VBP things/NNS ./.","nsubj(moved-3, He-1) advmod(moved-3, soon-2) root(ROOT-0, moved-3) case(building-7, to-4) det(building-7, the-5) amod(building-7, little-6) nmod:to(moved-3, building-7) case(street-10, across-8) det(street-10, the-9) nmod:across(moved-3, street-10) xcomp(moved-3, leaving-12) nmod:poss(father-14, his-13) dobj(leaving-12, father-14) cc(father-14, and-15) dobj(leaving-12, brother-16) conj:and(father-14, brother-16) case(store-20, in-17) det(store-20, the-18) amod(store-20, general-19) nmod:in(leaving-12, store-20) cc(moved-3, and-22) nsubj(is-24, that-23) conj:and(moved-3, is-24) advmod(remember-27, how-25) nsubj(remember-27, I-26) ccomp(is-24, remember-27) dobj(remember-27, things-28)  ",brother,16,"dobj(leaving-12, brother-16) conj:and(father-14, brother-16) ",", leaving his father and brother in the general store ,",NN,[],leaving,VBG,object,[],[],[],[],[],[],"[('and', 'father')]",[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"The only one of us not to drive Max was my brother , eight years younger .","The/DT only/JJ one/NN of/IN us/PRP not/RB to/TO drive/VB Max/NNP was/VBD my/PRP$ brother/NN ,/, eight/CD years/NNS younger/JJR ./.","det(one-3, The-1) amod(one-3, only-2) nsubj(not-6, one-3) nsubj(drive-8, one-3) case(us-5, of-4) nmod:of(one-3, us-5) root(ROOT-0, not-6) mark(drive-8, to-7) xcomp(not-6, drive-8) nsubj(brother-12, Max-9) cop(brother-12, was-10) nmod:poss(brother-12, my-11) ccomp(drive-8, brother-12) nummod(years-15, eight-14) appos(brother-12, years-15) dep(years-15, younger-16)  ",brother,12,"nsubj(brother-12, Max-9) cop(brother-12, was-10) nmod:poss(brother-12, my-11) appos(brother-12, years-15) ccomp(drive-8, brother-12) ","to drive Max was my brother , eight years younger .",NN,[],was,VBD,object,[],[],[],[],[],[],[],[],[],[],['my'],[],[],[],"['modified', 'years']",,,singular,ambiguous,,unknown
"It came in letters and phone calls , and it was a regular item like reports of the annual farm crop and the doings of my brother .","It/PRP came/VBD in/IN letters/NNS and/CC phone/NN calls/NNS ,/, and/CC it/PRP was/VBD a/DT regular/JJ item/NN like/IN reports/NNS of/IN the/DT annual/JJ farm/NN crop/NN and/CC the/DT doings/NNS of/IN my/PRP$ brother/NN ./.","nsubj(came-2, It-1) root(ROOT-0, came-2) case(letters-4, in-3) nmod:in(came-2, letters-4) cc(letters-4, and-5) compound(calls-7, phone-6) nmod:in(came-2, calls-7) conj:and(letters-4, calls-7) cc(came-2, and-9) nsubj(item-14, it-10) cop(item-14, was-11) det(item-14, a-12) amod(item-14, regular-13) conj:and(came-2, item-14) case(reports-16, like-15) nmod:like(item-14, reports-16) case(crop-21, of-17) det(crop-21, the-18) amod(crop-21, annual-19) compound(crop-21, farm-20) nmod:of(reports-16, crop-21) cc(reports-16, and-22) det(doings-24, the-23) nmod:like(item-14, doings-24) conj:and(reports-16, doings-24) case(brother-27, of-25) nmod:poss(brother-27, my-26) nmod:of(doings-24, brother-27)  ",brother,27,"case(brother-27, of-25) nmod:poss(brother-27, my-26) nmod:of(doings-24, brother-27) ",and the doings of my brother .,NN,[],,,,,"[('of', 'doings')]",['of'],['doings'],[],[],[],[],[],[],['my'],[],['of'],[],[],,,singular,,,unknown
"Max and my brother , however , were changing steadily in single directions .","Max/NNP and/CC my/PRP$ brother/NN ,/, however/RB ,/, were/VBD changing/VBG steadily/RB in/IN single/JJ directions/NNS ./.","nsubj(changing-9, Max-1) cc(Max-1, and-2) nmod:poss(brother-4, my-3) conj:and(Max-1, brother-4) nsubj(changing-9, brother-4) advmod(changing-9, however-6) aux(changing-9, were-8) root(ROOT-0, changing-9) advmod(changing-9, steadily-10) case(directions-13, in-11) amod(directions-13, single-12) nmod:in(changing-9, directions-13)  ",brother,4,"nmod:poss(brother-4, my-3) conj:and(Max-1, brother-4) nsubj(changing-9, brother-4) ","Max and my brother , however , were changing",NN,[],were,VBD,subject,[],[],[],[],[],[],"[('and', 'Max')]",[],[],[],['my'],[],[],[],[],,,singular,ambiguous,,unknown
"My brother was passing through his teens , growing into the prosperity of adult youth .","My/PRP$ brother/NN was/VBD passing/VBG through/IN his/PRP$ teens/NNS ,/, growing/VBG into/IN the/DT prosperity/NN of/IN adult/JJ youth/NN ./.","nmod:poss(brother-2, My-1) nsubj(passing-4, brother-2) aux(passing-4, was-3) root(ROOT-0, passing-4) case(teens-7, through-5) nmod:poss(teens-7, his-6) nmod:through(passing-4, teens-7) advcl(passing-4, growing-9) case(prosperity-12, into-10) det(prosperity-12, the-11) nmod:into(growing-9, prosperity-12) case(youth-15, of-13) amod(youth-15, adult-14) nmod:of(prosperity-12, youth-15)  ",brother,2,"nmod:poss(brother-2, My-1) nsubj(passing-4, brother-2) ",My brother was passing through his teens,NN,[],was,VBD,subject,[],[],[],[],[],[],[],[],[],[],['My'],[],[],[],[],,,singular,ambiguous,,unknown
"Even if my father , mother , and brother could have been available to take him every time he wanted a drive , he still sometimes wanted to drive himself .","Even/RB if/IN my/PRP$ father/NN ,/, mother/NN ,/, and/CC brother/NN could/MD have/VB been/VBN available/JJ to/TO take/VB him/PRP every/DT time/NN he/PRP wanted/VBD a/DT drive/NN ,/, he/PRP still/RB sometimes/RB wanted/VBD to/TO drive/VB himself/PRP ./.","advmod(available-13, Even-1) mark(available-13, if-2) nmod:poss(father-4, my-3) nsubj(available-13, father-4) nsubj(take-15, father-4) conj:and(father-4, mother-6) nsubj(available-13, mother-6) nsubj(take-15, mother-6) cc(father-4, and-8) conj:and(father-4, brother-9) nsubj(available-13, brother-9) nsubj(take-15, brother-9) aux(available-13, could-10) aux(available-13, have-11) cop(available-13, been-12) advcl(wanted-27, available-13) mark(take-15, to-14) xcomp(available-13, take-15) dobj(take-15, him-16) det(time-18, every-17) nmod:tmod(take-15, time-18) nsubj(wanted-20, he-19) dep(take-15, wanted-20) det(drive-22, a-21) dobj(wanted-20, drive-22) nsubj(wanted-27, he-24) nsubj(drive-29, he-24) advmod(wanted-27, still-25) advmod(wanted-27, sometimes-26) root(ROOT-0, wanted-27) mark(drive-29, to-28) xcomp(wanted-27, drive-29) dobj(drive-29, himself-30)  ",brother,9,"conj:and(father-4, brother-9) nsubj(available-13, brother-9) nsubj(take-15, brother-9) ","father , mother , and brother could have been available to",NN,[],been,VBN,subject,[],[],[],[],[],[],"[('and', 'father')]",[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"It assured that in the writing after Nature his conscience , always near to hand , took the form either of his fearing that he might have been abandoned by something , Cod perhaps , which ought to have loved him , or alternatively , that he might abandon , might already have abandoned , something or someone he ought always to love and cherish -- his dead son , wife , brother , his possibly dead language .","It/PRP assured/VBD that/IN in/IN the/DT writing/NN after/IN Nature/NNP his/PRP$ conscience/NN ,/, always/RB near/RB to/TO hand/NN ,/, took/VBD the/DT form/NN either/RB of/IN his/PRP$ fearing/NN that/IN he/PRP might/MD have/VB been/VBN abandoned/VBN by/IN something/NN ,/, Cod/VB perhaps/RB ,/, which/WDT ought/MD to/TO have/VB loved/VBN him/PRP ,/, or/CC alternatively/RB ,/, that/IN he/PRP might/MD abandon/VB ,/, might/MD already/RB have/VB abandoned/VBN ,/, something/NN or/CC someone/NN he/PRP ought/MD always/RB to/TO love/VB and/CC cherish/VB --/: his/PRP$ dead/JJ son/NN ,/, wife/NN ,/, brother/NN ,/, his/PRP$ possibly/RB dead/JJ language/NN ./.","nsubj(assured-2, It-1) root(ROOT-0, assured-2) mark(took-17, that-3) case(writing-6, in-4) det(writing-6, the-5) nmod:in(took-17, writing-6) case(Nature-8, after-7) nmod:after(writing-6, Nature-8) nmod:poss(conscience-10, his-9) nsubj(took-17, conscience-10) advmod(hand-15, always-12) case(hand-15, near-13) mwe(near-13, to-14) nmod:near_to(took-17, hand-15) ccomp(assured-2, took-17) det(form-19, the-18) dobj(took-17, form-19) advmod(fearing-23, either-20) case(fearing-23, of-21) nmod:poss(fearing-23, his-22) nmod:of(form-19, fearing-23) mark(abandoned-29, that-24) nsubjpass(abandoned-29, he-25) aux(abandoned-29, might-26) aux(abandoned-29, have-27) auxpass(abandoned-29, been-28) ccomp(took-17, abandoned-29) case(something-31, by-30) nmod:by(abandoned-29, something-31) dep(abandoned-29, Cod-33) advmod(abandoned-54, perhaps-34) nsubj(ought-37, which-36) nsubj(loved-40, which-36) dep(abandoned-54, ought-37) mark(loved-40, to-38) aux(loved-40, have-39) xcomp(ought-37, loved-40) dobj(loved-40, him-41) cc(ought-37, or-43) advmod(ought-37, alternatively-44) mark(abandon-49, that-46) nsubj(abandon-49, he-47) aux(abandon-49, might-48) conj:or(ought-37, abandon-49) dep(abandoned-54, abandon-49) aux(abandoned-54, might-51) advmod(abandoned-54, already-52) aux(abandoned-54, have-53) ccomp(Cod-33, abandoned-54) dobj(abandoned-29, something-56) cc(something-56, or-57) dobj(abandoned-29, someone-58) conj:or(something-56, someone-58) nsubj(ought-60, he-59) nsubj(love-63, he-59) nsubj(cherish-65, he-59) acl:relcl(something-56, ought-60) advmod(love-63, always-61) mark(love-63, to-62) xcomp(ought-60, love-63) cc(love-63, and-64) xcomp(ought-60, cherish-65) conj:and(love-63, cherish-65) nmod:poss(son-69, his-67) amod(son-69, dead-68) parataxis(took-17, son-69) appos(son-69, wife-71) appos(son-69, brother-73) nmod:poss(language-78, his-75) advmod(dead-77, possibly-76) amod(language-78, dead-77) appos(son-69, language-78)  ",brother,73,"appos(son-69, brother-73) ","dead son , wife , brother , his possibly dead language",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'son']",,,singular,,,unknown
