sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"During this time , there were even satirical cookbooks advising the Americans on how to cook without using red meat , red vegetables and fruits such as radishes , carrots , beets , and red apples n7 .","During/IN this/DT time/NN ,/, there/EX were/VBD even/RB satirical/JJ cookbooks/NNS advising/VBG the/DT Americans/NNPS on/IN how/WRB to/TO cook/VB without/IN using/VBG red/JJ meat/NN ,/, red/JJ vegetables/NNS and/CC fruits/NNS such/JJ as/IN radishes/NNS ,/, carrots/NNS ,/, beets/NNS ,/, and/CC red/JJ apples/NNS n7/NNS ./.","case(time-3, During-1) det(time-3, this-2) nmod:during(were-6, time-3) expl(were-6, there-5) root(ROOT-0, were-6) advmod(were-6, even-7) amod(cookbooks-9, satirical-8) nsubj(were-6, cookbooks-9) acl(cookbooks-9, advising-10) det(Americans-12, the-11) dobj(advising-10, Americans-12) mark(cook-16, on-13) advmod(cook-16, how-14) mark(cook-16, to-15) advcl(advising-10, cook-16) mark(using-18, without-17) advcl(cook-16, using-18) amod(meat-20, red-19) dobj(using-18, meat-20) amod(vegetables-23, red-22) dobj(using-18, vegetables-23) conj:and(meat-20, vegetables-23) cc(meat-20, and-24) dobj(using-18, fruits-25) conj:and(meat-20, fruits-25) case(radishes-28, such-26) mwe(such-26, as-27) nmod:such_as(fruits-25, radishes-28) nmod:such_as(fruits-25, carrots-30) conj:and(radishes-28, carrots-30) nmod:such_as(fruits-25, beets-32) conj:and(radishes-28, beets-32) cc(radishes-28, and-34) amod(n7-37, red-35) compound(n7-37, apples-36) nmod:such_as(fruits-25, n7-37) conj:and(radishes-28, n7-37)  ",carrots,30,"nmod:such_as(fruits-25, carrots-30) conj:and(radishes-28, carrots-30) ","fruits such as radishes , carrots , beets , and red",NNS,[],,,,,,,,,"[('such_as', 'fruits')]",['such_as'],['fruits'],[],[],,"[('and', 'radishes')]",['and'],['radishes'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Does the "" stick "" of sanctions , combined with the "" carrot "" of increased economic assistance , provide sufficient incentive to other countries to comply with US anti-narcotraffic goals should their own national views or priorities differ ?","Does/VBZ the/NN ''/'' stick/VBP ''/'' of/IN sanctions/NNS ,/, combined/VBN with/IN the/NN ''/'' carrot/NN ''/'' of/IN increased/VBN economic/JJ assistance/NN ,/, provide/VB sufficient/JJ incentive/NN to/TO other/JJ countries/NNS to/TO comply/VB with/IN US/NNP anti-narcotraffic/JJ goals/NNS should/MD their/PRP$ own/JJ national/JJ views/NNS or/CC priorities/NNS differ/VBP ?/.","aux(provide-20, Does-1) nsubj(provide-20, the-2) acl:relcl(the-2, stick-4) case(sanctions-7, of-6) nmod:of(stick-4, sanctions-7) case(carrot-13, combined-9) case(carrot-13, with-10) compound(carrot-13, the-11) advcl:with(stick-4, carrot-13) case(assistance-18, of-15) amod(assistance-18, increased-16) amod(assistance-18, economic-17) nmod:of(carrot-13, assistance-18) root(ROOT-0, provide-20) amod(incentive-22, sufficient-21) dobj(provide-20, incentive-22) case(countries-25, to-23) amod(countries-25, other-24) nmod:to(provide-20, countries-25) mark(comply-27, to-26) advcl(provide-20, comply-27) case(goals-31, with-28) compound(goals-31, US-29) amod(goals-31, anti-narcotraffic-30) nmod:with(comply-27, goals-31) dep(differ-39, should-32) nmod:poss(views-36, their-33) amod(views-36, own-34) amod(views-36, national-35) nsubj(differ-39, views-36) cc(views-36, or-37) conj:or(views-36, priorities-38) nsubj(differ-39, priorities-38) ccomp(comply-27, differ-39)  ",carrot,13,"case(carrot-13, combined-9) case(carrot-13, with-10) compound(carrot-13, the-11) nmod:of(carrot-13, assistance-18) advcl:with(stick-4, carrot-13) ",", combined with the "" carrot "" of increased economic assistance",NN,[],,,,,,,,,"[('of', 'assistance')]",['of'],[],['assistance'],[],,[],[],[],['the'],[],,,,,,,,,,,,,,[],[],[],"['combined', 'with']",[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Add the yellow onion and carrot and stir-fry until they begin to soften .,Add/VB the/DT yellow/JJ onion/NN and/CC carrot/NN and/CC stir-fry/NN until/IN they/PRP begin/VBP to/TO soften/VB ./.,"root(ROOT-0, Add-1) det(onion-4, the-2) amod(onion-4, yellow-3) dobj(Add-1, onion-4) cc(onion-4, and-5) dobj(Add-1, carrot-6) conj:and(onion-4, carrot-6) cc(carrot-6, and-7) conj:and(onion-4, stir-fry-8) conj:and(carrot-6, stir-fry-8) mark(begin-11, until-9) nsubj(begin-11, they-10) nsubj(soften-13, they-10) advcl(Add-1, begin-11) mark(soften-13, to-12) xcomp(begin-11, soften-13)  ",carrot,6,"cc(carrot-6, and-7) conj:and(carrot-6, stir-fry-8) dobj(Add-1, carrot-6) conj:and(onion-4, carrot-6) ",Add the yellow onion and carrot and stir-fry until they begin,NN,[],Add,VB,object,,,Add,Add,[],[],[],[],[],[],,"[('and', 'onion')]",['and'],['onion'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
"People of Northern Hemisphere origin are inclined to lump them together as root vegetables , by analogy to carrots and parsnips and turnips , even though not all of them grow underground ( plantains , pumpkins , chayote ) .","People/NNS of/IN Northern/NNP Hemisphere/NNP origin/NN are/VBP inclined/JJ to/TO lump/VB them/PRP together/RB as/IN root/NN vegetables/NNS ,/, by/IN analogy/NN to/TO carrots/NNS and/CC parsnips/NNS and/CC turnips/NNS ,/, even/RB though/IN not/RB all/DT of/IN them/PRP grow/VBP underground/RB -LRB-/-LRB- plantains/NNS ,/, pumpkins/NNS ,/, chayote/NN -RRB-/-RRB- ./.","nsubj(inclined-7, People-1) nsubj(lump-9, People-1) case(origin-5, of-2) compound(origin-5, Northern-3) compound(origin-5, Hemisphere-4) nmod:of(People-1, origin-5) cop(inclined-7, are-6) root(ROOT-0, inclined-7) mark(lump-9, to-8) xcomp(inclined-7, lump-9) dobj(lump-9, them-10) advmod(lump-9, together-11) case(vegetables-14, as-12) compound(vegetables-14, root-13) nmod:as(lump-9, vegetables-14) case(analogy-17, by-16) nmod:by(lump-9, analogy-17) case(carrots-19, to-18) nmod:to(analogy-17, carrots-19) cc(carrots-19, and-20) nmod:to(analogy-17, parsnips-21) conj:and(carrots-19, parsnips-21) cc(parsnips-21, and-22) conj:and(carrots-19, turnips-23) conj:and(parsnips-21, turnips-23) advmod(grow-31, even-25) mark(grow-31, though-26) neg(all-28, not-27) nsubj(grow-31, all-28) case(them-30, of-29) nmod:of(all-28, them-30) advcl(lump-9, grow-31) advmod(grow-31, underground-32) dep(inclined-7, plantains-34) appos(plantains-34, pumpkins-36) appos(plantains-34, chayote-38)  ",carrots,19,"case(carrots-19, to-18) cc(carrots-19, and-20) conj:and(carrots-19, parsnips-21) conj:and(carrots-19, turnips-23) nmod:to(analogy-17, carrots-19) ","vegetables , by analogy to carrots and parsnips and turnips ,",NNS,[],,,,,,,,,"[('to', 'analogy')]",['to'],['analogy'],[],[],,"[('and', 'parsnips'), ('and', 'turnips')]","['and', 'and']","['parsnips', 'turnips']",[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"This has not prevented the Mozambican government from citing hopes for success in the talks as a carrot to draw some of its people back home , no doubt wanting to take credit for a new era of peace prior to promised elections.","This/DT has/VBZ not/RB prevented/VBN the/DT Mozambican/NNP government/NN from/IN citing/VBG hopes/NNS for/IN success/NN in/IN the/DT talks/NNS as/IN a/DT carrot/NN to/TO draw/VB some/DT of/IN its/PRP$ people/NNS back/RB home/NN ,/, no/DT doubt/NN wanting/VBG to/TO take/VB credit/NN for/IN a/DT new/JJ era/NN of/IN peace/NN prior/RB to/TO promised/VBN elections/NNS ./.","nsubj(prevented-4, This-1) aux(prevented-4, has-2) neg(prevented-4, not-3) root(ROOT-0, prevented-4) det(government-7, the-5) compound(government-7, Mozambican-6) dobj(prevented-4, government-7) mark(citing-9, from-8) advcl(prevented-4, citing-9) dobj(citing-9, hopes-10) case(success-12, for-11) nmod:for(hopes-10, success-12) case(talks-15, in-13) det(talks-15, the-14) nmod:in(citing-9, talks-15) case(carrot-18, as-16) det(carrot-18, a-17) nmod:as(citing-9, carrot-18) mark(draw-20, to-19) acl(carrot-18, draw-20) dobj(draw-20, some-21) case(people-24, of-22) nmod:poss(people-24, its-23) nmod:of(some-21, people-24) advmod(draw-20, back-25) dep(back-25, home-26) neg(doubt-29, no-28) dobj(prevented-4, doubt-29) acl(doubt-29, wanting-30) mark(take-32, to-31) xcomp(wanting-30, take-32) dobj(take-32, credit-33) case(era-37, for-34) det(era-37, a-35) amod(era-37, new-36) nmod:for(credit-33, era-37) case(peace-39, of-38) nmod:of(era-37, peace-39) case(elections-43, prior-40) mwe(prior-40, to-41) amod(elections-43, promised-42) nmod:prior_to(take-32, elections-43)  ",carrot,18,"case(carrot-18, as-16) det(carrot-18, a-17) acl(carrot-18, draw-20) nmod:as(citing-9, carrot-18) ",in the talks as a carrot to draw some of its,NN,[],,,,,,,,,"[('as', 'citing')]",['as'],['citing'],[],['a'],indefinite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['as'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
"Food is manipulated into some other form than it assumes either naturally or upon being cooked : lines are put into mashed potatoes , carrots are flaked , wieners are twisted and sliced .","Food/NNP is/VBZ manipulated/VBN into/IN some/DT other/JJ form/NN than/IN it/PRP assumes/VBZ either/DT naturally/RB or/CC upon/IN being/VBG cooked/VBN :/: lines/NNS are/VBP put/VBN into/IN mashed/JJ potatoes/NNS ,/, carrots/NNS are/VBP flaked/VBN ,/, wieners/NNS are/VBP twisted/JJ and/CC sliced/JJ ./.","nsubjpass(manipulated-3, Food-1) auxpass(manipulated-3, is-2) root(ROOT-0, manipulated-3) case(form-7, into-4) det(form-7, some-5) amod(form-7, other-6) nmod:into(manipulated-3, form-7) mark(assumes-10, than-8) nsubj(assumes-10, it-9) advcl(manipulated-3, assumes-10) dep(assumes-10, either-11) dep(either-11, naturally-12) cc(either-11, or-13) mark(cooked-16, upon-14) auxpass(cooked-16, being-15) dep(assumes-10, cooked-16) conj:or(either-11, cooked-16) nsubjpass(put-20, lines-18) auxpass(put-20, are-19) parataxis(manipulated-3, put-20) case(potatoes-23, into-21) amod(potatoes-23, mashed-22) nmod:into(put-20, potatoes-23) nsubjpass(flaked-27, carrots-25) auxpass(flaked-27, are-26) parataxis(manipulated-3, flaked-27) nsubj(twisted-31, wieners-29) nsubj(sliced-33, wieners-29) cop(twisted-31, are-30) parataxis(manipulated-3, twisted-31) cc(twisted-31, and-32) parataxis(manipulated-3, sliced-33) conj:and(twisted-31, sliced-33)  ",carrots,25,"nsubjpass(flaked-27, carrots-25) ","put into mashed potatoes , carrots are flaked , wieners are",NNS,[],flaked,VBN,subject,flaked,flake,,,[],[],[],[],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"Thus , Kissinger recounts , he was of the opinion that the carrot of MFN was indeed a weak one , and , if further pressed by passage of the amendments , the Soviets would have no feasible alternative but to cease negotiating and discontinue their efforts in easing emigration .","Thus/RB ,/, Kissinger/NNP recounts/VBZ ,/, he/PRP was/VBD of/IN the/DT opinion/NN that/IN the/DT carrot/NN of/IN MFN/NNP was/VBD indeed/RB a/DT weak/JJ one/NN ,/, and/CC ,/, if/IN further/RB pressed/VBN by/IN passage/NN of/IN the/DT amendments/NNS ,/, the/DT Soviets/NNPS would/MD have/VB no/DT feasible/JJ alternative/NN but/CC to/TO cease/VB negotiating/VBG and/CC discontinue/VB their/PRP$ efforts/NNS in/IN easing/VBG emigration/NN ./.","advmod(opinion-10, Thus-1) nsubj(recounts-4, Kissinger-3) parataxis(opinion-10, recounts-4) nsubj(opinion-10, he-6) cop(opinion-10, was-7) case(opinion-10, of-8) det(opinion-10, the-9) root(ROOT-0, opinion-10) mark(one-20, that-11) det(carrot-13, the-12) nsubj(one-20, carrot-13) case(MFN-15, of-14) nmod:of(carrot-13, MFN-15) cop(one-20, was-16) advmod(one-20, indeed-17) det(one-20, a-18) amod(one-20, weak-19) ccomp(opinion-10, one-20) cc(opinion-10, and-22) mark(pressed-26, if-24) advmod(pressed-26, further-25) advcl(have-36, pressed-26) case(passage-28, by-27) nmod:by(pressed-26, passage-28) case(amendments-31, of-29) det(amendments-31, the-30) nmod:of(passage-28, amendments-31) det(Soviets-34, the-33) nsubj(have-36, Soviets-34) aux(have-36, would-35) conj:and(opinion-10, have-36) neg(alternative-39, no-37) amod(alternative-39, feasible-38) dobj(have-36, alternative-39) cc(alternative-39, but-40) mark(cease-42, to-41) acl(alternative-39, cease-42) xcomp(cease-42, negotiating-43) cc(cease-42, and-44) acl(alternative-39, discontinue-45) conj:and(cease-42, discontinue-45) nmod:poss(efforts-47, their-46) dobj(discontinue-45, efforts-47) case(emigration-50, in-48) amod(emigration-50, easing-49) nmod:in(discontinue-45, emigration-50)  ",carrot,13,"det(carrot-13, the-12) nmod:of(carrot-13, MFN-15) nsubj(one-20, carrot-13) ",of the opinion that the carrot of MFN was indeed a,NN,[],was,VBD,subject,was,be,,,[],"[('of', 'MFN')]",['of'],[],['MFN'],['the'],definite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
"100 CERCLA 's liability scheme implicitly authorized the EPA to take a coercive "" carrot and stick "" approach to gaining the cooperation of PRPs.",100/CD CERCLA/NNP 's/POS liability/NN scheme/NN implicitly/RB authorized/VBD the/DT EPA/NNP to/TO take/VB a/DT coercive/JJ ''/'' carrot/NN and/CC stick/VB ''/'' approach/NN to/TO gaining/VBG the/DT cooperation/NN of/IN PRPs/NNP ./.,"nummod(scheme-5, 100-1) nmod:poss(scheme-5, CERCLA-2) case(scheme-5, 's-3) compound(scheme-5, liability-4) nsubj(authorized-7, scheme-5) advmod(authorized-7, implicitly-6) root(ROOT-0, authorized-7) det(EPA-9, the-8) dobj(authorized-7, EPA-9) nsubj(take-11, EPA-9) nsubj(stick-17, EPA-9) mark(take-11, to-10) xcomp(authorized-7, take-11) det(carrot-15, a-12) amod(carrot-15, coercive-13) dobj(take-11, carrot-15) cc(take-11, and-16) xcomp(authorized-7, stick-17) conj:and(take-11, stick-17) dobj(stick-17, approach-19) mark(gaining-21, to-20) advcl(stick-17, gaining-21) det(cooperation-23, the-22) dobj(gaining-21, cooperation-23) case(PRPs-25, of-24) nmod:of(cooperation-23, PRPs-25)  ",carrot,15,"det(carrot-15, a-12) amod(carrot-15, coercive-13) dobj(take-11, carrot-15) ","to take a coercive "" carrot and stick "" approach to",NN,[],take,VB,object,,,take,take,[],[],[],[],[],['a'],indefinite article,[],[],[],[],['coercive'],[0.03791666666666667],[0.0325],[0.0],[0.075],[0.0575],[0.03866666666666667],[0.075],[0.01875],[0.09333333333333334],[0.11808333333333333],[0.1775],[0.20074999999999998],[0.075],[],[],[],[],[],[],[],[],[],[],a,unit,singular,linked,ambiguous,['A+N'],countable,unknown
"In a few minutes , she has extracted a small stack of wrinkled roots that look somewhat like carrots .","In/IN a/DT few/JJ minutes/NNS ,/, she/PRP has/VBZ extracted/VBN a/DT small/JJ stack/NN of/IN wrinkled/JJ roots/NNS that/WDT look/VBP somewhat/RB like/IN carrots/NNS ./.","case(minutes-4, In-1) det(minutes-4, a-2) amod(minutes-4, few-3) nmod:in(extracted-8, minutes-4) nsubj(extracted-8, she-6) aux(extracted-8, has-7) root(ROOT-0, extracted-8) det(stack-11, a-9) amod(stack-11, small-10) dobj(extracted-8, stack-11) nsubj(look-16, stack-11) case(roots-14, of-12) amod(roots-14, wrinkled-13) nmod:of(stack-11, roots-14) ref(stack-11, that-15) acl:relcl(stack-11, look-16) advmod(look-16, somewhat-17) case(carrots-19, like-18) nmod:like(look-16, carrots-19)  ",carrots,19,"case(carrots-19, like-18) nmod:like(look-16, carrots-19) ",roots that look somewhat like carrots .,NNS,[],,,,,,,,,"[('like', 'look')]",['like'],['look'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['like'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
<p> At the moment Mubarak 's approach seems to be all stick and no carrot .,<p>/RB At/IN the/DT moment/NN Mubarak/NNP 's/POS approach/NN seems/VBZ to/TO be/VB all/DT stick/NN and/CC no/DT carrot/NN ./.," advmod(seems-8, <p>-1) case(moment-4, At-2) det(moment-4, the-3) nmod:at(seems-8, moment-4) nmod:poss(approach-7, Mubarak-5) case(Mubarak-5, 's-6) nsubj(seems-8, approach-7) nsubj(stick-12, approach-7) root(ROOT-0, seems-8) mark(stick-12, to-9) cop(stick-12, be-10) det(stick-12, all-11) xcomp(seems-8, stick-12) cc(stick-12, and-13) neg(carrot-15, no-14) xcomp(seems-8, carrot-15) conj:and(stick-12, carrot-15)  ",carrot,15,"neg(carrot-15, no-14) xcomp(seems-8, carrot-15) conj:and(stick-12, carrot-15) ",be all stick and no carrot .,NN,['no'],seems,VBZ,object,,,seems,seem,[],[],[],[],[],[],,"[('and', 'stick')]",['and'],['stick'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,linked,singular,[],unknown,verdical
