sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Adjective Types,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"German and Japanese soldiers died by the hundreds , in a manner that portrayed war as no more difficult than a cattle roundup or , in the case of snipers , a fox hunt .","German/JJ and/CC Japanese/JJ soldiers/NNS died/VBD by/IN the/DT hundreds/NNS ,/, in/IN a/DT manner/NN that/WDT portrayed/VBD war/NN as/IN no/DT more/RBR difficult/JJ than/IN a/DT cattle/NNS roundup/NN or/CC ,/, in/IN the/DT case/NN of/IN snipers/NNS ,/, a/DT fox/NN hunt/NN ./.","amod(soldiers-4, German-1) cc(German-1, and-2) conj:and(German-1, Japanese-3) amod(soldiers-4, Japanese-3) nsubj(died-5, soldiers-4) root(ROOT-0, died-5) case(hundreds-8, by-6) det(hundreds-8, the-7) nmod:by(died-5, hundreds-8) case(manner-12, in-10) det(manner-12, a-11) nmod:in(died-5, manner-12) nsubj(portrayed-14, manner-12) ref(manner-12, that-13) acl:relcl(manner-12, portrayed-14) dobj(portrayed-14, war-15) case(roundup-23, as-16) neg(roundup-23, no-17) advmod(difficult-19, more-18) amod(roundup-23, difficult-19) case(cattle-22, than-20) det(cattle-22, a-21) nmod:than(difficult-19, cattle-22) nmod:as(war-15, roundup-23) cc(war-15, or-24) case(case-28, in-26) det(case-28, the-27) nmod:in(war-15, case-28) case(snipers-30, of-29) nmod:of(case-28, snipers-30) det(hunt-34, a-32) compound(hunt-34, fox-33) dobj(portrayed-14, hunt-34) conj:or(war-15, hunt-34)  ",cattle,22,"case(cattle-22, than-20) det(cattle-22, a-21) nmod:than(difficult-19, cattle-22) ","no more difficult than a cattle roundup or , in the",NNS,[],,,,,,,,,"[('than', 'difficult')]",['than'],['difficult'],[],['a'],indefinite article,[],[],[],[],[],[],[],[],[],['than'],[],[],[],[],[],[],a,unit,ambiguous,linked,,['A+N'],countable,unknown
"An ecological system is not , for instance , "" cattle and their environment . ""","An/DT ecological/JJ system/NN is/VBZ not/RB ,/, for/IN instance/NN ,/, ''/'' cattle/NNS and/CC their/PRP$ environment/NN ./. ''/''","det(system-3, An-1) amod(system-3, ecological-2) nsubj(is-4, system-3) root(ROOT-0, is-4) neg(is-4, not-5) case(instance-8, for-7) nmod:for(is-4, instance-8) dep(instance-8, cattle-11) cc(cattle-11, and-12) nmod:poss(environment-14, their-13) dep(instance-8, environment-14) conj:and(cattle-11, environment-14)  ",cattle,11,"cc(cattle-11, and-12) conj:and(cattle-11, environment-14) dep(instance-8, cattle-11) ",", for instance , "" cattle and their environment . """,NNS,[],,,,,,,,,[],[],[],[],[],,"[('and', 'environment')]",['and'],['environment'],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
This situation particularly appears to have been the case where families changed from corn production to growing cotton or raising dairy cattle.,This/DT situation/NN particularly/RB appears/VBZ to/TO have/VB been/VBN the/DT case/NN where/WRB families/NNS changed/VBD from/IN corn/NN production/NN to/TO growing/VBG cotton/NN or/CC raising/VBG dairy/NN cattle/NNS ./.,"det(situation-2, This-1) nsubj(appears-4, situation-2) nsubj(case-9, situation-2) advmod(appears-4, particularly-3) root(ROOT-0, appears-4) mark(case-9, to-5) aux(case-9, have-6) cop(case-9, been-7) det(case-9, the-8) xcomp(appears-4, case-9) advmod(changed-12, where-10) nsubj(changed-12, families-11) acl:relcl(case-9, changed-12) case(production-15, from-13) compound(production-15, corn-14) nmod:from(changed-12, production-15) mark(growing-17, to-16) advcl(changed-12, growing-17) dobj(growing-17, cotton-18) cc(growing-17, or-19) advcl(changed-12, raising-20) conj:or(growing-17, raising-20) compound(cattle-22, dairy-21) dobj(raising-20, cattle-22)  ",cattle,22,"compound(cattle-22, dairy-21) dobj(raising-20, cattle-22) ",growing cotton or raising dairy cattle.,NNS,[],raising,VBG,object,,,raising,raise,[],[],[],[],[],[],,[],[],[],['dairy'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"<p> Spotted cattle and deer are strong but subtle thematic strands in the complex web of symbols , stories and images Leslie M. Silko weaves through Ceremony ; they are the messengers of ancient wisdoms vital to Tayo 's quest for healing and identity .","<p>/NN Spotted/NN cattle/NNS and/CC deer/NNS are/VBP strong/JJ but/CC subtle/JJ thematic/JJ strands/NNS in/IN the/DT complex/JJ web/NN of/IN symbols/NNS ,/, stories/NNS and/CC images/NNS Leslie/NNP M./NNP Silko/NNP weaves/VBZ through/IN Ceremony/NNP ;/: they/PRP are/VBP the/DT messengers/NNS of/IN ancient/JJ wisdoms/NNS vital/JJ to/TO Tayo/NNP 's/POS quest/NN for/IN healing/NN and/CC identity/NN ./.","compound(cattle-3, <p>-1) compound(cattle-3, Spotted-2) nsubj(strands-11, cattle-3) cc(cattle-3, and-4) conj:and(cattle-3, deer-5) nsubj(strands-11, deer-5) cop(strands-11, are-6) amod(strands-11, strong-7) cc(strong-7, but-8) conj:but(strong-7, subtle-9) amod(strands-11, subtle-9) amod(strands-11, thematic-10) root(ROOT-0, strands-11) case(web-15, in-12) det(web-15, the-13) amod(web-15, complex-14) nmod:in(strands-11, web-15) case(symbols-17, of-16) nmod:of(web-15, symbols-17) nmod:of(web-15, stories-19) conj:and(symbols-17, stories-19) cc(symbols-17, and-20) nmod:of(web-15, images-21) conj:and(symbols-17, images-21) compound(Silko-24, Leslie-22) compound(Silko-24, M.-23) nsubj(weaves-25, Silko-24) acl:relcl(strands-11, weaves-25) case(Ceremony-27, through-26) nmod:through(weaves-25, Ceremony-27) nsubj(messengers-32, they-29) cop(messengers-32, are-30) det(messengers-32, the-31) parataxis(strands-11, messengers-32) case(wisdoms-35, of-33) amod(wisdoms-35, ancient-34) nmod:of(messengers-32, wisdoms-35) amod(wisdoms-35, vital-36) case(quest-40, to-37) nmod:poss(quest-40, Tayo-38) case(Tayo-38, 's-39) nmod:to(vital-36, quest-40) case(healing-42, for-41) nmod:for(quest-40, healing-42) cc(healing-42, and-43) nmod:for(quest-40, identity-44) conj:and(healing-42, identity-44)  ",cattle,3,"compound(cattle-3, <p>-1) compound(cattle-3, Spotted-2) cc(cattle-3, and-4) conj:and(cattle-3, deer-5) nsubj(strands-11, cattle-3) ",<p> Spotted cattle and deer are strong but,NNS,[],are,VBP,subject,are,be,,,[],[],[],[],[],[],,"[('and', 'deer')]",['and'],['deer'],['Spotted'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,plural,['EX-PL'],countable,unknown
<p> Spotted cattle as spirit guides ?,<p>/VB Spotted/JJ cattle/NNS as/IN spirit/NN guides/NNS ?/.,"root(ROOT-0, <p>-1) amod(cattle-3, Spotted-2) dobj(<p>-1, cattle-3) case(guides-6, as-4) compound(guides-6, spirit-5) nmod:as(<p>-1, guides-6)  ",cattle,3,"amod(cattle-3, Spotted-2) dobj(<p>-1, cattle-3) ",<p> Spotted cattle as spirit guides ?,NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],[],['Spotted'],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
"Charles Larson in a collection of essays , American Indian Fiction , interpreted the cattle much differently , in the context of what Sands called "" the natural world "" theme : <p> The cattle are a part of his Tayo 's people 's future .","Charles/NNP Larson/NNP in/IN a/DT collection/NN of/IN essays/NNS ,/, American/NNP Indian/NNP Fiction/NNP ,/, interpreted/VBD the/DT cattle/NNS much/RB differently/RB ,/, in/IN the/DT context/NN of/IN what/WP Sands/NNP called/VBD ''/'' the/DT natural/JJ world/NN ''/'' theme/NN :/: <p>/NN The/DT cattle/NNS are/VBP a/DT part/NN of/IN his/PRP$ Tayo/NN 's/POS people/NNS 's/POS future/NN ./.","compound(Larson-2, Charles-1) nsubj(interpreted-13, Larson-2) case(collection-5, in-3) det(collection-5, a-4) nmod:in(Larson-2, collection-5) case(essays-7, of-6) nmod:of(collection-5, essays-7) compound(Fiction-11, American-9) compound(Fiction-11, Indian-10) appos(essays-7, Fiction-11) root(ROOT-0, interpreted-13) det(cattle-15, the-14) dobj(interpreted-13, cattle-15) advmod(differently-17, much-16) advmod(interpreted-13, differently-17) case(context-21, in-19) det(context-21, the-20) nmod:in(interpreted-13, context-21) mark(called-25, of-22) dobj(called-25, what-23) nsubj(called-25, Sands-24) acl(context-21, called-25) det(theme-31, the-27) amod(theme-31, natural-28) compound(theme-31, world-29) dep(context-21, theme-31) dep(theme-31, <p>-33) det(cattle-35, The-34) nsubj(part-38, cattle-35) cop(part-38, are-36) det(part-38, a-37) acl:relcl(<p>-33, part-38) case(future-45, of-39) nmod:poss(Tayo-41, his-40) nmod:poss(people-43, Tayo-41) case(Tayo-41, 's-42) nmod:poss(future-45, people-43) case(people-43, 's-44) nmod:of(part-38, future-45)  ",cattle,15,"det(cattle-15, the-14) dobj(interpreted-13, cattle-15) ","Indian Fiction , interpreted the cattle much differently , in the",NNS,[],interpreted,VBD,object,,,interpreted,interpret,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"Charles Larson in a collection of essays , American Indian Fiction , interpreted the cattle much differently , in the context of what Sands called "" the natural world "" theme : <p> The cattle are a part of his Tayo 's people 's future .","Charles/NNP Larson/NNP in/IN a/DT collection/NN of/IN essays/NNS ,/, American/NNP Indian/NNP Fiction/NNP ,/, interpreted/VBD the/DT cattle/NNS much/RB differently/RB ,/, in/IN the/DT context/NN of/IN what/WP Sands/NNP called/VBD ''/'' the/DT natural/JJ world/NN ''/'' theme/NN :/: <p>/NN The/DT cattle/NNS are/VBP a/DT part/NN of/IN his/PRP$ Tayo/NN 's/POS people/NNS 's/POS future/NN ./.","compound(Larson-2, Charles-1) nsubj(interpreted-13, Larson-2) case(collection-5, in-3) det(collection-5, a-4) nmod:in(Larson-2, collection-5) case(essays-7, of-6) nmod:of(collection-5, essays-7) compound(Fiction-11, American-9) compound(Fiction-11, Indian-10) appos(essays-7, Fiction-11) root(ROOT-0, interpreted-13) det(cattle-15, the-14) dobj(interpreted-13, cattle-15) advmod(differently-17, much-16) advmod(interpreted-13, differently-17) case(context-21, in-19) det(context-21, the-20) nmod:in(interpreted-13, context-21) mark(called-25, of-22) dobj(called-25, what-23) nsubj(called-25, Sands-24) acl(context-21, called-25) det(theme-31, the-27) amod(theme-31, natural-28) compound(theme-31, world-29) dep(context-21, theme-31) dep(theme-31, <p>-33) det(cattle-35, The-34) nsubj(part-38, cattle-35) cop(part-38, are-36) det(part-38, a-37) acl:relcl(<p>-33, part-38) case(future-45, of-39) nmod:poss(Tayo-41, his-40) nmod:poss(people-43, Tayo-41) case(Tayo-41, 's-42) nmod:poss(future-45, people-43) case(people-43, 's-44) nmod:of(part-38, future-45)  ",cattle,35,"det(cattle-35, The-34) nsubj(part-38, cattle-35) ",""" theme : <p> The cattle are a part of his",NNS,[],are,VBP,subject,are,be,,,[],[],[],[],[],['The'],other,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,plural,['EX-PL'],countable,unknown
"When they disappear after Josiah 's death , Tayo feels he as not only neglected his responsibility to his people , but severed his relationship with the land.3 <p> In contrast , Peter G. Beidler in a critical study "" Animals and Human Development in the Contemporary American Indian Novel , "" offered a more psychological analysis , describing the cattle as a type of role model for Tayo .","When/WRB they/PRP disappear/VBP after/IN Josiah/NNP 's/POS death/NN ,/, Tayo/NNP feels/VBZ he/PRP as/RB not/RB only/RB neglected/VBD his/PRP$ responsibility/NN to/TO his/PRP$ people/NNS ,/, but/CC severed/VBD his/PRP$ relationship/NN with/IN the/DT land/NN .3/CD <p>/NN In/IN contrast/NN ,/, Peter/NNP G./NNP Beidler/NNP in/IN a/DT critical/JJ study/NN ''/'' Animals/NNS and/CC Human/NNP Development/NNP in/IN the/DT Contemporary/NNP American/NNP Indian/NNP Novel/NNP ,/, ''/'' offered/VBD a/DT more/RBR psychological/JJ analysis/NN ,/, describing/VBG the/DT cattle/NNS as/IN a/DT type/NN of/IN role/NN model/NN for/IN Tayo/NNP ./.","advmod(disappear-3, When-1) nsubj(disappear-3, they-2) advcl(feels-10, disappear-3) case(death-7, after-4) nmod:poss(death-7, Josiah-5) case(Josiah-5, 's-6) nmod:after(disappear-3, death-7) nsubj(feels-10, Tayo-9) ccomp(offered-54, feels-10) nsubj(neglected-15, he-11) nsubj(severed-23, he-11) advmod(not-13, as-12) cc(neglected-15, not-13) advmod(neglected-15, only-14) ccomp(feels-10, neglected-15) nmod:poss(responsibility-17, his-16) dobj(neglected-15, responsibility-17) case(people-20, to-18) nmod:poss(people-20, his-19) nmod:to(neglected-15, people-20) cc(neglected-15, but-22) ccomp(feels-10, severed-23) conj:not(neglected-15, severed-23) nmod:poss(relationship-25, his-24) dobj(severed-23, relationship-25) case(<p>-30, with-26) det(<p>-30, the-27) compound(<p>-30, land-28) nummod(<p>-30, .3-29) nmod:with(severed-23, <p>-30) case(contrast-32, In-31) nmod:in(<p>-30, contrast-32) compound(Beidler-36, Peter-34) compound(Beidler-36, G.-35) nmod:with(severed-23, Beidler-36) conj:and(<p>-30, Beidler-36) case(Animals-42, in-37) det(Animals-42, a-38) amod(Animals-42, critical-39) compound(Animals-42, study-40) nmod:in(Beidler-36, Animals-42) cc(<p>-30, and-43) compound(Development-45, Human-44) nmod:with(severed-23, Development-45) conj:and(<p>-30, Development-45) case(Novel-51, in-46) det(Novel-51, the-47) compound(Novel-51, Contemporary-48) compound(Novel-51, American-49) compound(Novel-51, Indian-50) nmod:in(Development-45, Novel-51) root(ROOT-0, offered-54) det(analysis-58, a-55) advmod(psychological-57, more-56) amod(analysis-58, psychological-57) nsubj(offered-54, analysis-58) acl(analysis-58, describing-60) det(cattle-62, the-61) dobj(describing-60, cattle-62) case(type-65, as-63) det(type-65, a-64) nmod:as(describing-60, type-65) case(model-68, of-66) compound(model-68, role-67) nmod:of(type-65, model-68) case(Tayo-70, for-69) nmod:for(model-68, Tayo-70)  ",cattle,62,"det(cattle-62, the-61) dobj(describing-60, cattle-62) ","analysis , describing the cattle as a type of role model",NNS,[],describing,VBG,object,,,describing,describe,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"He states : "" The animals Tayo comes most dramatically to imitate are the hardy Mexican cattle , those cattle which are closer to nature than are stupid white-man herefords.","He/PRP states/VBZ :/: ''/'' The/DT animals/NNS Tayo/NNP comes/VBZ most/RBS dramatically/RB to/TO imitate/NNP are/VBP the/DT hardy/JJ Mexican/JJ cattle/NNS ,/, those/DT cattle/NNS which/WDT are/VBP closer/JJR to/TO nature/NN than/IN are/VBP stupid/JJ white-man/JJ herefords/NNS ./.","nsubj(states-2, He-1) root(ROOT-0, states-2) det(animals-6, The-5) nsubj(cattle-17, animals-6) nsubj(comes-8, Tayo-7) acl:relcl(animals-6, comes-8) advmod(dramatically-10, most-9) advmod(comes-8, dramatically-10) case(imitate-12, to-11) nmod:to(comes-8, imitate-12) cop(cattle-17, are-13) det(cattle-17, the-14) amod(cattle-17, hardy-15) amod(cattle-17, Mexican-16) parataxis(states-2, cattle-17) det(cattle-20, those-19) appos(cattle-17, cattle-20) nsubj(closer-23, cattle-20) ref(cattle-20, which-21) cop(closer-23, are-22) acl:relcl(cattle-20, closer-23) case(nature-25, to-24) nmod:to(closer-23, nature-25) mark(herefords-30, than-26) cop(herefords-30, are-27) amod(herefords-30, stupid-28) amod(herefords-30, white-man-29) ccomp(closer-23, herefords-30)  ",cattle,17,"nsubj(cattle-17, animals-6) cop(cattle-17, are-13) det(cattle-17, the-14) amod(cattle-17, hardy-15) amod(cattle-17, Mexican-16) appos(cattle-17, cattle-20) parataxis(states-2, cattle-17) ","imitate are the hardy Mexican cattle , those cattle which are",NNS,[],are,VBP,object,,,are,be,[],[],[],[],[],['the'],definite article,[],[],[],[],"['hardy', 'Mexican']",['SUBSTANCE'],[],[],[],[],[],"['modified', 'cattle']",[],['cattle'],[],[],,,ambiguous,linked,plural,['EX-PL'],countable,unknown
"He states : "" The animals Tayo comes most dramatically to imitate are the hardy Mexican cattle , those cattle which are closer to nature than are stupid white-man herefords.","He/PRP states/VBZ :/: ''/'' The/DT animals/NNS Tayo/NNP comes/VBZ most/RBS dramatically/RB to/TO imitate/NNP are/VBP the/DT hardy/JJ Mexican/JJ cattle/NNS ,/, those/DT cattle/NNS which/WDT are/VBP closer/JJR to/TO nature/NN than/IN are/VBP stupid/JJ white-man/JJ herefords/NNS ./.","nsubj(states-2, He-1) root(ROOT-0, states-2) det(animals-6, The-5) nsubj(cattle-17, animals-6) nsubj(comes-8, Tayo-7) acl:relcl(animals-6, comes-8) advmod(dramatically-10, most-9) advmod(comes-8, dramatically-10) case(imitate-12, to-11) nmod:to(comes-8, imitate-12) cop(cattle-17, are-13) det(cattle-17, the-14) amod(cattle-17, hardy-15) amod(cattle-17, Mexican-16) parataxis(states-2, cattle-17) det(cattle-20, those-19) appos(cattle-17, cattle-20) nsubj(closer-23, cattle-20) ref(cattle-20, which-21) cop(closer-23, are-22) acl:relcl(cattle-20, closer-23) case(nature-25, to-24) nmod:to(closer-23, nature-25) mark(herefords-30, than-26) cop(herefords-30, are-27) amod(herefords-30, stupid-28) amod(herefords-30, white-man-29) ccomp(closer-23, herefords-30)  ",cattle,20,"det(cattle-20, those-19) ref(cattle-20, which-21) acl:relcl(cattle-20, closer-23) appos(cattle-17, cattle-20) nsubj(closer-23, cattle-20) ","hardy Mexican cattle , those cattle which are closer to nature",NNS,[],are,VBP,subject,are,be,,,[],[],[],[],[],['those'],demonstrative,[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'cattle']",['cattle'],[],[],[],,,ambiguous,linked,plural,['EX-PL'],countable,unknown
