sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
All white people are held collectively guilty for the historical crimes of slavery and racism .,All/DT white/JJ people/NNS are/VBP held/VBN collectively/RB guilty/JJ for/IN the/DT historical/JJ crimes/NNS of/IN slavery/NN and/CC racism/NN ./.,"det(people-3, All-1) amod(people-3, white-2) nsubjpass(held-5, people-3) auxpass(held-5, are-4) root(ROOT-0, held-5) advmod(guilty-7, collectively-6) xcomp(held-5, guilty-7) case(crimes-11, for-8) det(crimes-11, the-9) amod(crimes-11, historical-10) nmod:for(held-5, crimes-11) case(slavery-13, of-12) nmod:of(crimes-11, slavery-13) cc(slavery-13, and-14) nmod:of(crimes-11, racism-15) conj:and(slavery-13, racism-15)  ",crimes,11,"case(crimes-11, for-8) det(crimes-11, the-9) amod(crimes-11, historical-10) nmod:of(crimes-11, slavery-13) nmod:of(crimes-11, racism-15) nmod:for(held-5, crimes-11) ",collectively guilty for the historical crimes of slavery and racism .,NNS,[],,,,,,,,,"[('of', 'slavery'), ('of', 'racism'), ('for', 'held')]","['of', 'of', 'for']",['held'],"['slavery', 'racism']",['the'],[],[],[],[],['historical'],[],[],[],['for'],[],[],[],[],[],[],,,plural,,[],countable,unknown
"People of every racial group have committed terrible crimes , often against others of the same group .","People/NNS of/IN every/DT racial/JJ group/NN have/VBP committed/VBN terrible/JJ crimes/NNS ,/, often/RB against/IN others/NNS of/IN the/DT same/JJ group/NN ./.","nsubj(committed-7, People-1) case(group-5, of-2) det(group-5, every-3) amod(group-5, racial-4) nmod:of(People-1, group-5) aux(committed-7, have-6) root(ROOT-0, committed-7) amod(crimes-9, terrible-8) dobj(committed-7, crimes-9) advmod(others-13, often-11) case(others-13, against-12) nmod:against(committed-7, others-13) case(group-17, of-14) det(group-17, the-15) amod(group-17, same-16) nmod:of(others-13, group-17)  ",crimes,9,"amod(crimes-9, terrible-8) dobj(committed-7, crimes-9) ","racial group have committed terrible crimes , often against others of",NNS,[],committed,VBN,object,,,committed,commit,[],[],[],[],[],[],[],[],[],[],['terrible'],[],[],[],[],[],[],[],[],[],[],,,plural,ambiguous,[],countable,unknown
"The landscape is dry and dusty , and the one beach in town is avoided because crime is endemic .","The/DT landscape/NN is/VBZ dry/JJ and/CC dusty/JJ ,/, and/CC the/DT one/CD beach/NN in/IN town/NN is/VBZ avoided/VBN because/IN crime/NN is/VBZ endemic/JJ ./.","det(landscape-2, The-1) nsubj(dry-4, landscape-2) nsubj(dusty-6, landscape-2) cop(dry-4, is-3) root(ROOT-0, dry-4) cc(dry-4, and-5) conj:and(dry-4, dusty-6) cc(dry-4, and-8) det(beach-11, the-9) nummod(beach-11, one-10) nsubjpass(avoided-15, beach-11) case(town-13, in-12) nmod:in(beach-11, town-13) auxpass(avoided-15, is-14) conj:and(dry-4, avoided-15) mark(endemic-19, because-16) nsubj(endemic-19, crime-17) cop(endemic-19, is-18) advcl(avoided-15, endemic-19)  ",crime,17,"nsubj(endemic-19, crime-17) ",in town is avoided because crime is endemic .,NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,singular,[],countable,unknown
"And when we agonize over the "" social pathology , "" as we say , of the "" underclass "" -the break-up of the family , the prevalence of drugs , crime , illiteracy , and illegitimacy , the compulsion for "" instant gratification "" and the inability to "" defer gratification -are we not implicitly invoking the kinds of "" middle-class "" values , indeed , Victorian values , with which we reproach the Victorians ?","And/CC when/WRB we/PRP agonize/VB over/IN the/DT ''/'' social/JJ pathology/NN ,/, ''/'' as/IN we/PRP say/VBP ,/, of/IN the/JJ ''/'' underclass/NNS ''/'' -/: the/DT break-up/NN of/IN the/DT family/NN ,/, the/DT prevalence/NN of/IN drugs/NNS ,/, crime/NN ,/, illiteracy/NN ,/, and/CC illegitimacy/NN ,/, the/DT compulsion/NN for/IN ''/'' instant/JJ gratification/NN ''/'' and/CC the/DT inability/NN to/TO ''/'' defer/VB gratification/NN -/: are/VBP we/PRP not/RB implicitly/RB invoking/VBG the/DT kinds/NNS of/IN ''/'' middle-class/JJ ''/'' values/NNS ,/, indeed/RB ,/, Victorian/JJ values/NNS ,/, with/IN which/WDT we/PRP reproach/VBP the/DT Victorians/NNPS ?/.","cc(agonize-4, And-1) advmod(agonize-4, when-2) nsubj(agonize-4, we-3) root(ROOT-0, agonize-4) case(the-6, over-5) advmod(agonize-4, the-6) amod(pathology-9, social-8) dobj(agonize-4, pathology-9) mark(say-14, as-12) nsubj(say-14, we-13) acl:relcl(pathology-9, say-14) case(underclass-19, of-16) amod(underclass-19, the-17) nmod:of(pathology-9, underclass-19) det(break-up-23, the-22) dep(underclass-19, break-up-23) case(family-26, of-24) det(family-26, the-25) nmod:of(break-up-23, family-26) det(prevalence-29, the-28) nmod:of(break-up-23, prevalence-29) conj:and(family-26, prevalence-29) case(drugs-31, of-30) nmod:of(prevalence-29, drugs-31) appos(drugs-31, crime-33) appos(drugs-31, illiteracy-35) conj:and(crime-33, illiteracy-35) cc(crime-33, and-37) appos(drugs-31, illegitimacy-38) conj:and(crime-33, illegitimacy-38) det(compulsion-41, the-40) appos(drugs-31, compulsion-41) case(gratification-45, for-42) amod(gratification-45, instant-44) nmod:for(compulsion-41, gratification-45) cc(family-26, and-47) det(inability-49, the-48) nmod:of(break-up-23, inability-49) conj:and(family-26, inability-49) mark(defer-52, to-50) acl(inability-49, defer-52) dobj(defer-52, gratification-53) aux(invoking-59, are-55) nsubj(invoking-59, we-56) neg(invoking-59, not-57) advmod(invoking-59, implicitly-58) dep(agonize-4, invoking-59) det(kinds-61, the-60) dobj(invoking-59, kinds-61) case(values-66, of-62) amod(values-66, middle-class-64) nmod:of(invoking-59, values-66) advmod(values-66, indeed-68) amod(values-71, Victorian-70) appos(values-66, values-71) case(which-74, with-73) nmod:with(reproach-76, which-74) nsubj(reproach-76, we-75) dep(invoking-59, reproach-76) det(Victorians-78, the-77) dep(agonize-4, Victorians-78)  ",crime,33,"conj:and(crime-33, illiteracy-35) cc(crime-33, and-37) conj:and(crime-33, illegitimacy-38) appos(drugs-31, crime-33) ","prevalence of drugs , crime , illiteracy , and illegitimacy ,",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'illiteracy'), ('and', 'illegitimacy')]","['and', 'and']","['illiteracy', 'illegitimacy']",[],[],[],[],[],[],[],"['modifier', 'drugs']",['drugs'],[],[],[],,,singular,,[],countable,unknown
", those not primarily liberal arts ) rank substance abuse , student apathy , campus security and crime , and inadequate facilities ahead of **25;27;TOOLONG relations as areas of concern .",",/, those/DT not/RB primarily/JJ liberal/JJ arts/NNS -RRB-/-RRB- rank/VBP substance/NN abuse/NN ,/, student/NN apathy/NN ,/, campus/NN security/NN and/CC crime/NN ,/, and/CC inadequate/JJ facilities/NNS ahead/RB of/IN **/NNP 25/CD ;/: 27/CD ;/: TOOLONG/VBG relations/NNS as/IN areas/NNS of/IN concern/NN ./.","dep(rank-8, those-2) neg(arts-6, not-3) amod(arts-6, primarily-4) amod(arts-6, liberal-5) nsubj(rank-8, arts-6) root(ROOT-0, rank-8) compound(abuse-10, substance-9) dobj(rank-8, abuse-10) compound(apathy-13, student-12) dobj(rank-8, apathy-13) conj:and(abuse-10, apathy-13) compound(security-16, campus-15) dobj(rank-8, security-16) conj:and(abuse-10, security-16) cc(security-16, and-17) conj:and(abuse-10, crime-18) conj:and(security-16, crime-18) cc(abuse-10, and-20) amod(facilities-22, inadequate-21) dobj(rank-8, facilities-22) conj:and(abuse-10, facilities-22) advmod(**-25, ahead-23) case(**-25, of-24) nmod:of(facilities-22, **-25) nummod(**-25, 25-26) nummod(**-25, 27-28) parataxis(rank-8, TOOLONG-30) dobj(TOOLONG-30, relations-31) case(areas-33, as-32) nmod:as(TOOLONG-30, areas-33) case(concern-35, of-34) nmod:of(areas-33, concern-35)  ",crime,18,"conj:and(abuse-10, crime-18) conj:and(security-16, crime-18) ","apathy , campus security and crime , and inadequate facilities ahead",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'abuse'), ('and', 'security')]","['and', 'and']","['abuse', 'security']",[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
"1 <p> In just two and a half years , the Cheka condemned to death over fifty thousand people , not because of any crime , but because of their parentage , education , or occupation -- characteristics that are surely accidental to the issue of whether they deserved to die .","1/CD <p>/NN In/IN just/RB two/CD and/CC a/DT half/JJ years/NNS ,/, the/DT Cheka/NNP condemned/VBD to/TO death/NN over/IN fifty/JJ thousand/CD people/NNS ,/, not/RB because/RB of/IN any/DT crime/NN ,/, but/CC because/RB of/IN their/PRP$ parentage/NN ,/, education/NN ,/, or/CC occupation/NN --/: characteristics/NNS that/WDT are/VBP surely/RB accidental/JJ to/TO the/DT issue/NN of/IN whether/IN they/PRP deserved/VBD to/TO die/VB ./.","nummod(<p>-2, 1-1) nmod:in(condemned-13, <p>-2) case(<p>-2, In-3) advmod(two-5, just-4) dep(<p>-2, two-5) cc(two-5, and-6) det(years-9, a-7) amod(years-9, half-8) dep(<p>-2, years-9) conj:and(two-5, years-9) det(Cheka-12, the-11) nsubj(condemned-13, Cheka-12) root(ROOT-0, condemned-13) case(death-15, to-14) nmod:to(condemned-13, death-15) case(people-19, over-16) amod(people-19, fifty-17) nummod(people-19, thousand-18) nmod:over(condemned-13, people-19) neg(crime-25, not-21) case(crime-25, because-22) mwe(because-22, of-23) det(crime-25, any-24) nmod:because_of(condemned-13, crime-25) cc(crime-25, but-27) nmod:because_of(condemned-13, because-28) conj:but(crime-25, because-28) case(parentage-31, of-29) nmod:poss(parentage-31, their-30) nmod:of(crime-25, parentage-31) nmod:of(crime-25, education-33) conj:or(parentage-31, education-33) cc(parentage-31, or-35) nmod:of(crime-25, occupation-36) conj:or(parentage-31, occupation-36) dep(parentage-31, characteristics-38) nsubj(accidental-42, characteristics-38) ref(characteristics-38, that-39) cop(accidental-42, are-40) advmod(accidental-42, surely-41) acl:relcl(characteristics-38, accidental-42) case(issue-45, to-43) det(issue-45, the-44) nmod:to(accidental-42, issue-45) mark(deserved-49, of-46) mark(deserved-49, whether-47) nsubj(deserved-49, they-48) nsubj(die-51, they-48) acl(issue-45, deserved-49) mark(die-51, to-50) xcomp(deserved-49, die-51)  ",crime,25,"neg(crime-25, not-21) case(crime-25, because-22) det(crime-25, any-24) cc(crime-25, but-27) conj:but(crime-25, because-28) nmod:of(crime-25, parentage-31) nmod:of(crime-25, education-33) nmod:of(crime-25, occupation-36) nmod:because_of(condemned-13, crime-25) ",", not because of any crime , but because of their",NN,['not'],,,,,,,,,"[('of', 'parentage'), ('of', 'education'), ('of', 'occupation'), ('because_of', 'condemned')]","['of', 'of', 'of', 'because_of']",['condemned'],"['parentage', 'education', 'occupation']",['any'],"[('but', 'because')]",['but'],['because'],[],[],[],[],[],['because'],[],[],[],[],[],[],,,singular,,[],countable,verdical
"<p> To see how unrepresentative the above issues are , consider some of the issues prominent in the public debates of the last two decades , all of which have a significant moral component , that do not appear on the list : busing , confrontation versus detente in foreign policy , crime , drugs , education , family issues , human rights versus Realpolitik , Middle East conflict , school prayer , subsidies , taxation , trade policy , and welfare policy .","<p>/NN To/TO see/VB how/WRB unrepresentative/VBP the/DT above/JJ issues/NNS are/VBP ,/, consider/VBP some/DT of/IN the/DT issues/NNS prominent/JJ in/IN the/DT public/JJ debates/NNS of/IN the/DT last/JJ two/CD decades/NNS ,/, all/DT of/IN which/WDT have/VBP a/DT significant/JJ moral/JJ component/NN ,/, that/WDT do/VBP not/RB appear/VB on/IN the/DT list/NN :/: busing/NN ,/, confrontation/NN versus/CC detente/NN in/IN foreign/JJ policy/NN ,/, crime/NN ,/, drugs/NNS ,/, education/NN ,/, family/NN issues/NNS ,/, human/JJ rights/NNS versus/IN Realpolitik/NNP ,/, Middle/NNP East/NNP conflict/NN ,/, school/NN prayer/NN ,/, subsidies/NNS ,/, taxation/NN ,/, trade/NN policy/NN ,/, and/CC welfare/NN policy/NN ./.","nsubj(consider-11, <p>-1) mark(see-3, To-2) acl(<p>-1, see-3) advmod(unrepresentative-5, how-4) ccomp(see-3, unrepresentative-5) det(issues-8, the-6) amod(issues-8, above-7) nsubj(are-9, issues-8) ccomp(unrepresentative-5, are-9) root(ROOT-0, consider-11) dobj(consider-11, some-12) case(issues-15, of-13) det(issues-15, the-14) nmod:of(some-12, issues-15) xcomp(consider-11, prominent-16) case(debates-20, in-17) det(debates-20, the-18) amod(debates-20, public-19) nmod:in(prominent-16, debates-20) nsubj(have-30, debates-20) case(decades-25, of-21) det(decades-25, the-22) amod(decades-25, last-23) nummod(decades-25, two-24) nmod:of(debates-20, decades-25) dep(which-29, all-27) case(which-29, of-28) ref(debates-20, which-29) acl:relcl(debates-20, have-30) det(component-34, a-31) amod(component-34, significant-32) amod(component-34, moral-33) dobj(have-30, component-34) nsubj(appear-39, component-34) ref(component-34, that-36) aux(appear-39, do-37) neg(appear-39, not-38) acl:relcl(component-34, appear-39) case(list-42, on-40) det(list-42, the-41) nmod:on(appear-39, list-42) parataxis(consider-11, busing-44) parataxis(consider-11, confrontation-46) conj:versus(busing-44, confrontation-46) cc(busing-44, versus-47) parataxis(consider-11, detente-48) conj:versus(busing-44, detente-48) case(policy-51, in-49) amod(policy-51, foreign-50) nmod:in(busing-44, policy-51) nmod:in(busing-44, crime-53) conj:and(policy-51, crime-53) nmod:in(busing-44, drugs-55) conj:and(policy-51, drugs-55) nmod:in(busing-44, education-57) conj:and(policy-51, education-57) compound(issues-60, family-59) nmod:in(busing-44, issues-60) conj:and(policy-51, issues-60) amod(rights-63, human-62) nmod:in(busing-44, rights-63) conj:and(policy-51, rights-63) case(Realpolitik-65, versus-64) nmod:versus(rights-63, Realpolitik-65) compound(conflict-69, Middle-67) compound(conflict-69, East-68) nmod:in(busing-44, conflict-69) conj:and(policy-51, conflict-69) compound(prayer-72, school-71) nmod:in(busing-44, prayer-72) conj:and(policy-51, prayer-72) nmod:in(busing-44, subsidies-74) conj:and(policy-51, subsidies-74) nmod:in(busing-44, taxation-76) conj:and(policy-51, taxation-76) compound(policy-79, trade-78) nmod:in(busing-44, policy-79) conj:and(policy-51, policy-79) cc(policy-51, and-81) compound(policy-83, welfare-82) nmod:in(busing-44, policy-83) conj:and(policy-51, policy-83)  ",crime,53,"nmod:in(busing-44, crime-53) conj:and(policy-51, crime-53) ","detente in foreign policy , crime , drugs , education ,",NN,[],,,,,,,,,"[('in', 'busing')]",['in'],['busing'],[],[],"[('and', 'policy')]",['and'],['policy'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
"It forfeits the estate of the buyer for a crime not committed by himself , but by those from whom he purchased .","It/PRP forfeits/VBZ the/DT estate/NN of/IN the/DT buyer/NN for/IN a/DT crime/NN not/RB committed/JJ by/IN himself/PRP ,/, but/CC by/IN those/DT from/IN whom/WP he/PRP purchased/VBD ./.","nsubj(forfeits-2, It-1) root(ROOT-0, forfeits-2) det(estate-4, the-3) dobj(forfeits-2, estate-4) case(buyer-7, of-5) det(buyer-7, the-6) nmod:of(estate-4, buyer-7) case(crime-10, for-8) det(crime-10, a-9) nmod:for(buyer-7, crime-10) dep(estate-4, not-11) dep(not-11, committed-12) case(himself-14, by-13) nmod:by(committed-12, himself-14) cc(not-11, but-16) case(those-18, by-17) dep(estate-4, those-18) conj:but(not-11, those-18) mark(purchased-22, from-19) dobj(purchased-22, whom-20) nsubj(purchased-22, he-21) acl(those-18, purchased-22)  ",crime,10,"case(crime-10, for-8) det(crime-10, a-9) nmod:for(buyer-7, crime-10) ","of the buyer for a crime not committed by himself ,",NN,[],,,,,,,,,"[('for', 'buyer')]",['for'],['buyer'],[],['a'],[],[],[],[],[],[],[],[],['for'],[],[],[],[],[],[],a,unit,singular,,['A+N'],countable,unknown
"These Chicago urbanists , most notably Robert Park ( originally a journalist whose visual impressions of the city came from investigating crimes , accidents , fires , and political demonstrations ) , sought to understand the relation between the city as a place and as a "" moral order . ""","These/DT Chicago/NNP urbanists/NNS ,/, most/RBS notably/RB Robert/NNP Park/NNP -LRB-/-LRB- originally/RB a/DT journalist/NN whose/WP$ visual/JJ impressions/NNS of/IN the/DT city/NN came/VBD from/IN investigating/VBG crimes/NNS ,/, accidents/NNS ,/, fires/NNS ,/, and/CC political/JJ demonstrations/NNS -RRB-/-RRB- ,/, sought/VBD to/TO understand/VB the/DT relation/NN between/IN the/DT city/NN as/IN a/DT place/NN and/CC as/RB a/DT ''/'' moral/JJ order/NN ./. ''/''","det(Chicago-2, These-1) nsubj(sought-33, Chicago-2) nsubj(understand-35, Chicago-2) dep(Chicago-2, urbanists-3) advmod(notably-6, most-5) advmod(Chicago-2, notably-6) compound(Park-8, Robert-7) dep(Chicago-2, Park-8) advmod(journalist-12, originally-10) det(journalist-12, a-11) dep(Park-8, journalist-12) dep(came-19, journalist-12) ref(journalist-12, whose-13) amod(impressions-15, visual-14) nsubj(came-19, impressions-15) case(city-18, of-16) det(city-18, the-17) nmod:of(impressions-15, city-18) acl:relcl(journalist-12, came-19) mark(investigating-21, from-20) advcl(came-19, investigating-21) dobj(investigating-21, crimes-22) dobj(investigating-21, accidents-24) conj:and(crimes-22, accidents-24) dobj(investigating-21, fires-26) conj:and(crimes-22, fires-26) cc(crimes-22, and-28) amod(demonstrations-30, political-29) dobj(investigating-21, demonstrations-30) conj:and(crimes-22, demonstrations-30) root(ROOT-0, sought-33) mark(understand-35, to-34) xcomp(sought-33, understand-35) det(relation-37, the-36) dobj(understand-35, relation-37) case(city-40, between-38) det(city-40, the-39) nmod:between(relation-37, city-40) case(place-43, as-41) det(place-43, a-42) nmod:as(city-40, place-43) cc(place-43, and-44) advmod(a-46, as-45) nmod:as(city-40, a-46) conj:and(place-43, a-46) amod(order-49, moral-48) dep(relation-37, order-49)  ",crimes,22,"conj:and(crimes-22, accidents-24) conj:and(crimes-22, fires-26) cc(crimes-22, and-28) conj:and(crimes-22, demonstrations-30) dobj(investigating-21, crimes-22) ","the city came from investigating crimes , accidents , fires ,",NNS,[],investigating,VBG,object,,,investigating,investigate,[],[],[],[],[],[],"[('and', 'accidents'), ('and', 'fires'), ('and', 'demonstrations')]","['and', 'and', 'and']","['accidents', 'fires', 'demonstrations']",[],[],[],[],[],[],[],[],[],[],[],[],,,plural,ambiguous,[],countable,unknown
"These men who were bred on reporting crime in the Chicago stockyards found writing about the spiritual life of cities slightly uncomfortable -- at least in the abstract manner in which their teacher conceived of it , Individual Spirit struggling with Impersonal Collective Form .","These/DT men/NNS who/WP were/VBD bred/VBN on/IN reporting/VBG crime/NN in/IN the/DT Chicago/NNP stockyards/NNS found/VBD writing/VBG about/RB the/DT spiritual/JJ life/NN of/IN cities/NNS slightly/RB uncomfortable/JJ --/: at/IN least/JJS in/IN the/DT abstract/JJ manner/NN in/IN which/WDT their/PRP$ teacher/NN conceived/VBD of/IN it/PRP ,/, Individual/NNP Spirit/NNP struggling/VBG with/IN Impersonal/NNP Collective/NNP Form/NN ./.","det(men-2, These-1) nsubjpass(bred-5, men-2) nsubj(found-13, men-2) ref(men-2, who-3) auxpass(bred-5, were-4) acl:relcl(men-2, bred-5) mark(reporting-7, on-6) advcl(bred-5, reporting-7) dobj(reporting-7, crime-8) case(stockyards-12, in-9) det(stockyards-12, the-10) compound(stockyards-12, Chicago-11) nmod:in(reporting-7, stockyards-12) root(ROOT-0, found-13) xcomp(found-13, writing-14) advmod(life-18, about-15) det(life-18, the-16) amod(life-18, spiritual-17) nsubj(uncomfortable-22, life-18) case(cities-20, of-19) nmod:of(life-18, cities-20) advmod(uncomfortable-22, slightly-21) xcomp(writing-14, uncomfortable-22) advmod(manner-29, at-24) mwe(at-24, least-25) case(manner-29, in-26) det(manner-29, the-27) amod(manner-29, abstract-28) nmod:in(writing-14, manner-29) nmod:in(conceived-34, manner-29) case(which-31, in-30) ref(manner-29, which-31) nmod:poss(teacher-33, their-32) nsubj(conceived-34, teacher-33) acl:relcl(manner-29, conceived-34) case(it-36, of-35) nmod:of(conceived-34, it-36) compound(Spirit-39, Individual-38) nsubj(struggling-40, Spirit-39) dep(writing-14, struggling-40) case(Form-44, with-41) compound(Form-44, Impersonal-42) compound(Form-44, Collective-43) nmod:with(struggling-40, Form-44)  ",crime,8,"dobj(reporting-7, crime-8) ",who were bred on reporting crime in the Chicago stockyards found,NN,[],reporting,VBG,object,,,reporting,report,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],countable,unknown
