sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability
"If $100,000-a-year professors at one of America 's most expensive and "" elitist "" schools want to posture as good comrades , populists , and the vanguard of class struggle , probably no lasting harm is done -- to them .","If/IN $/$ 100,000-a-year/CD professors/VBG at/IN one/CD of/IN America/NNP 's/POS most/RBS expensive/JJ and/NNP ''/'' elitist/NN ''/'' schools/NNS want/VBP to/TO posture/NN as/IN good/JJ comrades/NNS ,/, populists/NNS ,/, and/CC the/DT vanguard/NN of/IN class/NN struggle/NN ,/, probably/RB no/DT lasting/JJ harm/NN is/VBZ done/VBN --/: to/TO them/PRP ./.","mark(want-17, If-1) dep(100,000-a-year-3, $-2) nsubj(want-17, 100,000-a-year-3) acl(100,000-a-year-3, professors-4) case(one-6, at-5) nmod:at(professors-4, one-6) case(elitist-14, of-7) nmod:poss(elitist-14, America-8) case(America-8, 's-9) advmod(expensive-11, most-10) amod(elitist-14, expensive-11) compound(elitist-14, and-12) nmod:of(one-6, elitist-14) dobj(professors-4, schools-16) advcl(done-38, want-17) case(posture-19, to-18) nmod:to(want-17, posture-19) case(comrades-22, as-20) amod(comrades-22, good-21) nmod:as(want-17, comrades-22) nmod:as(want-17, populists-24) conj:and(comrades-22, populists-24) cc(comrades-22, and-26) det(vanguard-28, the-27) nmod:as(want-17, vanguard-28) conj:and(comrades-22, vanguard-28) case(struggle-31, of-29) compound(struggle-31, class-30) nmod:of(vanguard-28, struggle-31) advmod(harm-36, probably-33) neg(harm-36, no-34) amod(harm-36, lasting-35) nsubjpass(done-38, harm-36) auxpass(done-38, is-37) root(ROOT-0, done-38) case(them-41, to-40) nmod:to(done-38, them-41)  ",harm,36,"advmod(harm-36, probably-33) neg(harm-36, no-34) amod(harm-36, lasting-35) nsubjpass(done-38, harm-36) ",", probably no lasting harm is done -- to them .",NN,['no'],done,VBN,subject,[],[],[],[],[],[],[],[],['lasting'],[],[],[],[],['probably'],[],,,singular,ambiguous,,unknown
Mill famously thought he found a natural limit to free speech : the point at which it caused palpable harm .,Mill/NNP famously/NNP thought/VBD he/PRP found/VBD a/DT natural/JJ limit/NN to/TO free/JJ speech/NN :/: the/DT point/NN at/IN which/WDT it/PRP caused/VBD palpable/JJ harm/NN ./.,"compound(famously-2, Mill-1) nsubj(thought-3, famously-2) root(ROOT-0, thought-3) nsubj(found-5, he-4) ccomp(thought-3, found-5) det(limit-8, a-6) amod(limit-8, natural-7) dobj(found-5, limit-8) case(speech-11, to-9) amod(speech-11, free-10) nmod:to(found-5, speech-11) det(point-14, the-13) dobj(found-5, point-14) nmod:at(caused-18, point-14) case(which-16, at-15) ref(point-14, which-16) nsubj(caused-18, it-17) acl:relcl(point-14, caused-18) amod(harm-20, palpable-19) dobj(caused-18, harm-20)  ",harm,20,"amod(harm-20, palpable-19) dobj(caused-18, harm-20) ",at which it caused palpable harm .,NN,[],caused,VBD,object,[],[],[],[],[],[],[],[],['palpable'],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"Several professors have told me that the new general education requirement may have a different effect from the one intended , that it may do more harm than good .","Several/JJ professors/NNS have/VBP told/VBN me/PRP that/IN the/DT new/JJ general/JJ education/NN requirement/NN may/MD have/VB a/DT different/JJ effect/NN from/IN the/DT one/NN intended/VBN ,/, that/IN it/PRP may/MD do/VB more/JJR harm/NN than/IN good/JJ ./.","amod(professors-2, Several-1) nsubj(told-4, professors-2) aux(told-4, have-3) root(ROOT-0, told-4) dobj(told-4, me-5) mark(have-13, that-6) det(requirement-11, the-7) amod(requirement-11, new-8) amod(requirement-11, general-9) compound(requirement-11, education-10) nsubj(have-13, requirement-11) aux(have-13, may-12) ccomp(told-4, have-13) det(effect-16, a-14) amod(effect-16, different-15) dobj(have-13, effect-16) case(one-19, from-17) det(one-19, the-18) nmod:from(have-13, one-19) acl(one-19, intended-20) mark(do-25, that-22) nsubj(do-25, it-23) aux(do-25, may-24) ccomp(have-13, do-25) amod(harm-27, more-26) dobj(do-25, harm-27) case(good-29, than-28) advcl:than(do-25, good-29)  ",harm,27,"amod(harm-27, more-26) dobj(do-25, harm-27) ",that it may do more harm than good .,NN,[],do,VB,object,[],[],[],[],[],[],[],[],['more'],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"<p> But one may salute the sarcasm which adds that "" the only harm that has been done is the bruise administered to the theory that authors are separate and do not matter .",<p>/JJ But/CC one/PRP may/MD salute/VB the/DT sarcasm/NN which/WDT adds/VBZ that/DT ''/'' the/DT only/JJ harm/NN that/WDT has/VBZ been/VBN done/VBN is/VBZ the/DT bruise/NN administered/VBN to/TO the/DT theory/NN that/IN authors/NNS are/VBP separate/JJ and/CC do/VBP not/RB matter/VB ./.,"root(ROOT-0, <p>-1) cc(salute-5, But-2) nsubj(salute-5, one-3) aux(salute-5, may-4) dep(<p>-1, salute-5) det(sarcasm-7, the-6) dobj(salute-5, sarcasm-7) nsubj(adds-9, sarcasm-7) ref(sarcasm-7, which-8) acl:relcl(sarcasm-7, adds-9) dobj(adds-9, that-10) nsubjpass(done-18, that-10) det(harm-14, the-12) amod(harm-14, only-13) nsubjpass(done-18, harm-14) nsubj(bruise-21, harm-14) ref(that-10, that-15) ref(harm-14, that-15) aux(done-18, has-16) auxpass(done-18, been-17) acl:relcl(harm-14, done-18) cop(bruise-21, is-19) det(bruise-21, the-20) acl:relcl(that-10, bruise-21) acl(bruise-21, administered-22) case(theory-25, to-23) det(theory-25, the-24) nmod:to(administered-22, theory-25) mark(separate-29, that-26) nsubj(separate-29, authors-27) nsubj(matter-33, authors-27) cop(separate-29, are-28) ccomp(administered-22, separate-29) cc(separate-29, and-30) aux(matter-33, do-31) neg(matter-33, not-32) ccomp(administered-22, matter-33) conj:and(separate-29, matter-33)  ",harm,14,"det(harm-14, the-12) amod(harm-14, only-13) ref(harm-14, that-15) acl:relcl(harm-14, done-18) nsubjpass(done-18, harm-14) nsubj(bruise-21, harm-14) ","adds that "" the only harm that has been done is",NN,[],is,VBZ,subject,[],[],[],[],[],['the'],[],[],['only'],[],[],[],[],[],[],,,singular,singular,,unknown
"Since it is rational for each to act to preserve himself , and since each has a blameless liberty to do whatever he must , no one can be said to be blameworthy or irrational when his self-preserving actions impose harms on others . ""","Since/IN it/PRP is/VBZ rational/JJ for/IN each/DT to/TO act/VB to/TO preserve/VB himself/PRP ,/, and/CC since/IN each/DT has/VBZ a/DT blameless/JJ liberty/NN to/TO do/VB whatever/WDT he/PRP must/MD ,/, no/DT one/NN can/MD be/VB said/VBN to/TO be/VB blameworthy/JJ or/CC irrational/JJ when/WRB his/PRP$ self-preserving/JJ actions/NNS impose/VB harms/NNS on/IN others/NNS ./. ''/''","mark(rational-4, Since-1) nsubj(rational-4, it-2) cop(rational-4, is-3) advcl(said-30, rational-4) mark(act-8, for-5) nsubj(act-8, each-6) nsubj(preserve-10, each-6) mark(act-8, to-7) advcl(rational-4, act-8) mark(preserve-10, to-9) xcomp(act-8, preserve-10) dobj(preserve-10, himself-11) cc(act-8, and-13) mark(has-16, since-14) nsubj(has-16, each-15) advcl(rational-4, has-16) conj:and(act-8, has-16) det(liberty-19, a-17) amod(liberty-19, blameless-18) dobj(has-16, liberty-19) mark(do-21, to-20) acl(liberty-19, do-21) dobj(must-24, whatever-22) nsubj(must-24, he-23) ccomp(do-21, must-24) neg(one-27, no-26) nsubjpass(said-30, one-27) nsubj(blameworthy-33, one-27) nsubj(irrational-35, one-27) aux(said-30, can-28) auxpass(said-30, be-29) root(ROOT-0, said-30) mark(blameworthy-33, to-31) cop(blameworthy-33, be-32) xcomp(said-30, blameworthy-33) cc(blameworthy-33, or-34) xcomp(said-30, irrational-35) conj:or(blameworthy-33, irrational-35) advmod(impose-40, when-36) nmod:poss(actions-39, his-37) amod(actions-39, self-preserving-38) nsubj(impose-40, actions-39) advcl(blameworthy-33, impose-40) dobj(impose-40, harms-41) case(others-43, on-42) nmod:on(impose-40, others-43)  ",harms,41,"dobj(impose-40, harms-41) ","when his self-preserving actions impose harms on others . """,NNS,[],impose,VB,object,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,ambiguous,,unknown
"And if punitive remedies are inappropriate to an entitlement conception of justice , what sanctions would conform to it in cases of personal injury where the realized harm was intended by its perpetrator -- and , more problematically , in the limiting case of murder ?","And/CC if/IN punitive/JJ remedies/NNS are/VBP inappropriate/JJ to/TO an/DT entitlement/NN conception/NN of/IN justice/NN ,/, what/WP sanctions/NNS would/MD conform/VB to/TO it/PRP in/IN cases/NNS of/IN personal/JJ injury/NN where/WRB the/DT realized/VBN harm/NN was/VBD intended/VBN by/IN its/PRP$ perpetrator/NN --/: and/CC ,/, more/RBR problematically/RB ,/, in/IN the/DT limiting/VBG case/NN of/IN murder/NN ?/.","cc(inappropriate-6, And-1) mark(inappropriate-6, if-2) amod(remedies-4, punitive-3) nsubj(inappropriate-6, remedies-4) cop(inappropriate-6, are-5) root(ROOT-0, inappropriate-6) case(conception-10, to-7) det(conception-10, an-8) compound(conception-10, entitlement-9) dobj(conform-17, conception-10) nmod:to(more-37, conception-10) case(justice-12, of-11) nmod:of(conception-10, justice-12) ref(conception-10, what-14) nsubj(conform-17, sanctions-15) aux(conform-17, would-16) acl:relcl(conception-10, conform-17) case(it-19, to-18) nmod:to(conform-17, it-19) case(cases-21, in-20) nmod:in(conform-17, cases-21) case(injury-24, of-22) amod(injury-24, personal-23) nmod:of(cases-21, injury-24) advmod(intended-30, where-25) det(harm-28, the-26) amod(harm-28, realized-27) nsubjpass(intended-30, harm-28) auxpass(intended-30, was-29) advcl(conform-17, intended-30) case(perpetrator-33, by-31) nmod:poss(perpetrator-33, its-32) nmod:by(intended-30, perpetrator-33) cc(more-37, and-35) nmod(inappropriate-6, more-37) advmod(more-37, problematically-38) case(case-43, in-40) det(case-43, the-41) amod(case-43, limiting-42) nmod(inappropriate-6, case-43) conj:and(more-37, case-43) case(murder-45, of-44) nmod:of(case-43, murder-45)  ",harm,28,"det(harm-28, the-26) amod(harm-28, realized-27) nsubjpass(intended-30, harm-28) ",personal injury where the realized harm was intended by its perpetrator,NN,[],intended,VBN,subject,[],[],[],[],[],['the'],[],[],['realized'],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"The benefits from a vaccination program and the harms associated with industrial pollution are often cited as examples of positive and negative externalities , respectively .","The/DT benefits/NNS from/IN a/DT vaccination/NN program/NN and/CC the/DT harms/NNS associated/VBN with/IN industrial/JJ pollution/NN are/VBP often/RB cited/VBN as/IN examples/NNS of/IN positive/JJ and/CC negative/JJ externalities/NNS ,/, respectively/RB ./.","det(benefits-2, The-1) nsubjpass(cited-16, benefits-2) case(program-6, from-3) det(program-6, a-4) compound(program-6, vaccination-5) nmod:from(benefits-2, program-6) cc(program-6, and-7) det(harms-9, the-8) nmod:from(benefits-2, harms-9) conj:and(program-6, harms-9) acl(harms-9, associated-10) case(pollution-13, with-11) amod(pollution-13, industrial-12) nmod:with(associated-10, pollution-13) auxpass(cited-16, are-14) advmod(cited-16, often-15) root(ROOT-0, cited-16) case(examples-18, as-17) nmod:as(cited-16, examples-18) case(externalities-23, of-19) amod(externalities-23, positive-20) cc(positive-20, and-21) conj:and(positive-20, negative-22) amod(externalities-23, negative-22) nmod:of(examples-18, externalities-23) advmod(cited-16, respectively-25)  ",harms,9,"det(harms-9, the-8) acl(harms-9, associated-10) nmod:from(benefits-2, harms-9) conj:and(program-6, harms-9) ",a vaccination program and the harms associated with industrial pollution are,NNS,[],,,,,"[('from', 'benefits')]",['from'],['benefits'],[],['the'],"[('and', 'program')]",[],[],[],[],[],[],[],[],,,plural,,,unknown
", serious threat to one 's life or physical integrity ; serious threat or harm to one 's children , spouse , or other close relatives and friends ; sudden destruction of one 's home or community ; or seeing another person who has recently been , or is being , seriously injured or killed as the result of an accident or physical violence .",",/, serious/JJ threat/NN to/TO one/CD 's/POS life/NN or/CC physical/JJ integrity/NN ;/: serious/JJ threat/NN or/CC harm/NN to/TO one/CD 's/POS children/NNS ,/, spouse/NN ,/, or/CC other/JJ close/NN relatives/NNS and/CC friends/NNS ;/: sudden/JJ destruction/NN of/IN one/CD 's/POS home/NN or/CC community/NN ;/: or/CC seeing/NNP another/DT person/NN who/WP has/VBZ recently/RB been/VBN ,/, or/CC is/VBZ being/VBG ,/, seriously/RB injured/VBN or/CC killed/VBN as/IN the/DT result/NN of/IN an/DT accident/NN or/CC physical/JJ violence/NN ./.","amod(threat-3, serious-2) nsubj(been-46, threat-3) nsubj(being-50, threat-3) nsubj(injured-53, threat-3) nsubj(killed-55, threat-3) case(life-7, to-4) nmod:poss(life-7, one-5) case(one-5, 's-6) nmod:to(threat-3, life-7) cc(life-7, or-8) amod(integrity-10, physical-9) nmod:to(threat-3, integrity-10) conj:or(life-7, integrity-10) amod(threat-13, serious-12) nmod:to(threat-3, threat-13) conj:or(life-7, threat-13) cc(threat-13, or-14) conj:or(life-7, harm-15) conj:or(threat-13, harm-15) case(children-19, to-16) nmod:poss(children-19, one-17) case(one-17, 's-18) nmod:to(threat-13, children-19) nmod:to(threat-3, spouse-21) conj:or(life-7, spouse-21) cc(spouse-21, or-23) amod(relatives-26, other-24) compound(relatives-26, close-25) conj:or(life-7, relatives-26) conj:or(spouse-21, relatives-26) cc(relatives-26, and-27) conj:or(spouse-21, friends-28) conj:and(relatives-26, friends-28) amod(destruction-31, sudden-30) nmod:to(threat-3, destruction-31) conj:or(life-7, destruction-31) case(home-35, of-32) nmod:poss(home-35, one-33) case(one-33, 's-34) nmod:of(destruction-31, home-35) cc(home-35, or-36) nmod:of(destruction-31, community-37) conj:or(home-35, community-37) cc(life-7, or-39) nmod:to(threat-3, seeing-40) conj:or(life-7, seeing-40) det(person-42, another-41) dep(seeing-40, person-42) ref(threat-3, who-43) aux(been-46, has-44) advmod(been-46, recently-45) acl:relcl(threat-3, been-46) cc(been-46, or-48) aux(being-50, is-49) acl:relcl(threat-3, being-50) conj:or(been-46, being-50) advmod(injured-53, seriously-52) root(ROOT-0, injured-53) cc(injured-53, or-54) conj:or(injured-53, killed-55) case(result-58, as-56) det(result-58, the-57) nmod:as(injured-53, result-58) case(accident-61, of-59) det(accident-61, an-60) nmod:of(result-58, accident-61) cc(accident-61, or-62) amod(violence-64, physical-63) nmod:of(result-58, violence-64) conj:or(accident-61, violence-64)  ",harm,15,"conj:or(life-7, harm-15) conj:or(threat-13, harm-15) ","integrity ; serious threat or harm to one 's children ,",NN,[],,,,,[],[],[],[],[],"[('or', 'life'), ('or', 'threat')]",[],[],[],[],[],[],[],[],,,singular,,,unknown
"If the rabbi turns them in to state authorities , it is not ' difficult to imagine the harm -- perhaps irreparable -- to their relationship .","If/IN the/DT rabbi/NNS turns/VBZ them/PRP in/IN to/TO state/NN authorities/NNS ,/, it/PRP is/VBZ not/RB '/`` difficult/JJ to/TO imagine/VB the/DT harm/NN --/: perhaps/RB irreparable/JJ --/: to/TO their/PRP$ relationship/NN ./.","mark(turns-4, If-1) det(rabbi-3, the-2) nsubj(turns-4, rabbi-3) advcl(difficult-15, turns-4) dobj(turns-4, them-5) case(authorities-9, in-6) case(authorities-9, to-7) compound(authorities-9, state-8) nmod:to(turns-4, authorities-9) nsubj(difficult-15, it-11) nsubj(imagine-17, it-11) cop(difficult-15, is-12) neg(difficult-15, not-13) root(ROOT-0, difficult-15) mark(imagine-17, to-16) xcomp(difficult-15, imagine-17) det(harm-19, the-18) dobj(imagine-17, harm-19) dep(irreparable-22, perhaps-21) dep(harm-19, irreparable-22) case(relationship-26, to-24) nmod:poss(relationship-26, their-25) nmod:to(imagine-17, relationship-26)  ",harm,19,"det(harm-19, the-18) dep(harm-19, irreparable-22) dobj(imagine-17, harm-19) ",' difficult to imagine the harm -- perhaps irreparable -- to,NN,[],imagine,VB,object,[],[],[],[],[],['the'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"It would be tragic if these laws increased , rather than diminished , the potential harm to minors at risk .","It/PRP would/MD be/VB tragic/JJ if/IN these/DT laws/NNS increased/VBD ,/, rather/RB than/IN diminished/VBD ,/, the/DT potential/JJ harm/NN to/TO minors/NNS at/IN risk/NN ./.","nsubj(tragic-4, It-1) aux(tragic-4, would-2) cop(tragic-4, be-3) root(ROOT-0, tragic-4) mark(increased-8, if-5) det(laws-7, these-6) nsubj(increased-8, laws-7) nsubj(diminished-12, laws-7) advcl(tragic-4, increased-8) cc(increased-8, rather-10) mwe(rather-10, than-11) advcl(tragic-4, diminished-12) conj:negcc(increased-8, diminished-12) det(harm-16, the-14) amod(harm-16, potential-15) advcl(tragic-4, harm-16) conj:negcc(increased-8, harm-16) case(minors-18, to-17) nmod:to(harm-16, minors-18) case(risk-20, at-19) nmod:at(minors-18, risk-20)  ",harm,16,"det(harm-16, the-14) amod(harm-16, potential-15) nmod:to(harm-16, minors-18) advcl(tragic-4, harm-16) conj:negcc(increased-8, harm-16) ","than diminished , the potential harm to minors at risk .",NN,[],,,,,"[('to', 'minors')]",['to'],[],['minors'],['the'],"[('negcc', 'increased')]",[],['potential'],[],[],[],[],[],[],,,singular,,,unknown
