sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"In this bill the nation acknowledged its fallenness , its lack of racial innocence , and confronted the incriminating self-knowledge that it had rationalized for many years a flagrant injustice .","In/IN this/DT bill/NN the/DT nation/NN acknowledged/VBD its/PRP$ fallenness/NNS ,/, its/PRP$ lack/NN of/IN racial/JJ innocence/NN ,/, and/CC confronted/VBN the/DT incriminating/JJ self-knowledge/NN that/IN it/PRP had/VBD rationalized/VBN for/IN many/JJ years/NNS a/DT flagrant/JJ injustice/NN ./.","case(bill-3, In-1) det(bill-3, this-2) nmod:in(acknowledged-6, bill-3) det(nation-5, the-4) nsubj(acknowledged-6, nation-5) nsubj(confronted-17, nation-5) root(ROOT-0, acknowledged-6) nmod:poss(fallenness-8, its-7) dobj(acknowledged-6, fallenness-8) nmod:poss(lack-11, its-10) appos(fallenness-8, lack-11) case(innocence-14, of-12) amod(innocence-14, racial-13) nmod:of(lack-11, innocence-14) cc(acknowledged-6, and-16) conj:and(acknowledged-6, confronted-17) det(self-knowledge-20, the-18) amod(self-knowledge-20, incriminating-19) dobj(confronted-17, self-knowledge-20) mark(rationalized-24, that-21) nsubj(rationalized-24, it-22) aux(rationalized-24, had-23) ccomp(confronted-17, rationalized-24) case(years-27, for-25) amod(years-27, many-26) nmod:for(rationalized-24, years-27) det(injustice-30, a-28) amod(injustice-30, flagrant-29) dep(years-27, injustice-30)  ",injustice,30,"det(injustice-30, a-28) amod(injustice-30, flagrant-29) dep(years-27, injustice-30) ",for many years a flagrant injustice .,NN,[],,,,,,,,,[],[],[],[],['a'],[],[],[],[],['flagrant'],[],[],[],[],[],[],[],[],[],[],a,unit,singular,,['A+N'],countable,unknown
"sometimes these battles remove a terrible injustice , like racial segregation .","sometimes/RB these/DT battles/VBZ remove/VB a/DT terrible/JJ injustice/NN ,/, like/IN racial/JJ segregation/NN ./.","advmod(battles-3, sometimes-1) nsubj(battles-3, these-2) root(ROOT-0, battles-3) xcomp(battles-3, remove-4) det(injustice-7, a-5) amod(injustice-7, terrible-6) dobj(remove-4, injustice-7) case(segregation-11, like-9) amod(segregation-11, racial-10) nmod:like(remove-4, segregation-11)  ",injustice,7,"det(injustice-7, a-5) amod(injustice-7, terrible-6) dobj(remove-4, injustice-7) ","these battles remove a terrible injustice , like racial segregation .",NN,[],remove,VB,object,,,remove,remove,[],[],[],[],[],['a'],[],[],[],[],['terrible'],[],[],[],[],[],[],[],[],[],[],a,unit,singular,ambiguous,['A+N'],countable,unknown
"Will he repeat himself over and over , or romanticize the past , falsifying it , or emote , or complain about injustice , or enter the future with prophecy ?","Will/MD he/PRP repeat/VB himself/PRP over/RP and/CC over/RP ,/, or/CC romanticize/VB the/DT past/NN ,/, falsifying/VBG it/PRP ,/, or/CC emote/VB ,/, or/CC complain/VB about/IN injustice/NN ,/, or/CC enter/VB the/DT future/NN with/IN prophecy/NN ?/.","aux(repeat-3, Will-1) nsubj(repeat-3, he-2) nsubj(romanticize-10, he-2) root(ROOT-0, repeat-3) dobj(repeat-3, himself-4) advmod(repeat-3, over-5) cc(over-5, and-6) advmod(repeat-3, over-7) conj:and(over-5, over-7) cc(repeat-3, or-9) conj:or(repeat-3, romanticize-10) det(past-12, the-11) dobj(romanticize-10, past-12) acl(past-12, falsifying-14) dobj(falsifying-14, it-15) cc(past-12, or-17) dobj(romanticize-10, emote-18) conj:or(past-12, emote-18) cc(romanticize-10, or-20) conj:or(repeat-3, complain-21) conj:or(romanticize-10, complain-21) case(injustice-23, about-22) nmod:about(complain-21, injustice-23) cc(romanticize-10, or-25) conj:or(repeat-3, enter-26) conj:or(romanticize-10, enter-26) det(future-28, the-27) dobj(enter-26, future-28) case(prophecy-30, with-29) nmod:with(enter-26, prophecy-30)  ",injustice,23,"case(injustice-23, about-22) nmod:about(complain-21, injustice-23) ","emote , or complain about injustice , or enter the future",NN,[],,,,,,,,,"[('about', 'complain')]",['about'],['complain'],[],[],[],[],[],[],[],[],[],[],['about'],[],[],[],[],[],[],,,singular,,[],countable,unknown
"Such blithe and self-righteous counsel is an invitation to selfishness and injustice , and an obstacle to the formation of habits of compassion .","Such/JJ blithe/NN and/CC self-righteous/JJ counsel/NN is/VBZ an/DT invitation/NN to/TO selfishness/NNS and/CC injustice/NN ,/, and/CC an/DT obstacle/NN to/TO the/DT formation/NN of/IN habits/NNS of/IN compassion/NN ./.","amod(blithe-2, Such-1) nsubj(invitation-8, blithe-2) cc(blithe-2, and-3) amod(counsel-5, self-righteous-4) conj:and(blithe-2, counsel-5) nsubj(invitation-8, counsel-5) cop(invitation-8, is-6) det(invitation-8, an-7) root(ROOT-0, invitation-8) case(selfishness-10, to-9) nmod:to(invitation-8, selfishness-10) cc(selfishness-10, and-11) nmod:to(invitation-8, injustice-12) conj:and(selfishness-10, injustice-12) cc(invitation-8, and-14) det(obstacle-16, an-15) conj:and(invitation-8, obstacle-16) case(formation-19, to-17) det(formation-19, the-18) nmod:to(obstacle-16, formation-19) case(habits-21, of-20) nmod:of(formation-19, habits-21) case(compassion-23, of-22) nmod:of(habits-21, compassion-23)  ",injustice,12,"nmod:to(invitation-8, injustice-12) conj:and(selfishness-10, injustice-12) ","an invitation to selfishness and injustice , and an obstacle to",NN,[],,,,,,,,,"[('to', 'invitation')]",['to'],['invitation'],[],[],"[('and', 'selfishness')]",['and'],['selfishness'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
"<p> It is also dangerous and self-defeating to believe that every injustice is intolerable and must be immediately remedied , no matter the method .","<p>/RB It/PRP is/VBZ also/RB dangerous/JJ and/CC self-defeating/JJ to/TO believe/VB that/IN every/DT injustice/NN is/VBZ intolerable/JJ and/CC must/MD be/VB immediately/RB remedied/VBN ,/, no/DT matter/NN the/DT method/NN ./.","advmod(dangerous-5, <p>-1) nsubj(dangerous-5, It-2) nsubj(self-defeating-7, It-2) nsubj(believe-9, It-2) cop(dangerous-5, is-3) advmod(dangerous-5, also-4) root(ROOT-0, dangerous-5) cc(dangerous-5, and-6) conj:and(dangerous-5, self-defeating-7) mark(believe-9, to-8) xcomp(dangerous-5, believe-9) mark(intolerable-14, that-10) det(injustice-12, every-11) nsubj(intolerable-14, injustice-12) nsubjpass(remedied-19, injustice-12) cop(intolerable-14, is-13) ccomp(believe-9, intolerable-14) cc(intolerable-14, and-15) aux(remedied-19, must-16) auxpass(remedied-19, be-17) advmod(remedied-19, immediately-18) ccomp(believe-9, remedied-19) conj:and(intolerable-14, remedied-19) neg(matter-22, no-21) dep(method-24, matter-22) det(method-24, the-23) dep(dangerous-5, method-24)  ",injustice,12,"det(injustice-12, every-11) nsubj(intolerable-14, injustice-12) nsubjpass(remedied-19, injustice-12) ",self-defeating to believe that every injustice is intolerable and must be,NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],['every'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],every,other,singular,singular,['O-DEN'],countable,unknown
"A person who can tolerate no injustice can not live in the world , because the world always includes conditions of injustice ; but such a person can not consistently opt for social change either , because all substantial change is attended by injustice as well .","A/DT person/NN who/WP can/MD tolerate/VB no/DT injustice/NN can/MD not/RB live/VB in/IN the/DT world/NN ,/, because/IN the/DT world/NN always/RB includes/VBZ conditions/NNS of/IN injustice/NN ;/: but/CC such/PDT a/DT person/NN can/MD not/RB consistently/RB opt/VB for/IN social/JJ change/NN either/RB ,/, because/IN all/DT substantial/JJ change/NN is/VBZ attended/VBN by/IN injustice/NN as/RB well/RB ./.","det(person-2, A-1) nsubj(tolerate-5, person-2) nsubj(live-10, person-2) ref(person-2, who-3) aux(tolerate-5, can-4) acl:relcl(person-2, tolerate-5) neg(injustice-7, no-6) dobj(tolerate-5, injustice-7) aux(live-10, can-8) neg(live-10, not-9) root(ROOT-0, live-10) case(world-13, in-11) det(world-13, the-12) nmod:in(live-10, world-13) mark(includes-19, because-15) det(world-17, the-16) nsubj(includes-19, world-17) advmod(includes-19, always-18) advcl(live-10, includes-19) dobj(includes-19, conditions-20) case(injustice-22, of-21) nmod:of(conditions-20, injustice-22) cc(live-10, but-24) det:predet(person-27, such-25) det(person-27, a-26) nsubj(opt-31, person-27) aux(opt-31, can-28) neg(opt-31, not-29) advmod(opt-31, consistently-30) conj:but(live-10, opt-31) case(change-34, for-32) amod(change-34, social-33) nmod:for(opt-31, change-34) advmod(opt-31, either-35) mark(attended-42, because-37) det(change-40, all-38) amod(change-40, substantial-39) nsubjpass(attended-42, change-40) auxpass(attended-42, is-41) advcl(opt-31, attended-42) case(injustice-44, by-43) nmod:by(attended-42, injustice-44) advmod(attended-42, as-45) mwe(as-45, well-46)  ",injustice,7,"neg(injustice-7, no-6) dobj(tolerate-5, injustice-7) ",person who can tolerate no injustice can not live in the,NN,['no'],tolerate,VB,object,,,tolerate,tolerate,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],countable,verdical
"A person who can tolerate no injustice can not live in the world , because the world always includes conditions of injustice ; but such a person can not consistently opt for social change either , because all substantial change is attended by injustice as well .","A/DT person/NN who/WP can/MD tolerate/VB no/DT injustice/NN can/MD not/RB live/VB in/IN the/DT world/NN ,/, because/IN the/DT world/NN always/RB includes/VBZ conditions/NNS of/IN injustice/NN ;/: but/CC such/PDT a/DT person/NN can/MD not/RB consistently/RB opt/VB for/IN social/JJ change/NN either/RB ,/, because/IN all/DT substantial/JJ change/NN is/VBZ attended/VBN by/IN injustice/NN as/RB well/RB ./.","det(person-2, A-1) nsubj(tolerate-5, person-2) nsubj(live-10, person-2) ref(person-2, who-3) aux(tolerate-5, can-4) acl:relcl(person-2, tolerate-5) neg(injustice-7, no-6) dobj(tolerate-5, injustice-7) aux(live-10, can-8) neg(live-10, not-9) root(ROOT-0, live-10) case(world-13, in-11) det(world-13, the-12) nmod:in(live-10, world-13) mark(includes-19, because-15) det(world-17, the-16) nsubj(includes-19, world-17) advmod(includes-19, always-18) advcl(live-10, includes-19) dobj(includes-19, conditions-20) case(injustice-22, of-21) nmod:of(conditions-20, injustice-22) cc(live-10, but-24) det:predet(person-27, such-25) det(person-27, a-26) nsubj(opt-31, person-27) aux(opt-31, can-28) neg(opt-31, not-29) advmod(opt-31, consistently-30) conj:but(live-10, opt-31) case(change-34, for-32) amod(change-34, social-33) nmod:for(opt-31, change-34) advmod(opt-31, either-35) mark(attended-42, because-37) det(change-40, all-38) amod(change-40, substantial-39) nsubjpass(attended-42, change-40) auxpass(attended-42, is-41) advcl(opt-31, attended-42) case(injustice-44, by-43) nmod:by(attended-42, injustice-44) advmod(attended-42, as-45) mwe(as-45, well-46)  ",injustice,22,"case(injustice-22, of-21) nmod:of(conditions-20, injustice-22) ",world always includes conditions of injustice ; but such a person,NN,[],,,,,,,,,"[('of', 'conditions')]",['of'],['conditions'],[],[],[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],countable,unknown
"A person who can tolerate no injustice can not live in the world , because the world always includes conditions of injustice ; but such a person can not consistently opt for social change either , because all substantial change is attended by injustice as well .","A/DT person/NN who/WP can/MD tolerate/VB no/DT injustice/NN can/MD not/RB live/VB in/IN the/DT world/NN ,/, because/IN the/DT world/NN always/RB includes/VBZ conditions/NNS of/IN injustice/NN ;/: but/CC such/PDT a/DT person/NN can/MD not/RB consistently/RB opt/VB for/IN social/JJ change/NN either/RB ,/, because/IN all/DT substantial/JJ change/NN is/VBZ attended/VBN by/IN injustice/NN as/RB well/RB ./.","det(person-2, A-1) nsubj(tolerate-5, person-2) nsubj(live-10, person-2) ref(person-2, who-3) aux(tolerate-5, can-4) acl:relcl(person-2, tolerate-5) neg(injustice-7, no-6) dobj(tolerate-5, injustice-7) aux(live-10, can-8) neg(live-10, not-9) root(ROOT-0, live-10) case(world-13, in-11) det(world-13, the-12) nmod:in(live-10, world-13) mark(includes-19, because-15) det(world-17, the-16) nsubj(includes-19, world-17) advmod(includes-19, always-18) advcl(live-10, includes-19) dobj(includes-19, conditions-20) case(injustice-22, of-21) nmod:of(conditions-20, injustice-22) cc(live-10, but-24) det:predet(person-27, such-25) det(person-27, a-26) nsubj(opt-31, person-27) aux(opt-31, can-28) neg(opt-31, not-29) advmod(opt-31, consistently-30) conj:but(live-10, opt-31) case(change-34, for-32) amod(change-34, social-33) nmod:for(opt-31, change-34) advmod(opt-31, either-35) mark(attended-42, because-37) det(change-40, all-38) amod(change-40, substantial-39) nsubjpass(attended-42, change-40) auxpass(attended-42, is-41) advcl(opt-31, attended-42) case(injustice-44, by-43) nmod:by(attended-42, injustice-44) advmod(attended-42, as-45) mwe(as-45, well-46)  ",injustice,44,"case(injustice-44, by-43) nmod:by(attended-42, injustice-44) ",substantial change is attended by injustice as well .,NN,[],,,,,,,,,"[('by', 'attended')]",['by'],['attended'],[],[],[],[],[],[],[],[],[],[],['by'],[],[],[],[],[],[],,,singular,,[],countable,unknown
"And one might here offer a Freudian point , keeping in mind that any critic who makes extensive use of the concept of repression , which Freud called "" the cornerstone of our theories , "" is , if only temporarily , a Freudian critic : to be effective in the public world , one needs to know the difference between anger at political injustice and resentment against one 's neglectful father , between the present and the past .","And/CC one/PRP might/MD here/RB offer/VB a/DT Freudian/JJ point/NN ,/, keeping/VBG in/IN mind/NN that/IN any/DT critic/NN who/WP makes/VBZ extensive/JJ use/NN of/IN the/DT concept/NN of/IN repression/NN ,/, which/WDT Freud/NNP called/VBD ''/'' the/DT cornerstone/NN of/IN our/PRP$ theories/NNS ,/, ''/'' is/VBZ ,/, if/IN only/RB temporarily/RB ,/, a/DT Freudian/JJ critic/NN :/: to/TO be/VB effective/JJ in/IN the/DT public/JJ world/NN ,/, one/CD needs/NNS to/TO know/VB the/DT difference/NN between/IN anger/NN at/IN political/JJ injustice/NN and/CC resentment/NN against/IN one/CD 's/POS neglectful/JJ father/NN ,/, between/IN the/DT present/NN and/CC the/DT past/NN ./.","cc(offer-5, And-1) nsubj(offer-5, one-2) aux(offer-5, might-3) advmod(offer-5, here-4) root(ROOT-0, offer-5) det(point-8, a-6) amod(point-8, Freudian-7) dobj(offer-5, point-8) acl(point-8, keeping-10) case(mind-12, in-11) nmod:in(keeping-10, mind-12) mark(critic-45, that-13) det(critic-15, any-14) nsubj(makes-17, critic-15) nsubj(critic-45, critic-15) ref(critic-15, who-16) acl:relcl(critic-15, makes-17) amod(use-19, extensive-18) dobj(makes-17, use-19) case(concept-22, of-20) det(concept-22, the-21) nmod:of(use-19, concept-22) dobj(called-28, concept-22) case(repression-24, of-23) nmod:of(concept-22, repression-24) ref(concept-22, which-26) nsubj(called-28, Freud-27) acl:relcl(concept-22, called-28) det(cornerstone-31, the-30) dobj(called-28, cornerstone-31) case(theories-34, of-32) nmod:poss(theories-34, our-33) nmod:of(called-28, theories-34) cop(critic-45, is-37) mark(only-40, if-39) parataxis(critic-45, only-40) dep(only-40, temporarily-41) det(critic-45, a-43) amod(critic-45, Freudian-44) ccomp(keeping-10, critic-45) mark(effective-49, to-47) cop(effective-49, be-48) acl(critic-45, effective-49) case(world-53, in-50) det(world-53, the-51) amod(world-53, public-52) nmod:in(effective-49, world-53) nummod(needs-56, one-55) appos(world-53, needs-56) mark(know-58, to-57) xcomp(effective-49, know-58) det(difference-60, the-59) dobj(know-58, difference-60) case(anger-62, between-61) nmod:between(difference-60, anger-62) case(injustice-65, at-63) amod(injustice-65, political-64) nmod:at(know-58, injustice-65) cc(injustice-65, and-66) nmod:at(know-58, resentment-67) conj:and(injustice-65, resentment-67) case(father-72, against-68) nmod:poss(father-72, one-69) case(one-69, 's-70) amod(father-72, neglectful-71) nmod:against(know-58, father-72) case(present-76, between-74) det(present-76, the-75) nmod:between(offer-5, present-76) cc(present-76, and-77) det(past-79, the-78) nmod:between(offer-5, past-79) conj:and(present-76, past-79)  ",injustice,65,"case(injustice-65, at-63) amod(injustice-65, political-64) cc(injustice-65, and-66) conj:and(injustice-65, resentment-67) nmod:at(know-58, injustice-65) ",difference between anger at political injustice and resentment against one 's,NN,[],,,,,,,,,"[('at', 'know')]",['at'],['know'],[],[],"[('and', 'resentment')]",['and'],['resentment'],[],['political'],[],[],[],['at'],[],[],[],[],[],[],,,singular,,[],countable,unknown
"Blacks are contaminated , it would seem , by their sense of injustice .","Blacks/NNS are/VBP contaminated/VBN ,/, it/PRP would/MD seem/VB ,/, by/IN their/PRP$ sense/NN of/IN injustice/NN ./.","nsubjpass(contaminated-3, Blacks-1) auxpass(contaminated-3, are-2) root(ROOT-0, contaminated-3) nsubj(seem-7, it-5) aux(seem-7, would-6) parataxis(contaminated-3, seem-7) case(sense-11, by-9) nmod:poss(sense-11, their-10) nmod:by(contaminated-3, sense-11) case(injustice-13, of-12) nmod:of(sense-11, injustice-13)  ",injustice,13,"case(injustice-13, of-12) nmod:of(sense-11, injustice-13) ",", by their sense of injustice .",NN,[],,,,,,,,,"[('of', 'sense')]",['of'],['sense'],[],[],[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],countable,unknown
