sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
The ASM supervisory staff was instructed to inform all project personnel ( Tohono O'Odham and Anglo ) that attendance was mandatory and that jewelry should not be worn because lightning could strike it .,The/DT ASM/NNP supervisory/JJ staff/NN was/VBD instructed/VBN to/TO inform/VB all/DT project/NN personnel/NNS -LRB-/-LRB- Tohono/NNP O'Odham/NNP and/CC Anglo/NNP -RRB-/-RRB- that/IN attendance/NN was/VBD mandatory/JJ and/CC that/IN jewelry/NN should/MD not/RB be/VB worn/VBN because/IN lightning/NN could/MD strike/VB it/PRP ./.,"det(staff-4, The-1) compound(staff-4, ASM-2) amod(staff-4, supervisory-3) nsubjpass(instructed-6, staff-4) nsubj(inform-8, staff-4) auxpass(instructed-6, was-5) root(ROOT-0, instructed-6) mark(inform-8, to-7) xcomp(instructed-6, inform-8) det(personnel-11, all-9) compound(personnel-11, project-10) dobj(inform-8, personnel-11) compound(O'Odham-14, Tohono-13) dep(personnel-11, O'Odham-14) cc(O'Odham-14, and-15) dep(personnel-11, Anglo-16) conj:and(O'Odham-14, Anglo-16) mark(mandatory-21, that-18) nsubj(mandatory-21, attendance-19) cop(mandatory-21, was-20) dep(personnel-11, mandatory-21) cc(mandatory-21, and-22) mark(worn-28, that-23) nsubjpass(worn-28, jewelry-24) aux(worn-28, should-25) neg(worn-28, not-26) auxpass(worn-28, be-27) dep(personnel-11, worn-28) conj:and(mandatory-21, worn-28) mark(strike-32, because-29) nsubj(strike-32, lightning-30) aux(strike-32, could-31) advcl(worn-28, strike-32) dobj(strike-32, it-33)  ",lightning,30,"nsubj(strike-32, lightning-30) ",should not be worn because lightning could strike it .,NN,[],strike,VB,subject,strike,strike,,,[],[],[],[],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"36 The identification of this sculpture with the ram-headed god of thunder and lightning , Hevioso , is of interest , for Hevioso is associated with the lightning-like gunfire and cannon bursts of battle .","36/CD The/DT identification/NN of/IN this/DT sculpture/NN with/IN the/DT ram-headed/JJ god/NN of/IN thunder/NN and/CC lightning/NN ,/, Hevioso/NNP ,/, is/VBZ of/IN interest/NN ,/, for/IN Hevioso/NNP is/VBZ associated/VBN with/IN the/DT lightning-like/JJ gunfire/NN and/CC cannon/NN bursts/NNS of/IN battle/NN ./.","nsubj(interest-20, 36-1) det(identification-3, The-2) dep(36-1, identification-3) case(sculpture-6, of-4) det(sculpture-6, this-5) nmod:of(identification-3, sculpture-6) case(god-10, with-7) det(god-10, the-8) amod(god-10, ram-headed-9) nmod:with(sculpture-6, god-10) case(thunder-12, of-11) nmod:of(god-10, thunder-12) cc(thunder-12, and-13) nmod:of(god-10, lightning-14) conj:and(thunder-12, lightning-14) appos(36-1, Hevioso-16) cop(interest-20, is-18) case(interest-20, of-19) root(ROOT-0, interest-20) mark(associated-25, for-22) nsubjpass(associated-25, Hevioso-23) auxpass(associated-25, is-24) advcl(interest-20, associated-25) case(gunfire-29, with-26) det(gunfire-29, the-27) amod(gunfire-29, lightning-like-28) nmod:with(associated-25, gunfire-29) cc(gunfire-29, and-30) compound(bursts-32, cannon-31) nmod:with(associated-25, bursts-32) conj:and(gunfire-29, bursts-32) case(battle-34, of-33) nmod:of(gunfire-29, battle-34)  ",lightning,14,"nmod:of(god-10, lightning-14) conj:and(thunder-12, lightning-14) ","ram-headed god of thunder and lightning , Hevioso , is of",NN,[],,,,,,,,,"[('of', 'god')]",['of'],['god'],[],[],,"[('and', 'thunder')]",['and'],['thunder'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Ground fires resulting from lightning strikes have been a constant feature of the region 's longleaf pine forests through the millennia .,Ground/NN fires/NNS resulting/VBG from/IN lightning/NN strikes/NNS have/VBP been/VBN a/DT constant/JJ feature/NN of/IN the/DT region/NN 's/POS longleaf/NN pine/NN forests/NNS through/IN the/DT millennia/NN ./.,"compound(fires-2, Ground-1) nsubj(feature-11, fires-2) acl(fires-2, resulting-3) case(strikes-6, from-4) compound(strikes-6, lightning-5) nmod:from(resulting-3, strikes-6) aux(feature-11, have-7) cop(feature-11, been-8) det(feature-11, a-9) amod(feature-11, constant-10) root(ROOT-0, feature-11) case(forests-18, of-12) det(region-14, the-13) nmod:poss(forests-18, region-14) case(region-14, 's-15) compound(forests-18, longleaf-16) compound(forests-18, pine-17) nmod:of(feature-11, forests-18) case(millennia-21, through-19) det(millennia-21, the-20) nmod:through(feature-11, millennia-21)  ",lightning,5,"compound(strikes-6, lightning-5) ",Ground fires resulting from lightning strikes have been a constant,NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['strikes'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Usually , the power variations for a point-to-point link are within the preset percentage range except for a few unusual events such as a strike of lightning on the link .","Usually/RB ,/, the/DT power/NN variations/NNS for/IN a/DT point-to-point/JJ link/NN are/VBP within/IN the/DT preset/JJ percentage/NN range/NN except/IN for/IN a/DT few/JJ unusual/JJ events/NNS such/JJ as/IN a/DT strike/NN of/IN lightning/NN on/IN the/DT link/NN ./.","advmod(range-15, Usually-1) det(variations-5, the-3) compound(variations-5, power-4) nsubj(range-15, variations-5) case(link-9, for-6) det(link-9, a-7) amod(link-9, point-to-point-8) nmod:for(variations-5, link-9) cop(range-15, are-10) case(range-15, within-11) det(range-15, the-12) amod(range-15, preset-13) compound(range-15, percentage-14) root(ROOT-0, range-15) case(events-21, except-16) mwe(except-16, for-17) det(events-21, a-18) amod(events-21, few-19) amod(events-21, unusual-20) nmod:except_for(range-15, events-21) case(strike-25, such-22) mwe(such-22, as-23) det(strike-25, a-24) nmod:such_as(events-21, strike-25) case(lightning-27, of-26) nmod:of(strike-25, lightning-27) case(link-30, on-28) det(link-30, the-29) nmod:on(lightning-27, link-30)  ",lightning,27,"case(lightning-27, of-26) nmod:on(lightning-27, link-30) nmod:of(strike-25, lightning-27) ",such as a strike of lightning on the link .,NN,[],,,,,,,,,"[('on', 'link'), ('of', 'strike')]","['on', 'of']",['strike'],['link'],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"These curiously shaped and multicolored fragments of glass were once thought to be volcanic , while other theories suggested that they were formed through the fusion of atmospheric dust by lightning -- another example of the reluctance of scientists to recognize the role of extraterrestrial impacts in shaping the Earth 's history .","These/DT curiously/RB shaped/JJ and/CC multicolored/JJ fragments/NNS of/IN glass/NN were/VBD once/RB thought/VBN to/TO be/VB volcanic/JJ ,/, while/IN other/JJ theories/NNS suggested/VBD that/IN they/PRP were/VBD formed/VBN through/IN the/DT fusion/NN of/IN atmospheric/JJ dust/NN by/IN lightning/NN --/: another/DT example/NN of/IN the/DT reluctance/NN of/IN scientists/NNS to/TO recognize/VB the/DT role/NN of/IN extraterrestrial/JJ impacts/NNS in/IN shaping/VBG the/DT Earth/NN 's/POS history/NN ./.","det(fragments-6, These-1) advmod(shaped-3, curiously-2) amod(fragments-6, shaped-3) cc(shaped-3, and-4) conj:and(shaped-3, multicolored-5) amod(fragments-6, multicolored-5) nsubjpass(thought-11, fragments-6) nsubj(volcanic-14, fragments-6) case(glass-8, of-7) nmod:of(fragments-6, glass-8) auxpass(thought-11, were-9) advmod(thought-11, once-10) root(ROOT-0, thought-11) mark(volcanic-14, to-12) cop(volcanic-14, be-13) xcomp(thought-11, volcanic-14) mark(suggested-19, while-16) amod(theories-18, other-17) nsubj(suggested-19, theories-18) advcl(volcanic-14, suggested-19) mark(formed-23, that-20) nsubjpass(formed-23, they-21) auxpass(formed-23, were-22) ccomp(suggested-19, formed-23) case(fusion-26, through-24) det(fusion-26, the-25) nmod:through(formed-23, fusion-26) case(dust-29, of-27) amod(dust-29, atmospheric-28) nmod:of(fusion-26, dust-29) case(lightning-31, by-30) nmod:by(formed-23, lightning-31) det(example-34, another-33) dobj(formed-23, example-34) case(reluctance-37, of-35) det(reluctance-37, the-36) nmod:of(example-34, reluctance-37) case(scientists-39, of-38) nmod:of(reluctance-37, scientists-39) mark(recognize-41, to-40) parataxis(formed-23, recognize-41) det(role-43, the-42) dobj(recognize-41, role-43) case(impacts-46, of-44) amod(impacts-46, extraterrestrial-45) nmod:of(role-43, impacts-46) mark(shaping-48, in-47) advcl(recognize-41, shaping-48) det(Earth-50, the-49) nmod:poss(history-52, Earth-50) case(Earth-50, 's-51) dobj(shaping-48, history-52)  ",lightning,31,"case(lightning-31, by-30) nmod:by(formed-23, lightning-31) ",fusion of atmospheric dust by lightning -- another example of the,NN,[],,,,,,,,,"[('by', 'formed')]",['by'],['formed'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"But what is the difference between ghosts and very unusual , but documented , phenomena like "" ball lightning "" ?","But/CC what/WP is/VBZ the/DT difference/NN between/IN ghosts/NNS and/CC very/RB unusual/JJ ,/, but/CC documented/JJ ,/, phenomena/NNS like/IN ''/'' ball/NN lightning/NN ''/'' ?/.","cc(what-2, But-1) root(ROOT-0, what-2) cop(what-2, is-3) det(difference-5, the-4) nsubj(what-2, difference-5) case(ghosts-7, between-6) nmod:between(difference-5, ghosts-7) cc(ghosts-7, and-8) advmod(unusual-10, very-9) amod(phenomena-15, unusual-10) cc(unusual-10, but-12) conj:but(unusual-10, documented-13) amod(phenomena-15, documented-13) nmod:between(difference-5, phenomena-15) conj:and(ghosts-7, phenomena-15) case(lightning-19, like-16) compound(lightning-19, ball-18) nmod:like(phenomena-15, lightning-19)  ",lightning,19,"case(lightning-19, like-16) compound(lightning-19, ball-18) nmod:like(phenomena-15, lightning-19) ",", phenomena like "" ball lightning "" ?",NN,[],,,,,,,,,"[('like', 'phenomena')]",['like'],['phenomena'],[],[],,[],[],[],['ball'],[],,,,,,,,,,,,,,[],[],[],['like'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Reports of these blobs of luminous plasma were dismissed as ghost stories until evidence eventually accumulated to prove that ball lightning truly exists : A few crude measurements have been made and serious theories have been formulated .,Reports/NNS of/IN these/DT blobs/NNS of/IN luminous/JJ plasma/NN were/VBD dismissed/VBN as/IN ghost/NN stories/NNS until/IN evidence/NN eventually/RB accumulated/VBN to/TO prove/VB that/IN ball/NN lightning/NN truly/RB exists/VBZ :/: A/DT few/JJ crude/JJ measurements/NNS have/VBP been/VBN made/VBN and/CC serious/JJ theories/NNS have/VBP been/VBN formulated/VBN ./.,"nsubjpass(dismissed-9, Reports-1) case(blobs-4, of-2) det(blobs-4, these-3) nmod:of(Reports-1, blobs-4) case(plasma-7, of-5) amod(plasma-7, luminous-6) nmod:of(blobs-4, plasma-7) auxpass(dismissed-9, were-8) root(ROOT-0, dismissed-9) case(stories-12, as-10) compound(stories-12, ghost-11) nmod:as(dismissed-9, stories-12) case(evidence-14, until-13) nmod:until(dismissed-9, evidence-14) advmod(accumulated-16, eventually-15) acl(evidence-14, accumulated-16) mark(prove-18, to-17) xcomp(accumulated-16, prove-18) mark(exists-23, that-19) compound(lightning-21, ball-20) nsubj(exists-23, lightning-21) advmod(exists-23, truly-22) ccomp(prove-18, exists-23) det(measurements-28, A-25) amod(measurements-28, few-26) amod(measurements-28, crude-27) nsubjpass(made-31, measurements-28) aux(made-31, have-29) auxpass(made-31, been-30) parataxis(dismissed-9, made-31) cc(made-31, and-32) amod(theories-34, serious-33) nsubjpass(formulated-37, theories-34) aux(formulated-37, have-35) auxpass(formulated-37, been-36) parataxis(dismissed-9, formulated-37) conj:and(made-31, formulated-37)  ",lightning,21,"compound(lightning-21, ball-20) nsubj(exists-23, lightning-21) ",accumulated to prove that ball lightning truly exists : A few,NN,[],exists,VBZ,subject,exists,exist,,,[],[],[],[],[],[],,[],[],[],['ball'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,singular,[],unknown,unknown
Bull lightning has thus entered the sphere of science .,Bull/NNP lightning/NNP has/VBZ thus/RB entered/VBN the/DT sphere/NN of/IN science/NN ./.,"compound(lightning-2, Bull-1) nsubj(entered-5, lightning-2) aux(entered-5, has-3) advmod(entered-5, thus-4) root(ROOT-0, entered-5) det(sphere-7, the-6) dobj(entered-5, sphere-7) case(science-9, of-8) nmod:of(sphere-7, science-9)  ",lightning,2,"compound(lightning-2, Bull-1) nsubj(entered-5, lightning-2) ",Bull lightning has thus entered the sphere,NNP,[],entered,VBN,subject,entered,enter,,,[],[],[],[],[],[],,[],[],[],['Bull'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
If only a wild bolt of lightning would strike him in the head .,If/IN only/RB a/DT wild/JJ bolt/NN of/IN lightning/NN would/MD strike/VB him/PRP in/IN the/DT head/NN ./.,"mark(strike-9, If-1) advmod(bolt-5, only-2) det(bolt-5, a-3) amod(bolt-5, wild-4) nsubj(strike-9, bolt-5) case(lightning-7, of-6) nmod:of(bolt-5, lightning-7) aux(strike-9, would-8) root(ROOT-0, strike-9) dobj(strike-9, him-10) case(head-13, in-11) det(head-13, the-12) nmod:in(strike-9, head-13)  ",lightning,7,"case(lightning-7, of-6) nmod:of(bolt-5, lightning-7) ",only a wild bolt of lightning would strike him in the,NN,[],,,,,,,,,"[('of', 'bolt')]",['of'],['bolt'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"The 1967 Six-Day War <p> On 5 June 1967 , Israel , in a lightning move , first destroyed the bulk of the Egyptian air force , then pushed through the Sinai Peninsula to break the Egyptian blockade of the Gulf of Aqaba , and once again put its soldiers on the bank of the Suez Canal .","The/DT 1967/CD Six-Day/NNP War/NNP <p>/NN On/IN 5/CD June/NNP 1967/CD ,/, Israel/NNP ,/, in/IN a/DT lightning/NN move/NN ,/, first/RB destroyed/VBD the/DT bulk/NN of/IN the/DT Egyptian/JJ air/NN force/NN ,/, then/RB pushed/VBN through/IN the/DT Sinai/NNP Peninsula/NNP to/TO break/VB the/DT Egyptian/JJ blockade/NN of/IN the/DT Gulf/NNP of/IN Aqaba/NNP ,/, and/CC once/RB again/RB put/VBD its/PRP$ soldiers/NNS on/IN the/DT bank/NN of/IN the/DT Suez/NNP Canal/NNP ./.","det(<p>-5, The-1) nummod(<p>-5, 1967-2) compound(<p>-5, Six-Day-3) compound(<p>-5, War-4) nsubj(destroyed-19, <p>-5) nsubj(put-48, <p>-5) case(5-7, On-6) nmod:on(destroyed-19, 5-7) nmod:tmod(destroyed-19, June-8) nummod(June-8, 1967-9) nsubj(destroyed-19, Israel-11) case(move-16, in-13) det(move-16, a-14) compound(move-16, lightning-15) nmod:in(Israel-11, move-16) advmod(destroyed-19, first-18) root(ROOT-0, destroyed-19) det(bulk-21, the-20) dobj(destroyed-19, bulk-21) case(force-26, of-22) det(force-26, the-23) amod(force-26, Egyptian-24) compound(force-26, air-25) nmod:of(bulk-21, force-26) advmod(pushed-29, then-28) acl(force-26, pushed-29) case(Peninsula-33, through-30) det(Peninsula-33, the-31) compound(Peninsula-33, Sinai-32) nmod:through(pushed-29, Peninsula-33) mark(break-35, to-34) xcomp(pushed-29, break-35) det(blockade-38, the-36) amod(blockade-38, Egyptian-37) dobj(break-35, blockade-38) case(Gulf-41, of-39) det(Gulf-41, the-40) nmod:of(blockade-38, Gulf-41) case(Aqaba-43, of-42) nmod:of(Gulf-41, Aqaba-43) cc(destroyed-19, and-45) advmod(again-47, once-46) advmod(put-48, again-47) conj:and(destroyed-19, put-48) nmod:poss(soldiers-50, its-49) dobj(put-48, soldiers-50) case(bank-53, on-51) det(bank-53, the-52) nmod:on(put-48, bank-53) case(Canal-57, of-54) det(Canal-57, the-55) compound(Canal-57, Suez-56) nmod:of(bank-53, Canal-57)  ",lightning,15,"compound(move-16, lightning-15) ",", Israel , in a lightning move , first destroyed the",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['move'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
