sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
The crimes include such activities as : physically shipping cocaine into the United States from abroad ; transferring payments for the drugs into US financial institutions and other investments ; and robbery committed by cocaine addicts seeking money to buy more drugs .,The/DT crimes/NNS include/VBP such/JJ activities/NNS as/IN :/: physically/NNP shipping/VBG cocaine/NN into/IN the/DT United/NNP States/NNPS from/IN abroad/RB ;/: transferring/VBG payments/NNS for/IN the/DT drugs/NNS into/IN US/NNP financial/JJ institutions/NNS and/CC other/JJ investments/NNS ;/: and/CC robbery/NN committed/VBN by/IN cocaine/NN addicts/NNS seeking/VBG money/NN to/TO buy/VB more/JJR drugs/NNS ./.,"det(crimes-2, The-1) nsubj(include-3, crimes-2) nsubj(transferring-18, crimes-2) root(ROOT-0, include-3) amod(activities-5, such-4) dobj(include-3, activities-5) case(shipping-9, as-6) nsubj(shipping-9, physically-8) advcl:as(include-3, shipping-9) dobj(shipping-9, cocaine-10) case(States-14, into-11) det(States-14, the-12) compound(States-14, United-13) nmod:into(shipping-9, States-14) case(abroad-16, from-15) advcl:from(shipping-9, abroad-16) conj:and(include-3, transferring-18) dobj(transferring-18, payments-19) case(drugs-22, for-20) det(drugs-22, the-21) nmod:for(payments-19, drugs-22) case(institutions-26, into-23) dep(institutions-26, US-24) amod(institutions-26, financial-25) nmod:into(transferring-18, institutions-26) cc(institutions-26, and-27) amod(investments-29, other-28) nmod:into(transferring-18, investments-29) conj:and(institutions-26, investments-29) cc(include-3, and-31) nsubj(committed-33, robbery-32) conj:and(include-3, committed-33) case(addicts-36, by-34) compound(addicts-36, cocaine-35) nmod:by(committed-33, addicts-36) acl(addicts-36, seeking-37) dobj(seeking-37, money-38) mark(buy-40, to-39) advcl(seeking-37, buy-40) amod(drugs-42, more-41) dobj(buy-40, drugs-42)  ",robbery,32,"nsubj(committed-33, robbery-32) ",and other investments ; and robbery committed by cocaine addicts seeking,NN,[],committed,VBN,subject,committed,commit,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],unknown,unknown
"No independent counsel has investigated a murder , a robbery , or a stolen vehicle .","No/DT independent/JJ counsel/NN has/VBZ investigated/VBN a/DT murder/NN ,/, a/DT robbery/NN ,/, or/CC a/DT stolen/VBN vehicle/NN ./.","neg(counsel-3, No-1) amod(counsel-3, independent-2) nsubj(investigated-5, counsel-3) aux(investigated-5, has-4) root(ROOT-0, investigated-5) det(murder-7, a-6) dobj(investigated-5, murder-7) det(robbery-10, a-9) dobj(investigated-5, robbery-10) conj:or(murder-7, robbery-10) cc(murder-7, or-12) det(vehicle-15, a-13) amod(vehicle-15, stolen-14) dobj(investigated-5, vehicle-15) conj:or(murder-7, vehicle-15)  ",robbery,10,"det(robbery-10, a-9) dobj(investigated-5, robbery-10) conj:or(murder-7, robbery-10) ","investigated a murder , a robbery , or a stolen vehicle",NN,[],investigated,VBN,object,,,investigated,investigate,[],[],[],[],[],['a'],"[('or', 'murder')]",['or'],['murder'],[],[],[],[],[],[],[],[],[],[],[],[],a,unit,singular,ambiguous,['A+N'],countable,unknown
"65 Perhaps most egregiously , the arbitrator in Chaver and Canadian Imperial Bank of Commerce ordered the reinstatement of a bank accountant who lived with a man with a series of convictions for bank robbery .","65/CD Perhaps/RB most/RBS egregiously/JJ ,/, the/DT arbitrator/NN in/IN Chaver/NNP and/CC Canadian/NNP Imperial/NNP Bank/NNP of/IN Commerce/NNP ordered/VBD the/DT reinstatement/NN of/IN a/DT bank/NN accountant/NN who/WP lived/VBD with/IN a/DT man/NN with/IN a/DT series/NN of/IN convictions/NNS for/IN bank/NN robbery/NN ./.","nsubj(ordered-16, 65-1) advmod(egregiously-4, Perhaps-2) advmod(egregiously-4, most-3) acl:relcl(65-1, egregiously-4) det(arbitrator-7, the-6) conj:and(65-1, arbitrator-7) nsubj(ordered-16, arbitrator-7) case(Chaver-9, in-8) nmod:in(arbitrator-7, Chaver-9) cc(65-1, and-10) compound(Bank-13, Canadian-11) compound(Bank-13, Imperial-12) conj:and(65-1, Bank-13) nsubj(ordered-16, Bank-13) case(Commerce-15, of-14) nmod:of(Bank-13, Commerce-15) root(ROOT-0, ordered-16) det(reinstatement-18, the-17) dobj(ordered-16, reinstatement-18) nsubj(lived-24, reinstatement-18) case(accountant-22, of-19) det(accountant-22, a-20) compound(accountant-22, bank-21) nmod:of(reinstatement-18, accountant-22) ref(reinstatement-18, who-23) acl:relcl(reinstatement-18, lived-24) case(man-27, with-25) det(man-27, a-26) nmod:with(lived-24, man-27) case(series-30, with-28) det(series-30, a-29) nmod:with(lived-24, series-30) case(convictions-32, of-31) nmod:of(series-30, convictions-32) case(robbery-35, for-33) compound(robbery-35, bank-34) nmod:for(convictions-32, robbery-35)  ",robbery,35,"case(robbery-35, for-33) compound(robbery-35, bank-34) nmod:for(convictions-32, robbery-35) ",series of convictions for bank robbery .,NN,[],,,,,,,,,"[('for', 'convictions')]",['for'],['convictions'],[],[],[],[],[],['bank'],[],[],[],[],['for'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"But justice demands that the domination of the whites should not involve the worst consequences -- slavery , robbery , torture , assassination-for the blacks .","But/CC justice/NN demands/VBZ that/IN the/DT domination/NN of/IN the/DT whites/NNS should/MD not/RB involve/VB the/DT worst/JJS consequences/NNS --/: slavery/NN ,/, robbery/NN ,/, torture/NNP ,/, assassination-for/NN the/DT blacks/NNS ./.","cc(demands-3, But-1) nsubj(demands-3, justice-2) root(ROOT-0, demands-3) mark(involve-12, that-4) det(domination-6, the-5) nsubj(involve-12, domination-6) case(whites-9, of-7) det(whites-9, the-8) nmod:of(domination-6, whites-9) aux(involve-12, should-10) neg(involve-12, not-11) ccomp(demands-3, involve-12) det(consequences-15, the-13) amod(consequences-15, worst-14) dobj(involve-12, consequences-15) compound(assassination-for-23, slavery-17) dep(assassination-for-23, robbery-19) dep(assassination-for-23, torture-21) dep(consequences-15, assassination-for-23) det(blacks-25, the-24) dep(assassination-for-23, blacks-25)  ",robbery,19,"dep(assassination-for-23, robbery-19) ","worst consequences -- slavery , robbery , torture , assassination-for the",NN,[],,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"His reputation as an energetic agent of reform was secured by his effective campaign against thuggee , the cult of highway robbery and murder that rivaled suttee in horrifying British minds .","His/PRP$ reputation/NN as/IN an/DT energetic/JJ agent/NN of/IN reform/NN was/VBD secured/VBN by/IN his/PRP$ effective/JJ campaign/NN against/IN thuggee/NN ,/, the/DT cult/NN of/IN highway/NN robbery/NN and/CC murder/NN that/WDT rivaled/VBD suttee/NN in/IN horrifying/JJ British/JJ minds/NNS ./.","nmod:poss(reputation-2, His-1) nsubjpass(secured-10, reputation-2) case(agent-6, as-3) det(agent-6, an-4) amod(agent-6, energetic-5) nmod:as(reputation-2, agent-6) case(reform-8, of-7) nmod:of(agent-6, reform-8) auxpass(secured-10, was-9) root(ROOT-0, secured-10) case(campaign-14, by-11) nmod:poss(campaign-14, his-12) amod(campaign-14, effective-13) nmod:by(secured-10, campaign-14) case(thuggee-16, against-15) nmod:against(secured-10, thuggee-16) det(cult-19, the-18) appos(thuggee-16, cult-19) nsubj(rivaled-26, cult-19) case(robbery-22, of-20) compound(robbery-22, highway-21) nmod:of(cult-19, robbery-22) cc(robbery-22, and-23) nmod:of(cult-19, murder-24) conj:and(robbery-22, murder-24) ref(cult-19, that-25) acl:relcl(cult-19, rivaled-26) dobj(rivaled-26, suttee-27) case(minds-31, in-28) amod(minds-31, horrifying-29) amod(minds-31, British-30) nmod:in(rivaled-26, minds-31)  ",robbery,22,"case(robbery-22, of-20) compound(robbery-22, highway-21) cc(robbery-22, and-23) conj:and(robbery-22, murder-24) nmod:of(cult-19, robbery-22) ",", the cult of highway robbery and murder that rivaled suttee",NN,[],,,,,,,,,"[('of', 'cult')]",['of'],['cult'],[],[],"[('and', 'murder')]",['and'],['murder'],['highway'],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"You know , first forgery , then robbery , now this .","You/PRP know/VBP ,/, first/JJ forgery/NN ,/, then/RB robbery/NN ,/, now/RB this/DT ./.","nsubj(know-2, You-1) root(ROOT-0, know-2) amod(robbery-8, first-4) compound(robbery-8, forgery-5) advmod(robbery-8, then-7) dep(this-11, robbery-8) advmod(this-11, now-10) xcomp(know-2, this-11)  ",robbery,8,"amod(robbery-8, first-4) compound(robbery-8, forgery-5) advmod(robbery-8, then-7) dep(this-11, robbery-8) ",", first forgery , then robbery , now this .",NN,[],,,,,,,,,[],[],[],[],[],[],[],[],['forgery'],['first'],[],[],[],[],['then'],[],[],[],[],[],,,singular,,[],unknown,unknown
"It enforces laws that prohibit one person from physical aggression against another -- from murder , assault , robbery , trespass , and the like -- and enforces the terms of private contracts .","It/PRP enforces/VBZ laws/NNS that/WDT prohibit/VBP one/CD person/NN from/IN physical/JJ aggression/NN against/IN another/DT --/: from/IN murder/NN ,/, assault/NN ,/, robbery/NN ,/, trespass/NN ,/, and/CC the/DT like/JJ --/: and/CC enforces/VBZ the/DT terms/NNS of/IN private/JJ contracts/NNS ./.","nsubj(enforces-2, It-1) root(ROOT-0, enforces-2) dobj(enforces-2, laws-3) nsubj(prohibit-5, laws-3) nsubj(enforces-28, laws-3) ref(laws-3, that-4) acl:relcl(laws-3, prohibit-5) nummod(person-7, one-6) dobj(prohibit-5, person-7) case(aggression-10, from-8) amod(aggression-10, physical-9) nmod:from(prohibit-5, aggression-10) case(another-12, against-11) nmod:against(aggression-10, another-12) case(murder-15, from-14) nmod:from(assault-17, murder-15) dep(another-12, assault-17) dep(another-12, robbery-19) conj:and(assault-17, robbery-19) dep(another-12, trespass-21) conj:and(assault-17, trespass-21) cc(assault-17, and-23) det(like-25, the-24) dep(another-12, like-25) conj:and(assault-17, like-25) cc(prohibit-5, and-27) acl:relcl(laws-3, enforces-28) conj:and(prohibit-5, enforces-28) det(terms-30, the-29) dobj(enforces-28, terms-30) case(contracts-33, of-31) amod(contracts-33, private-32) nmod:of(terms-30, contracts-33)  ",robbery,19,"dep(another-12, robbery-19) conj:and(assault-17, robbery-19) ","from murder , assault , robbery , trespass , and the",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'assault')]",['and'],['assault'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Older frail persons who go shopping , day or night ( but especially at night ) , without an escort place themselves at risk of robbery and assault .","Older/JJR frail/JJ persons/NNS who/WP go/VBP shopping/NN ,/, day/NN or/CC night/NN -LRB-/-LRB- but/CC especially/RB at/IN night/NN -RRB-/-RRB- ,/, without/IN an/DT escort/NN place/VBP themselves/PRP at/IN risk/NN of/IN robbery/NN and/CC assault/NN ./.","amod(persons-3, Older-1) amod(persons-3, frail-2) nsubj(go-5, persons-3) nsubj(place-21, persons-3) ref(persons-3, who-4) acl:relcl(persons-3, go-5) dobj(go-5, shopping-6) dobj(go-5, day-8) conj:or(shopping-6, day-8) cc(shopping-6, or-9) dobj(go-5, night-10) conj:or(shopping-6, night-10) dep(shopping-6, but-12) advmod(night-15, especially-13) case(night-15, at-14) nmod:at(but-12, night-15) case(escort-20, without-18) det(escort-20, an-19) nmod:without(go-5, escort-20) root(ROOT-0, place-21) dobj(place-21, themselves-22) case(risk-24, at-23) nmod:at(place-21, risk-24) case(robbery-26, of-25) nmod:of(risk-24, robbery-26) cc(robbery-26, and-27) nmod:of(risk-24, assault-28) conj:and(robbery-26, assault-28)  ",robbery,26,"case(robbery-26, of-25) cc(robbery-26, and-27) conj:and(robbery-26, assault-28) nmod:of(risk-24, robbery-26) ",place themselves at risk of robbery and assault .,NN,[],,,,,,,,,"[('of', 'risk')]",['of'],['risk'],[],[],"[('and', 'assault')]",['and'],['assault'],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Indeed , even though PLO chief Yasser Arafat had supported Saddam Hussein 's robbery of Kuwait ( a PLO benefactor ) , Mr. Bush , in the aftermath of the Gulf war , virtually exonerated Saddam 's comrade-in-arms by the innocuous statement : "" He bet on the wrong horse . ""","Indeed/RB ,/, even/RB though/IN PLO/NNP chief/NN Yasser/NNP Arafat/NNP had/VBD supported/VBN Saddam/NNP Hussein/NNP 's/POS robbery/NN of/IN Kuwait/NNP -LRB-/-LRB- a/DT PLO/NNP benefactor/NNP -RRB-/-RRB- ,/, Mr./NNP Bush/NNP ,/, in/IN the/DT aftermath/NN of/IN the/DT Gulf/NNP war/NN ,/, virtually/RB exonerated/VBD Saddam/NNP 's/POS comrade-in-arms/NNS by/IN the/DT innocuous/JJ statement/NN :/: ''/'' He/PRP bet/VBP on/IN the/DT wrong/JJ horse/NN ./. ''/''","advmod(exonerated-35, Indeed-1) advmod(supported-10, even-3) mark(supported-10, though-4) compound(Arafat-8, PLO-5) compound(Arafat-8, chief-6) compound(Arafat-8, Yasser-7) nsubj(supported-10, Arafat-8) aux(supported-10, had-9) dep(exonerated-35, supported-10) compound(Hussein-12, Saddam-11) nmod:poss(robbery-14, Hussein-12) case(Hussein-12, 's-13) dobj(supported-10, robbery-14) case(Kuwait-16, of-15) nmod:of(robbery-14, Kuwait-16) det(benefactor-20, a-18) compound(benefactor-20, PLO-19) appos(robbery-14, benefactor-20) compound(Bush-24, Mr.-23) nsubj(exonerated-35, Bush-24) case(aftermath-28, in-26) det(aftermath-28, the-27) nmod:in(Bush-24, aftermath-28) case(war-32, of-29) det(war-32, the-30) compound(war-32, Gulf-31) nmod:of(aftermath-28, war-32) advmod(exonerated-35, virtually-34) root(ROOT-0, exonerated-35) nmod:poss(comrade-in-arms-38, Saddam-36) case(Saddam-36, 's-37) dobj(exonerated-35, comrade-in-arms-38) case(statement-42, by-39) det(statement-42, the-40) amod(statement-42, innocuous-41) nmod:by(exonerated-35, statement-42) nsubj(bet-46, He-45) parataxis(exonerated-35, bet-46) case(horse-50, on-47) det(horse-50, the-48) amod(horse-50, wrong-49) nmod:on(bet-46, horse-50)  ",robbery,14,"nmod:poss(robbery-14, Hussein-12) nmod:of(robbery-14, Kuwait-16) appos(robbery-14, benefactor-20) dobj(supported-10, robbery-14) ",had supported Saddam Hussein 's robbery of Kuwait ( a PLO,NN,[],supported,VBN,object,,,supported,support,[],"[('of', 'Kuwait')]",['of'],[],['Kuwait'],[],[],[],[],[],[],[],['Hussein'],[],[],[],"['modified', 'benefactor']",[],['benefactor'],[],[],,,singular,ambiguous,[],unknown,unknown
"It was too costly and dangerous to send such a valuable work by land , because of the poor condition of the roads and the possibility of bad weather and robbery along the way.","It/PRP was/VBD too/RB costly/JJ and/CC dangerous/JJ to/TO send/VB such/PDT a/DT valuable/JJ work/NN by/IN land/NN ,/, because/RB of/IN the/DT poor/JJ condition/NN of/IN the/DT roads/NNS and/CC the/DT possibility/NN of/IN bad/JJ weather/NN and/CC robbery/NN along/IN the/DT way/NN ./.","nsubj(costly-4, It-1) nsubj(dangerous-6, It-1) nsubj(send-8, It-1) cop(costly-4, was-2) advmod(costly-4, too-3) root(ROOT-0, costly-4) cc(costly-4, and-5) conj:and(costly-4, dangerous-6) mark(send-8, to-7) xcomp(costly-4, send-8) det:predet(work-12, such-9) det(work-12, a-10) amod(work-12, valuable-11) dobj(send-8, work-12) case(land-14, by-13) advcl:by(send-8, land-14) dep(land-14, because-16) case(condition-20, of-17) det(condition-20, the-18) amod(condition-20, poor-19) nmod:of(land-14, condition-20) case(roads-23, of-21) det(roads-23, the-22) nmod:of(condition-20, roads-23) cc(condition-20, and-24) det(possibility-26, the-25) nmod:of(land-14, possibility-26) conj:and(condition-20, possibility-26) case(weather-29, of-27) amod(weather-29, bad-28) nmod:of(possibility-26, weather-29) cc(weather-29, and-30) nmod:of(possibility-26, robbery-31) conj:and(weather-29, robbery-31) case(way-34, along-32) det(way-34, the-33) nmod:along(send-8, way-34)  ",robbery,31,"nmod:of(possibility-26, robbery-31) conj:and(weather-29, robbery-31) ",possibility of bad weather and robbery along the way.,NN,[],,,,,,,,,"[('of', 'possibility')]",['of'],['possibility'],[],[],"[('and', 'weather')]",['and'],['weather'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
