sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"A brother had preceded him to the new world , and apparently the news was good enough to persuade my grandfather to take the leap , probably about 1898 .",brother,"det(brother-2, A-1) nsubj(preceded-4, brother-2) ",NN,,VBN,preceded,precede,,,,,,,,a,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Then , during his courtship , he noticed that his betrothed 's young brother , Alexis , was becoming increasingly attached to him .",brother,"nmod:poss(brother-14, betrothed-11) amod(brother-14, young-13) appos(brother-14, Alexis-16) nsubj(becoming-19, brother-14) ",NN,,VBD,was,be,,,,,,,,,,,,,young,[0.0225],[0.061625000000000006],[0.003333333333333333],[0.6875],[0.045],[0.01],[0.02275],[0.015],[0.03729166666666667],[0.02],[0.03],[0.005],[0.04],,betrothed,,,"modified, alexis",,alexis,,,,,singular,linked,ambiguous,,unknown,unknown
"<p> In the report , Bob Fowler often gets singled out for special mention , as if he were a favorite son or brother : "" The enemy was compelled to retire upon receiving fire from the light machine guns in the weapons platoon , commanded by Lt. Fowler .",brother,"advcl(singled-10, brother-24) conj:or(son-22, brother-24) ",NN,,,,,,,,,,,,,,or,son,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"He soon moved to the little building across the street , leaving his father and brother in the general store , and that is how I remember things .",brother,"dobj(leaving-12, brother-16) conj:and(father-14, brother-16) ",NN,,VBG,,,leaving,leave,,,,,,,,and,father,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The only one of us not to drive Max was my brother , eight years younger .",brother,"nsubj(brother-12, Max-9) cop(brother-12, was-10) nmod:poss(brother-12, my-11) appos(brother-12, years-15) ccomp(drive-8, brother-12) ",NN,,VBD,,,was,be,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,my,,,"modified, years",,years,,,,,singular,bare singular,ambiguous,,unknown,unknown
"It came in letters and phone calls , and it was a regular item like reports of the annual farm crop and the doings of my brother .",brother,"case(brother-27, of-25) nmod:poss(brother-27, my-26) nmod:of(doings-24, brother-27) ",NN,,,,,,,,of doings,of,doings,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,my,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Max and my brother , however , were changing steadily in single directions .",brother,"nmod:poss(brother-4, my-3) conj:and(Max-1, brother-4) nsubj(changing-9, brother-4) ",NN,,VBD,were,be,,,,,,,,,,and,max,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,my,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"My brother was passing through his teens , growing into the prosperity of adult youth .",brother,"nmod:poss(brother-2, My-1) nsubj(passing-4, brother-2) ",NN,,VBD,was,be,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,my,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Even if my father , mother , and brother could have been available to take him every time he wanted a drive , he still sometimes wanted to drive himself .",brother,"conj:and(father-4, brother-9) nsubj(available-13, brother-9) nsubj(take-15, brother-9) ",NN,,VBN,been,be,,,,,,,,,,and,father,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"It assured that in the writing after Nature his conscience , always near to hand , took the form either of his fearing that he might have been abandoned by something , Cod perhaps , which ought to have loved him , or alternatively , that he might abandon , might already have abandoned , something or someone he ought always to love and cherish -- his dead son , wife , brother , his possibly dead language .",brother,"appos(son-69, brother-73) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, son",son,,,,,,singular,bare singular,,,unknown,unknown
"William James 's transformation of psychology from philosophical colony to independent science ; his brother 's arduous unsettling , masterful novels of consciousness ; Gertrude Stein 's reinvention of America ( and Americans ) in the name of a distinctly American language -- these were all expressions of the same bravado .",brother,"nmod:poss(brother-15, his-14) case(brother-15, 's-16) nmod:poss(novels-21, brother-15) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],novels,his,,,,,,,,,,singular,linked,,,unknown,unknown
"When Matisse 's "" La Femme au chapeau "" -- the first of his works that Stein and her brother Leo bought-was exhibited at the autumn salon in Paris in 1905 , "" it infuriated the public , they tried to scratch off the paint . """,brother,"compound(bought-was-22, brother-20) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Although Stein had known the two artists , and with her brothers collected their works , since 1905 -- she introduced them to each other -- they were particularly on her mind during this transitional period in her writing .",brothers,"nmod:poss(brothers-12, her-11) nsubj(collected-13, brothers-12) ",NNS,,VBD,collected,collect,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,her,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"With the death of his younger sister in Trinidad and the premature death in London of his younger brother Shiva Naipaul , also a novelist , travel writer , and harsh critic of the Third World , and with his own accumulation of years , a change has come over him .",brother,"compound(Naipaul-21, brother-19) ",NN,,,,,,,,,,,,,,,,naipaul,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> To appease the yidam , Bhirendra 's parents asked his mother 's brother to become his guru .",brother,"nmod:poss(brother-14, mother-12) acl(brother-14, become-16) dobj(asked-10, brother-14) ",NN,,VBD,,,asked,ask,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,mother,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
