sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"German and Japanese soldiers died by the hundreds , in a manner that portrayed war as no more difficult than a cattle roundup or , in the case of snipers , a fox hunt .",cattle,"case(cattle-22, than-20) det(cattle-22, a-21) nmod:than(difficult-19, cattle-22) ",NNS,,,,,,,,than difficult,than,difficult,,a,,,,,,,,,,,,,,a,unit,ambiguous,,['A+N'],countable,unknown
"An ecological system is not , for instance , "" cattle and their environment . """,cattle,"cc(cattle-11, and-12) conj:and(cattle-11, environment-14) dep(instance-8, cattle-11) ",NNS,,,,,,,,,,,,,and,environment,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
This situation particularly appears to have been the case where families changed from corn production to growing cotton or raising dairy cattle.,cattle,"compound(cattle-22, dairy-21) dobj(raising-20, cattle-22) ",NNS,,VBG,,,raising,raise,,,,,,,,,dairy,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"<p> Spotted cattle and deer are strong but subtle thematic strands in the complex web of symbols , stories and images Leslie M. Silko weaves through Ceremony ; they are the messengers of ancient wisdoms vital to Tayo 's quest for healing and identity .",cattle,"compound(cattle-3, <p>-1) compound(cattle-3, Spotted-2) cc(cattle-3, and-4) conj:and(cattle-3, deer-5) nsubj(strands-11, cattle-3) ",NNS,,VBP,are,be,,,,,,,,,and,deer,spotted,,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
<p> Spotted cattle as spirit guides ?,cattle,"amod(cattle-3, Spotted-2) dobj(<p>-1, cattle-3) ",NNS,,,,,,,,,,,,,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Charles Larson in a collection of essays , American Indian Fiction , interpreted the cattle much differently , in the context of what Sands called "" the natural world "" theme : <p> The cattle are a part of his Tayo 's people 's future .",cattle,"det(cattle-15, the-14) dobj(interpreted-13, cattle-15) ",NNS,,VBD,,,interpreted,interpret,,,,,,the,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"Charles Larson in a collection of essays , American Indian Fiction , interpreted the cattle much differently , in the context of what Sands called "" the natural world "" theme : <p> The cattle are a part of his Tayo 's people 's future .",cattle,"det(cattle-35, The-34) nsubj(part-38, cattle-35) ",NNS,,VBP,are,be,,,,,,,,the,,,,,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"When they disappear after Josiah 's death , Tayo feels he as not only neglected his responsibility to his people , but severed his relationship with the land.3 <p> In contrast , Peter G. Beidler in a critical study "" Animals and Human Development in the Contemporary American Indian Novel , "" offered a more psychological analysis , describing the cattle as a type of role model for Tayo .",cattle,"det(cattle-62, the-61) dobj(describing-60, cattle-62) ",NNS,,VBG,,,describing,describe,,,,,,the,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"He states : "" The animals Tayo comes most dramatically to imitate are the hardy Mexican cattle , those cattle which are closer to nature than are stupid white-man herefords.",cattle,"nsubj(cattle-17, animals-6) cop(cattle-17, are-13) det(cattle-17, the-14) amod(cattle-17, hardy-15) amod(cattle-17, Mexican-16) appos(cattle-17, cattle-20) parataxis(states-2, cattle-17) ",NNS,,VBP,,,are,be,,,,,,the,,,,"hardy, mexican",,,,,"modified, cattle",,cattle,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"He states : "" The animals Tayo comes most dramatically to imitate are the hardy Mexican cattle , those cattle which are closer to nature than are stupid white-man herefords.",cattle,"det(cattle-20, those-19) ref(cattle-20, which-21) acl:relcl(cattle-20, closer-23) appos(cattle-17, cattle-20) nsubj(closer-23, cattle-20) ",NNS,,VBP,are,be,,,,,,,,those,,,,,,,,,"modifier, cattle",cattle,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
