sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
All white people are held collectively guilty for the historical crimes of slavery and racism .,crimes,"case(crimes-11, for-8) det(crimes-11, the-9) amod(crimes-11, historical-10) nmod:of(crimes-11, slavery-13) nmod:of(crimes-11, racism-15) nmod:for(held-5, crimes-11) ",NNS,,,,,,,,"of slavery, of racism, for held","of, of, for",held,"slavery, racism",the,,,,historical,,,,,,,,,,,,plural,,[],unknown,unknown
"People of every racial group have committed terrible crimes , often against others of the same group .",crimes,"amod(crimes-9, terrible-8) dobj(committed-7, crimes-9) ",NNS,,VBN,,,committed,commit,,,,,,,,,,terrible,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"The landscape is dry and dusty , and the one beach in town is avoided because crime is endemic .",crime,"nsubj(endemic-19, crime-17) ",NN,,VBZ,is,be,,,,,,,,,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"And when we agonize over the "" social pathology , "" as we say , of the "" underclass "" -the break-up of the family , the prevalence of drugs , crime , illiteracy , and illegitimacy , the compulsion for "" instant gratification "" and the inability to "" defer gratification -are we not implicitly invoking the kinds of "" middle-class "" values , indeed , Victorian values , with which we reproach the Victorians ?",crime,"conj:and(crime-33, illiteracy-35) cc(crime-33, and-37) conj:and(crime-33, illegitimacy-38) appos(drugs-31, crime-33) ",NN,,,,,,,,,,,,,"and, and","illiteracy, illegitimacy",,,,,,,"modifier, drugs",drugs,,,,,,singular,,[],unknown,unknown
", those not primarily liberal arts ) rank substance abuse , student apathy , campus security and crime , and inadequate facilities ahead of **25;27;TOOLONG relations as areas of concern .",crime,"conj:and(abuse-10, crime-18) conj:and(security-16, crime-18) ",NN,,,,,,,,,,,,,"and, and","abuse, security",,,,,,,,,,,,,,singular,,[],unknown,unknown
"1 <p> In just two and a half years , the Cheka condemned to death over fifty thousand people , not because of any crime , but because of their parentage , education , or occupation -- characteristics that are surely accidental to the issue of whether they deserved to die .",crime,"neg(crime-25, not-21) case(crime-25, because-22) det(crime-25, any-24) cc(crime-25, but-27) conj:but(crime-25, because-28) nmod:of(crime-25, parentage-31) nmod:of(crime-25, education-33) nmod:of(crime-25, occupation-36) nmod:because_of(condemned-13, crime-25) ",NN,not,,,,,,,"of parentage, of education, of occupation, because_of condemned","of, of, of, because_of",condemned,"parentage, education, occupation",any,but,because,,,,,,,,,,,,,,singular,,[],unknown,verdical
"<p> To see how unrepresentative the above issues are , consider some of the issues prominent in the public debates of the last two decades , all of which have a significant moral component , that do not appear on the list : busing , confrontation versus detente in foreign policy , crime , drugs , education , family issues , human rights versus Realpolitik , Middle East conflict , school prayer , subsidies , taxation , trade policy , and welfare policy .",crime,"nmod:in(busing-44, crime-53) conj:and(policy-51, crime-53) ",NN,,,,,,,,in busing,in,busing,,,and,policy,,,,,,,,,,,,,,singular,,[],unknown,unknown
"It forfeits the estate of the buyer for a crime not committed by himself , but by those from whom he purchased .",crime,"case(crime-10, for-8) det(crime-10, a-9) nmod:for(buyer-7, crime-10) ",NN,,,,,,,,for buyer,for,buyer,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"These Chicago urbanists , most notably Robert Park ( originally a journalist whose visual impressions of the city came from investigating crimes , accidents , fires , and political demonstrations ) , sought to understand the relation between the city as a place and as a "" moral order . """,crimes,"conj:and(crimes-22, accidents-24) conj:and(crimes-22, fires-26) cc(crimes-22, and-28) conj:and(crimes-22, demonstrations-30) dobj(investigating-21, crimes-22) ",NNS,,VBG,,,investigating,investigate,,,,,,,"and, and, and","accidents, fires, demonstrations",,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"These men who were bred on reporting crime in the Chicago stockyards found writing about the spiritual life of cities slightly uncomfortable -- at least in the abstract manner in which their teacher conceived of it , Individual Spirit struggling with Impersonal Collective Form .",crime,"dobj(reporting-7, crime-8) ",NN,,VBG,,,reporting,report,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"By now it is clear that these partial , plural exchanges are much more likely to benefit politicians than their constituents ; some larger principle than "" the deal "" is necessary to cope in any decisive way with racism in schools , income inequalities , or crime .",crime,"nmod:in(cope-34, crime-48) conj:or(schools-42, crime-48) ",NN,,,,,,,,in cope,in,cope,,,or,schools,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> Spraying graffiti in paint or scrawling it in marking ink across the walls and the subway cars of New York was treated from the first as a crime .,crime,"case(crime-29, as-27) det(crime-29, a-28) nmod:as(first-26, crime-29) ",NN,,,,,,,,as first,as,first,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"It would seem that the "" crime "" of graffiti was to force others to respond to the presence of the juvenile underclass , declaring itself .",crime,"det(crime-7, that-4) amod(crime-7, the-5) nmod:of(crime-7, graffiti-10) acl(crime-7, declaring-25) xcomp(seem-3, crime-7) ",NN,,VB,,,seem,seem,,of graffiti,of,,graffiti,that,,,,the,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"1 The crime carried a maximum sentence of one year in jail and a $1,000 fine .",crime,"det(crime-3, The-2) nsubj(carried-4, crime-3) ",NN,,VBD,carried,carry,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
20 <p> Studies indicate that abused children are more likely to commit violent crimes as adults and to abuse their own children.,crimes,"amod(crimes-14, violent-13) dobj(commit-12, crimes-14) ",NNS,,VB,,,commit,commit,,,,,,,,,,violent,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
it is a crime .,crime,"nsubj(crime-4, it-1) cop(crime-4, is-2) det(crime-4, a-3) root(ROOT-0, crime-4) ",NN,,VBZ,,,is,be,,,,,,a,,,,,,,,,,,,,,a,unit,singular,singular,['A+N'],countable,unknown
"( n13 ) Erastus called attention first to the fact that the question in the Scripture was not of sins or crimes in general , but of private personal offenses .",crimes,"ccomp(called-5, crimes-22) conj:or(sins-20, crimes-22) ",NNS,,VBD,,,called,call,,,,,,,or,sins,,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"56 Perhaps in frustration , in his last anti-Donatist work , the Contra Gaudentium , written in 421 when he was already enmeshed in the Pelagian controversy , Augustine argued that if religious error went unpunished , then even secular crimes could not be punished , since both sorts of crimes proceeded from the evils of the flesh.",crimes,"advmod(crimes-41, then-38) advmod(crimes-41, even-39) amod(crimes-41, secular-40) nsubjpass(punished-45, crimes-41) ",NNS,,JJ,punished,punish,,,not,,,,,,,,,secular,,,,"then, even",,,,,,,,plural,ambiguous,[],unknown,verdical
"56 Perhaps in frustration , in his last anti-Donatist work , the Contra Gaudentium , written in 421 when he was already enmeshed in the Pelagian controversy , Augustine argued that if religious error went unpunished , then even secular crimes could not be punished , since both sorts of crimes proceeded from the evils of the flesh.",crimes,"case(crimes-51, of-50) nmod:of(sorts-49, crimes-51) ",NNS,,,,,,,,of sorts,of,sorts,,,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
"Similarly , if our social fabric becomes unraveled from the effects of poverty , crime , drug use , and unemployment or if large segments of our population believe that they have no attachment to the social system , then our economic , legal , and political systems can not function properly either .",crime,"nmod:of(effects-11, crime-15) conj:and(poverty-13, crime-15) ",NN,,,,,,,,of effects,of,effects,,,and,poverty,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Because of young people 's inability to make wise decisions , we are witnessing a phenomenal rise in the incidence of juvenile crime and delinquency , teen-age pregnancies , youth unemployment , suicide , and school dropouts ( in Florida alone , about 50 percent of youth do not graduate from high school ) .",crime,"case(crime-23, of-21) amod(crime-23, juvenile-22) cc(crime-23, and-24) conj:and(crime-23, delinquency-25) conj:and(crime-23, pregnancies-28) conj:and(crime-23, unemployment-31) conj:and(crime-23, suicide-33) cc(crime-23, and-35) conj:and(crime-23, dropouts-37) nmod:of(incidence-20, crime-23) ",NN,,,,,,,,of incidence,of,incidence,,,"and, and, and, and, and","delinquency, pregnancies, unemployment, suicide, dropouts",,juvenile,,,,,,,,,,,,singular,,[],unknown,unknown
"Students selected a personal "" youth problem "" to study ( such as vocations , recreation , health , or problems that might lead them to crime ) and were organized into committees to use drama , community activities , and other group methods .",crime,"case(crime-27, to-26) nmod:to(lead-24, crime-27) ",NN,,,,,,,,to lead,to,lead,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Of the nine others implicated in this crime , four were hanged on July 7th , and four were imprisoned .",crime,"case(crime-8, in-6) det(crime-8, this-7) nmod:in(implicated-5, crime-8) ",NN,,,,,,,,in implicated,in,implicated,,this,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The first Europeans to arrive in Australia were reluctant colonists who had committed crimes against the Crown and had been sentenced to "" transportation beyond the seas . """,crimes,"nmod:against(crimes-14, Crown-17) dobj(committed-13, crimes-14) ",NNS,,VBN,,,committed,commit,,against Crown,against,,crown,,,,,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
