sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"If $100,000-a-year professors at one of America 's most expensive and "" elitist "" schools want to posture as good comrades , populists , and the vanguard of class struggle , probably no lasting harm is done -- to them .",harm,"advmod(harm-36, probably-33) neg(harm-36, no-34) amod(harm-36, lasting-35) nsubjpass(done-38, harm-36) ",NN,no,VBN,done,do,,,,,,,,,,,,,lasting,[0.015],[0.02708333333333333],[0.0025],[0.659375],[0.025],[0.035],[0.0225],[0.0025],[0.02354166666666667],[0.0425],[0.0075],[0.1175],[0.02],,,,probably,,,,,,,,singular,linked,ambiguous,,unknown,verdical
Mill famously thought he found a natural limit to free speech : the point at which it caused palpable harm .,harm,"amod(harm-20, palpable-19) dobj(caused-18, harm-20) ",NN,,VBD,,,caused,cause,,,,,,,,,,,palpable,[0.07],[0.0725],[0.01],[0.1175],[0.0375],[0.032],[0.0475],[0.0225],[0.1575],[0.1315],[0.0975],[0.16649999999999998],[0.0375],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Several professors have told me that the new general education requirement may have a different effect from the one intended , that it may do more harm than good .",harm,"amod(harm-27, more-26) dobj(do-25, harm-27) ",NN,,VB,,,do,do,,,,,,,,,,,more,[0.053125],[0.12375],[0.01375],[0.09625],[0.133125],[0.011875],[0.086],[0.0475],[0.10337500000000001],[0.025],[0.04875],[0.0225],[0.235],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"<p> But one may salute the sarcasm which adds that "" the only harm that has been done is the bruise administered to the theory that authors are separate and do not matter .",harm,"det(harm-14, the-12) amod(harm-14, only-13) ref(harm-14, that-15) acl:relcl(harm-14, done-18) nsubjpass(done-18, harm-14) nsubj(bruise-21, harm-14) ",NN,,VBZ,is,be,,,,,,,,the,definite article,,,,only,[0.004375],[0.02479166666666667],[0.0025],[0.04],[0.065625],[0.0025],[0.04],[0.005],[0.027291666666666665],[0.0175],[0.03916666666666666],[0.0175],[0.71375],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"Since it is rational for each to act to preserve himself , and since each has a blameless liberty to do whatever he must , no one can be said to be blameworthy or irrational when his self-preserving actions impose harms on others . """,harms,"dobj(impose-40, harms-41) ",NNS,,VB,,,impose,impose,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"And if punitive remedies are inappropriate to an entitlement conception of justice , what sanctions would conform to it in cases of personal injury where the realized harm was intended by its perpetrator -- and , more problematically , in the limiting case of murder ?",harm,"det(harm-28, the-26) amod(harm-28, realized-27) nsubjpass(intended-30, harm-28) ",NN,,VBN,intended,intend,,,,,,,,the,definite article,,,,realized,[0.09120833333333334],[0.086875],[0.025],[0.07325],[0.09316666666666666],[0.0425],[0.09125],[0.0225],[0.11175],[0.08708333333333332],[0.05],[0.18791666666666665],[0.0375],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"The benefits from a vaccination program and the harms associated with industrial pollution are often cited as examples of positive and negative externalities , respectively .",harms,"det(harms-9, the-8) acl(harms-9, associated-10) nmod:from(benefits-2, harms-9) conj:and(program-6, harms-9) ",NNS,,,,,,,,from benefits,from,benefits,,the,definite article,and,program,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,,,unknown,unknown
", serious threat to one 's life or physical integrity ; serious threat or harm to one 's children , spouse , or other close relatives and friends ; sudden destruction of one 's home or community ; or seeing another person who has recently been , or is being , seriously injured or killed as the result of an accident or physical violence .",harm,"conj:or(life-7, harm-15) conj:or(threat-13, harm-15) ",NN,,,,,,,,,,,,,,"or, or","life, threat",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"If the rabbi turns them in to state authorities , it is not ' difficult to imagine the harm -- perhaps irreparable -- to their relationship .",harm,"det(harm-19, the-18) dep(harm-19, irreparable-22) dobj(imagine-17, harm-19) ",NN,,VB,,,imagine,imagine,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"It would be tragic if these laws increased , rather than diminished , the potential harm to minors at risk .",harm,"det(harm-16, the-14) amod(harm-16, potential-15) nmod:to(harm-16, minors-18) advcl(tragic-4, harm-16) conj:negcc(increased-8, harm-16) ",NN,,,,,,,,to minors,to,,minors,the,definite article,negcc,increased,,potential,[0.0175],[0.01875],[0.01],[0.05583333333333333],[0.0325],[0.01875],[0.7125],[0.005],[0.02291666666666667],[0.03875],[0.0175],[0.035],[0.015],,,,,,,,,,,,singular,linked,,,unknown,unknown
