sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Even when it serves ideal justice , bounty from another man 's guilt weakens .",justice,"amod(justice-6, ideal-5) dobj(serves-4, justice-6) ",NN,,VBZ,,,serves,serve,,,,,,,,,,,ideal,[0.161875],[0.05],[0.0115],[0.11083333333333334],[0.035625],[0.060625],[0.109375],[0.025],[0.10016666666666665],[0.14],[0.0625],[0.035],[0.0975],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"If there is no overall community with an agreed-upon vision of liberty and justice , if all we have is a collection of racial and ethnic cultures , lacking any common bonds , then we have no means to mobilize public opinion on behalf of people who are not members of our particular group .",justice,"nmod:of(vision-10, justice-14) conj:and(liberty-12, justice-14) ",NN,,,,,,,,of vision,of,vision,,,,and,liberty,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> We-the middle classes , I mean , not merely the very rich-we have neglected you ; instead of justice we have offered you charity , and instead of sympathy , we have offered you hard and unreal advice ; but I think we are changing .",justice,"case(justice-20, instead-18) nmod:instead_of(offered-23, justice-20) ",NN,,,,,,,,instead_of offered,instead_of,offered,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> This mode of reading history does justice neither to the past nor to the present .,justice,"dep(justice-8, neither-9) dep(justice-8, present-16) dobj(does-7, justice-8) ",NN,,VBZ,,,does,do,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"Unfortunately , these abstract terms -- truth , beauty , justice , goodness , etc.",justice,"appos(truth-7, justice-11) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, truth",truth,,,,,,singular,bare singular,,,unknown,unknown
"For example , faculty and students who are very far from being racists , but who question the wisdom or justice of affirmative action policies , are regularly subjected to public charges of "" racism "" by their colleagues .",justice,"dobj(question-17, justice-21) conj:or(wisdom-19, justice-21) ",NN,,VBP,,,question,question,,,,,,,,or,wisdom,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,plural,EX-PL,countable,unknown
"Courses on ethics and contemporary moral problems are popular throughout the country , focusing on , among other things , justice .",justice,"case(justice-21, on-15) nmod:among(justice-21, things-19) nmod:on(focusing-14, justice-21) ",NN,,,,,,,,"among things, on focusing","among, on",focusing,things,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Whose conception of justice and which conception of rationality do these courses teach ?,justice,"case(justice-4, of-3) cc(justice-4, and-5) conj:and(justice-4, conception-7) nmod:of(conception-2, justice-4) ",NN,,,,,,,,of conception,of,conception,,,,and,conception,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The Issue of Racism <p> The dilemmas Rushton 's case seems to pose for anyone with a decent regard for both racial justice and free intellectual inquiry are manifold .,justice,"case(justice-23, for-20) det(justice-23, both-21) amod(justice-23, racial-22) nmod:for(regard-19, justice-23) ",NN,,,,,,,,for regard,for,regard,,both,other,,,,racial,[0.0525],[0.07516666666666666],[0.0125],[0.11125],[0.07],[0.03625],[0.16375],[0.025],[0.07250000000000001],[0.049166666666666664],[0.0975],[0.17691666666666667],[0.0575],,,,,,,,,,both,other,singular,linked,,O-DEN,countable,unknown
What ideas of justice and civility can legitimate a campaign against Rushton of such intensity ?,justice,"case(justice-4, of-3) cc(justice-4, and-5) conj:and(justice-4, civility-6) nmod:of(ideas-2, justice-4) ",NN,,,,,,,,of ideas,of,ideas,,,,and,civility,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
