sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Before I was able to finish full-length books , I knew that the key to understanding jungle warfare lay in "" The Thin Red Line "" by James Jones or that Erich M. Remarque 's "" All Quiet on the Western Front "" applied to trenches on Okinawa as well as to those in France .",key,"det(key-14, the-13) nmod:to(key-14, warfare-18) nsubj(lay-19, key-14) ",NN,,VBD,lay,lay,,,,to warfare,to,,warfare,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Learning about the goings-on in one 's old graduate program seemed innocent enough , though I do remember thinking that the rather slickly produced publication seemed just a bit vulgar and out of key with the Duke I had known .",key,"case(key-34, out-32) nmod:with(key-34, Duke-37) advcl:out_of(known-40, key-34) ",NN,,,,,,,,with Duke,with,,duke,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Considering the importance of words within an academic community , one sentence in this report is particularly striking : "" On too many campuses , incivility is a problem and , all too frequently , words are used , not as the key to understanding , but as weapons of assault . """,key,"neg(key-44, not-41) case(key-44, as-42) det(key-44, the-43) nmod:to(key-44, understanding-46) nmod:as(used-39, key-44) ",NN,not,,,,,,,"to understanding, as used","to, as",used,understanding,the,,,,,,,,,,,,,,,,singular,,[],unknown,verdical
"Descartes 's knowledge that he exists is a respite from doubt , but it is only in his subsequent discovery of what he is that he unearths the key which unlocks the door to knowledge of the world and its creatures .",key,"det(key-29, the-28) ref(key-29, which-30) acl:relcl(key-29, unlocks-31) dobj(unearths-27, key-29) nsubj(unlocks-31, key-29) ",NN,,VBZ,unlocks,unlock,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"The word they found which seemed the key to making translation between the spiritual and the material was difference , and in seizing upon this word they began to diverge from their teacher .",key,"det(key-8, the-7) xcomp(seemed-6, key-8) ",NN,,VBD,,,seemed,seem,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> At the end of the Pherwmerology of the Spirit , Hegel made the connection between difference and recognition the key to ethics .",key,"det(key-21, the-20) dep(key-21, to-22) dep(key-21, ethics-23) nmod:tmod(made-13, key-21) ",NN,,,,,,,,tmod made,tmod,made,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Since the key to changing minds is not better arguments but alternative vocabularies , his chief discursive tactic is to make the positions he opposes look bad by showing how limited and brittle they are , and to cast his own position in the most favorable light by revealing how many different issues it can illumine .",key,"det(key-3, the-2) nmod:to(key-3, minds-6) nsubj(arguments-10, key-3) ",NN,,VBZ,is,be,,,,to minds,to,,minds,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"A subject could answer a multiple-choice question by pressing one of the four function keys , F1 , F2 , F3 , or F4 .",keys,"case(keys-15, of-11) det(keys-15, the-12) nummod(keys-15, four-13) compound(keys-15, function-14) conj:or(keys-15, F3-21) cc(keys-15, or-23) conj:or(keys-15, F4-24) nmod:of(one-10, keys-15) ",NNS,,,,,,,,of one,of,one,,the,"or, or","f3, f4",function,,,,four,,,,,,,four,other,plural,,['O-DEN'],countable,unknown
<p> Return key .,key,"compound(key-3, Return-2) dobj(<p>-1, key-3) ",NN,,,,,,,,,,,,,,,return,,,,,,,,,,,,,singular,,[],unknown,unknown
"Except when a multiple-choice answer was required , the subject could advance from the one screen to the next at any time by pressing the Return key .",key,"det(key-27, the-25) compound(key-27, Return-26) dobj(pressing-24, key-27) ",NN,,VBG,,,pressing,press,,,,,,the,,,return,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
