sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
Tolstoy simply wanted to be left in peace .,peace,"case(peace-8, in-7) nmod:in(left-6, peace-8) ",NN,,,,,,,,in left,in,left,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"I maintain that peace in the home , family respectability and the health of husband and wife were more securely preserved by Greek sexual mores than they are by ours .",peace,"nmod:in(peace-4, home-7) nmod:in(peace-4, respectability-10) nmod:in(peace-4, health-13) nsubjpass(preserved-21, peace-4) ",NN,,VBN,preserved,preserve,,,,"in home, in respectability, in health","in, in, in",,"home, respectability, health",,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Primary responsibility rests with Keane , who appears to have decided simply to buy peace .",peace,"dobj(buy-14, peace-15) ",NN,,VB,,,buy,buy,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Those who forsake this duty by giving in to student demands for the sake of peace and quiet teach the lesson that moral virtue can be separated from intellectual conscientiousness , that noise and pressure are acceptable substitutes for reasoned discourse , and , finally , that the end justifies the means .",peace,"case(peace-16, of-15) cc(peace-16, and-17) conj:and(peace-16, quiet-18) nmod:of(sake-14, peace-16) ",NN,,,,,,,,of sake,of,sake,,,and,quiet,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The era of the Isms at war -- capitalism , nationalism , socialism -- has ended , and peace has produced a political map whose roads are too tangled for professional racers ever to follow .",peace,"nsubj(produced-21, peace-19) ",NN,,VBN,produced,produce,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> What I believe Naipaul has discovered late in his life in his personal encounter with the conflict between death as true grief , on the one hand , and chronic melancholy or depression , on the other , is something about the dignity of the irrational and the necessity of making not peace with it ( which is impossible ) but a truce .",peace,"neg(peace-54, not-53) nmod:with(peace-54, it-56) dep(peace-54, impossible-60) nmod:but(peace-54, truce-64) dobj(making-52, peace-54) ",NN,not,VBG,,,making,make,,"with it, but truce","with, but",,"it, truce",,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,verdical
"Out of this truce , art and what passes for peace in human affairs may perhaps come .",peace,"nmod:in(peace-11, affairs-14) nsubj(come-17, peace-11) ",NN,,VB,come,come,,,,in affairs,in,,affairs,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The second is how the desires democracies typically create for wealth , freedom , and peace can be adjusted to the fact that those desires can not be equally accommodated economically , socially , and politically .",peace,"nsubjpass(adjusted-19, peace-16) ",NN,,VBN,adjusted,adjust,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Underlying every denial pattern is a fear of not being able to handle conflict and a deep human need to maintain peace , balance , and harmony at all costs .",peace,"conj:and(peace-22, balance-24) cc(peace-22, and-26) conj:and(peace-22, harmony-27) dobj(maintain-21, peace-22) ",NN,,VB,,,maintain,maintain,,,,,,,"and, and","balance, harmony",,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The principal figures are Njord , Freyr , and Freya , all more or less connected with fertility , peace , and abundance .",peace,"nmod:with(connected-16, peace-20) conj:and(fertility-18, peace-20) ",NN,,,,,,,,with connected,with,connected,,,and,fertility,,,,,,,,,,,,,,singular,,[],unknown,unknown
