sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
The crimes include such activities as : physically shipping cocaine into the United States from abroad ; transferring payments for the drugs into US financial institutions and other investments ; and robbery committed by cocaine addicts seeking money to buy more drugs .,robbery,"nsubj(committed-33, robbery-32) ",NN,,VBN,committed,commit,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"No independent counsel has investigated a murder , a robbery , or a stolen vehicle .",robbery,"det(robbery-10, a-9) dobj(investigated-5, robbery-10) conj:or(murder-7, robbery-10) ",NN,,VBN,,,investigated,investigate,,,,,,a,or,murder,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"65 Perhaps most egregiously , the arbitrator in Chaver and Canadian Imperial Bank of Commerce ordered the reinstatement of a bank accountant who lived with a man with a series of convictions for bank robbery .",robbery,"case(robbery-35, for-33) compound(robbery-35, bank-34) nmod:for(convictions-32, robbery-35) ",NN,,,,,,,,for convictions,for,convictions,,,,,bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"But justice demands that the domination of the whites should not involve the worst consequences -- slavery , robbery , torture , assassination-for the blacks .",robbery,"dep(assassination-for-23, robbery-19) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"His reputation as an energetic agent of reform was secured by his effective campaign against thuggee , the cult of highway robbery and murder that rivaled suttee in horrifying British minds .",robbery,"case(robbery-22, of-20) compound(robbery-22, highway-21) cc(robbery-22, and-23) conj:and(robbery-22, murder-24) nmod:of(cult-19, robbery-22) ",NN,,,,,,,,of cult,of,cult,,,and,murder,highway,,,,,,,,,,,,,singular,,[],unknown,unknown
"You know , first forgery , then robbery , now this .",robbery,"amod(robbery-8, first-4) compound(robbery-8, forgery-5) advmod(robbery-8, then-7) dep(this-11, robbery-8) ",NN,,,,,,,,,,,,,,,forgery,first,,,,then,,,,,,,,singular,,[],unknown,unknown
"It enforces laws that prohibit one person from physical aggression against another -- from murder , assault , robbery , trespass , and the like -- and enforces the terms of private contracts .",robbery,"dep(another-12, robbery-19) conj:and(assault-17, robbery-19) ",NN,,,,,,,,,,,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Older frail persons who go shopping , day or night ( but especially at night ) , without an escort place themselves at risk of robbery and assault .",robbery,"case(robbery-26, of-25) cc(robbery-26, and-27) conj:and(robbery-26, assault-28) nmod:of(risk-24, robbery-26) ",NN,,,,,,,,of risk,of,risk,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Indeed , even though PLO chief Yasser Arafat had supported Saddam Hussein 's robbery of Kuwait ( a PLO benefactor ) , Mr. Bush , in the aftermath of the Gulf war , virtually exonerated Saddam 's comrade-in-arms by the innocuous statement : "" He bet on the wrong horse . """,robbery,"nmod:poss(robbery-14, Hussein-12) nmod:of(robbery-14, Kuwait-16) appos(robbery-14, benefactor-20) dobj(supported-10, robbery-14) ",NN,,VBN,,,supported,support,,of Kuwait,of,,kuwait,,,,,,,hussein,,,"modified, benefactor",,benefactor,,,,,singular,ambiguous,[],unknown,unknown
"It was too costly and dangerous to send such a valuable work by land , because of the poor condition of the roads and the possibility of bad weather and robbery along the way.",robbery,"nmod:of(possibility-26, robbery-31) conj:and(weather-29, robbery-31) ",NN,,,,,,,,of possibility,of,possibility,,,and,weather,,,,,,,,,,,,,,singular,,[],unknown,unknown
There were others about Jesse James and how he tortured his robbery victims .,robbery,"compound(victims-13, robbery-12) ",NN,,VBZ,,,tortured,torture,,,,,,,,,victims,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"In addition , the destruction wreaked by the invasion , plus the three days of looting and robbery which followed in its wake , had created a bill of over $1.5 billion in damage and losses .",robbery,"nmod:of(days-14, robbery-18) conj:and(looting-16, robbery-18) ",NN,,,,,,,,of days,of,days,,,and,looting,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Donald "" Ducky "" Brunner is a career criminal and police informant serving 165 years in prison for various crimes , including armed robbery .",robbery,"case(robbery-25, including-23) amod(robbery-25, armed-24) nmod:including(criminal-10, robbery-25) ",NN,,,,,,,,including criminal,including,criminal,,,,,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"In that case , the Court of Appeals for the 8th Circuit ruled that the double jeopardy clause barred the sentencing of a robbery defendant as a repeat offender .",robbery,"compound(defendant-25, robbery-24) ",NN,,,,,,,,,,,,,,,defendant,,,,,,,,,,,,,singular,,[],unknown,unknown
"Furthermore , they are not supposed to commit any other type of crime except robbery .",robbery,"case(robbery-15, except-14) nmod:except(commit-8, robbery-15) ",NN,,,,,,,,except commit,except,commit,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> Four-time offender B. gave the following explanation for the tattoos on his body : <p> My first three convictions were for robbery .,robbery,"nsubj(robbery-23, <p>-16) cop(robbery-23, were-21) case(robbery-23, for-22) parataxis(gave-5, robbery-23) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"A picture of a beetle , zhuk , indicates a pickpocket , but when the word zhuk is spelled out , it means "" good luck with your robbery . """,robbery,"case(robbery-29, with-27) nmod:poss(robbery-29, your-28) nmod:with(indicates-9, robbery-29) ",NN,,,,,,,,with indicates,with,indicates,,,,,,,,your,,,,,,,,,,singular,,[],unknown,unknown
"Theseus , their mythical ancestor , trespassed into the underworld , intent on robbery .",robbery,"case(robbery-14, on-13) nmod:on(trespassed-7, robbery-14) ",NN,,,,,,,,on trespassed,on,trespassed,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"A person attempting a forcible felony such as kidnapping , hijacking , arson , armed robbery , or rape kills a person in the process .",robbery,"amod(robbery-16, armed-15) nmod:such_as(felony-6, robbery-16) conj:or(kidnapping-9, robbery-16) ",NN,,,,,,,,such_as felony,such_as,felony,,,or,kidnapping,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"Criminal record : Reckless driving ( $150 fine ) , possession of cocaine ( sentence : 3 months probation ) , armed robbery ( sentence : 2 years , state penitentiary ) , possession of marijuana and amphetamines ( sentence : 6 months probation ) <p> Testimony #1 ( sworn statement after having been picked up by the police on the night of the killing ) : We were over at my place playing cards tonight .",robbery,"amod(robbery-24, armed-23) dep(robbery-24, sentence-26) appos(driving-5, robbery-24) ",NN,,,,,,,,,,,,,,,,armed,,,,,"modifier, driving",driving,,,,,,singular,,[],unknown,unknown
<p> Several homicide cases involved robbery .,robbery,"dobj(involved-5, robbery-6) ",NN,,VBD,,,involved,involve,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"In the second case the age of the three perpetrators ( fourteen , fifteen , and seventeen ) may explain why they received relatively light punishment for a homicide during a robbery .",robbery,"case(robbery-32, during-30) det(robbery-32, a-31) nmod:during(received-23, robbery-32) ",NN,,,,,,,,during received,during,received,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"In the case of the 1906 street car conductor robbery Clarence Gathright also plea bargained , possibly due to fear of the death penalty.",robbery,"compound(Gathright-12, robbery-10) ",NN,,VB,bargained,bargain,,,,,,,,,,,gathright,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> In terms of physical setting , African Americans killed whites in the following locations ; four in saloons , five on streets near them , two robbery victims by the railroad center , and one robbery victim on a street in South Omaha .",robbery,"compound(victims-29, robbery-28) ",NN,,VBD,,,killed,kill,,,,,,,,,victims,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> In terms of physical setting , African Americans killed whites in the following locations ; four in saloons , five on streets near them , two robbery victims by the railroad center , and one robbery victim on a street in South Omaha .",robbery,"compound(victim-38, robbery-37) ",NN,,VBD,,,killed,kill,,,,,,,,,victim,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
