sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Needles , scissors , and thimbles were highly prized trade goods .",scissors,"conj:and(Needles-1, scissors-3) nsubj(goods-11, scissors-3) ",NNS,,VBD,were,be,,,,,,,,,and,needles,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"Creek women took up European needles and scissors with skill and imagination , transforming Creek fashion into an exotic mix of native and European materials and styles.",scissors,"dobj(took-3, scissors-8) conj:and(needles-6, scissors-8) ",NNS,,VBD,,,took,take,,,,,,,and,needles,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"10 Migrants from the southern sierra state of Puno , for example , began performing their local indigenous-styled panpipe music in Lima after 1970 just as the "" scissors dance "" with harp and violin blossomed among Ayacuchano from the department of Ayacucho migrants.",scissors,"case(scissors-29, after-23) nummod(scissors-29, 1970-24) amod(scissors-29, the-27) nmod:after(began-14, scissors-29) ",NNS,,,,,,,,after began,after,began,,,,,,the,,,1970,,,,,,,1970,other,ambiguous,,['O-DEN'],countable,unknown
"Crimson , blue , green , and bright orange sashes were attached to them , and some had two blades , like scissors .",scissors,"case(scissors-23, like-22) nmod:like(had-18, scissors-23) ",NNS,,,,,,,,like had,like,had,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Early privateers like Dampier provided the Cuna with beads , knives , scissors , and mirrors ( Dampier 1906:54 ) .",scissors,"nmod:with(provided-5, scissors-13) conj:and(beads-9, scissors-13) ",NNS,,,,,,,,with provided,with,provided,,,and,beads,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Minnie Aldridge , for instance , decided to end an ongoing dispute with another inmate by attacking the woman with a pair of scissors while they were both employed in the sewing room.",scissors,"case(scissors-24, of-23) nmod:of(pair-22, scissors-24) ",NNS,,,,,,,,of pair,of,pair,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Margaret Webster , another frequent offender who was serving a three month term for willful damage and being on premises illegally , concealed a pair of scissors and a small screwdriver in her boots when cleaning the sewing room at the Lyttelton prison .",scissors,"case(scissors-27, of-26) cc(scissors-27, and-28) conj:and(scissors-27, screwdriver-31) nmod:of(pair-25, scissors-27) ",NNS,,,,,,,,of pair,of,pair,,,and,screwdriver,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"There are indeed newspapers , many of them even , but the scissors of the censorship cut them in so emasculating a manner that they no longer have any potency .",scissors,"det(scissors-13, the-12) nmod:of(scissors-13, censorship-16) nsubj(cut-17, scissors-13) ",NNS,,VBD,cut,cut,,,,of censorship,of,,censorship,the,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"Three Orientations to the Arts Curriculum The Little-Intervention Orientation <p> Lily Jones , a second-grade teacher , pours glitter , yarn , cotton balls , and other materials into little plastic bowls and arranges them neatly on a back table between scissors and pine cones .",scissors,"case(scissors-42, between-41) cc(scissors-42, and-43) conj:and(scissors-42, cones-45) nmod:between(table-40, scissors-42) ",NNS,,,,,,,,between table,between,table,,,and,cones,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"In addition , there is an embroidery hoop visible inside it , and other sewing accessories , including thread and scissors , are on the table .",scissors,"nmod:including(accessories-16, scissors-21) conj:and(thread-19, scissors-21) ",NNS,,,,,,,,including accessories,including,accessories,,,and,thread,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
