sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"England , we should recall , stood in the first few decades after the war at the forefront of planning internationally , and at the forefront of Europe in the provision of good housing for the working classes .",war,"case(war-15, after-13) det(war-15, the-14) nmod:after(stood-7, war-15) ",NN,,,,,,,,after stood,after,stood,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"<p> When World War I began , Sonya ignored the brief wave of patriotism that swept the country as Russia entered the war .",war,"det(war-23, the-22) dobj(entered-21, war-23) ",NN,,VBD,,,entered,enter,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"She died of pneumonia ( as Tolstoy had ) in 1919 , at the age of seventy-five , having lived through four tsars , two famines , several wars , and revolution .",wars,"amod(wars-29, several-28) nmod:through(lived-20, wars-29) conj:and(tsars-23, wars-29) ",NNS,,,,,,,,through lived,through,lived,,,,and,tsars,,several,[0.05416666666666667],[0.09766666666666668],[0.010875],[0.08],[0.12979166666666667],[0.010375],[0.05858333333333333],[0.0775],[0.12104166666666666],[0.023],[0.0725],[0.0245],[0.24],,,,,,,,,,several,fuzzy,plural,linked,,F+Ns,countable,unknown
"When I was a student in France before the war , he was very popular with most young people , who read his little book "" Les Nourritures terrestres "" as a sort of pagan New Testament calling on them to revolt against the religious and moral conventions of French bourgeois society , and to achieve the fullest possible expression of their individual temperaments .",war,"case(war-10, before-8) det(war-10, the-9) nmod:before(student-5, war-10) ",NN,,,,,,,,before student,before,student,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
One friend whom I met after the war had been careful to keep his son out of reach of Gide 's attentions .,war,"case(war-8, after-6) det(war-8, the-7) nmod:after(met-5, war-8) ",NN,,,,,,,,after met,after,met,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"About the time of the 1914-18 war , he broke his own rule about only desiring boys by actually falling in love with one , at least for a time .",war,"case(war-7, of-4) det(war-7, the-5) nummod(war-7, 1914-18-6) nmod:of(time-3, war-7) ",NN,,,,,,,,of time,of,time,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The textbooks concentrated on presidents , wars , national politics , and issues of state .",wars,"nmod:on(concentrated-3, wars-7) conj:and(presidents-5, wars-7) ",NNS,,,,,,,,on concentrated,on,concentrated,,,,and,presidents,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Throughout human history , the clash of different cultures , races , ethnic groups , and religions has often been the cause of bitter hatred , civil conflict , and international war .",war,"amod(war-32, international-31) nmod:of(cause-22, war-32) conj:and(hatred-25, war-32) ",NN,,,,,,,,of cause,of,cause,,,,and,hatred,,international,[0.009166666666666667],[0.014791666666666668],[0.0025],[0.04833333333333333],[0.04583333333333333],[0.011666666666666667],[0.03],[0.0125],[0.021458333333333336],[0.011666666666666667],[0.76],[0.0008333333333333333],[0.03125],,,,,,,,,,,,singular,linked,,,unknown,unknown
<p> The war on so-called Eurocentrism is intended to foster self-esteem among those who are not of European descent .,war,"det(war-3, The-2) nmod:on(war-3, Eurocentrism-6) nsubjpass(intended-8, war-3) nsubj(foster-10, war-3) ",NN,,VB,foster,foster,,,,on Eurocentrism,on,,eurocentrism,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"The Haudenosaunee political system was the Iroquois confederation of five ( later six ) Indian tribes in upper New York State , which conducted war and civil affairs through a council of chiefs , each with one vote .",war,"cc(war-25, and-26) conj:and(war-25, civil-27) compound(affairs-28, war-25) ",NN,,VBD,,,conducted,conduct,,,,,,,,and,civil,affairs,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
