sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"And he contrasts them unfavorably with Arab housing built without benefit of modernism , or government concern for the poor , or housing laws that guarantee subsidized and modern dwelling units to the poor .","And/CC he/PRP contrasts/VBZ them/PRP unfavorably/RB with/IN Arab/JJ housing/NN built/VBN without/IN benefit/NN of/IN modernism/NN ,/, or/CC government/NN concern/NN for/IN the/DT poor/JJ ,/, or/CC housing/NN laws/NNS that/WDT guarantee/VBP subsidized/JJ and/CC modern/JJ dwelling/NN units/NNS to/TO the/DT poor/JJ ./.","cc(contrasts-3, And-1) nsubj(contrasts-3, he-2) root(ROOT-0, contrasts-3) dobj(contrasts-3, them-4) advmod(housing-8, unfavorably-5) case(housing-8, with-6) amod(housing-8, Arab-7) nmod:with(contrasts-3, housing-8) acl(housing-8, built-9) case(benefit-11, without-10) nmod:without(built-9, benefit-11) case(modernism-13, of-12) nmod:of(benefit-11, modernism-13) cc(benefit-11, or-15) compound(concern-17, government-16) nmod:without(built-9, concern-17) conj:or(benefit-11, concern-17) case(poor-20, for-18) det(poor-20, the-19) nmod:for(concern-17, poor-20) cc(housing-8, or-22) compound(laws-24, housing-23) nmod:with(contrasts-3, laws-24) conj:or(housing-8, laws-24) nsubj(guarantee-26, laws-24) ref(laws-24, that-25) acl:relcl(laws-24, guarantee-26) amod(units-31, subsidized-27) cc(subsidized-27, and-28) conj:and(subsidized-27, modern-29) amod(units-31, modern-29) compound(units-31, dwelling-30) dobj(guarantee-26, units-31) case(poor-34, to-32) det(poor-34, the-33) nmod:to(units-31, poor-34)  ",units,31,"amod(units-31, subsidized-27) amod(units-31, modern-29) compound(units-31, dwelling-30) nmod:to(units-31, poor-34) dobj(guarantee-26, units-31) ",guarantee subsidized and modern dwelling units to the poor .,NNS,[],guarantee,VBP,object,,,guarantee,guarantee,[],"[('to', 'poor')]",['to'],[],['poor'],[],,[],[],[],['dwelling'],"['subsidized', 'modern']",[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,plural,[],unknown,unknown
"At the end of one block , in a unit identical to the others , is the Gardener 's Arms , a pub .","At/IN the/DT end/NN of/IN one/CD block/NN ,/, in/IN a/DT unit/NN identical/JJ to/TO the/DT others/NNS ,/, is/VBZ the/DT Gardener/NNP 's/POS Arms/NNS ,/, a/DT pub/NN ./.","case(end-3, At-1) det(end-3, the-2) nmod:at(Arms-20, end-3) case(block-6, of-4) nummod(block-6, one-5) nmod:of(end-3, block-6) case(unit-10, in-8) det(unit-10, a-9) nmod:in(Arms-20, unit-10) amod(unit-10, identical-11) case(others-14, to-12) det(others-14, the-13) nmod:to(identical-11, others-14) cop(Arms-20, is-16) det(Gardener-18, the-17) nmod:poss(Arms-20, Gardener-18) case(Gardener-18, 's-19) root(ROOT-0, Arms-20) det(pub-23, a-22) appos(Arms-20, pub-23)  ",unit,10,"case(unit-10, in-8) det(unit-10, a-9) amod(unit-10, identical-11) nmod:in(Arms-20, unit-10) ","one block , in a unit identical to the others ,",NN,[],,,,,,,,,"[('in', 'Arms')]",['in'],['Arms'],[],['a'],indefinite article,[],[],[],[],['identical'],[],[],[],['in'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
"If we look at the pictures in "" The Urban Villagers , "" we find units not very different from Little Italy in New York or the West Village tenements .","If/IN we/PRP look/VBP at/IN the/DT pictures/NNS in/IN ''/'' The/DT Urban/NNP Villagers/NNPS ,/, ''/'' we/PRP find/VBP units/NNS not/RB very/RB different/JJ from/IN Little/NNP Italy/NNP in/IN New/NNP York/NNP or/CC the/DT West/NNP Village/NNP tenements/NNS ./.","mark(look-3, If-1) nsubj(look-3, we-2) advcl(find-15, look-3) case(pictures-6, at-4) det(pictures-6, the-5) nmod:at(look-3, pictures-6) case(Villagers-11, in-7) det(Villagers-11, The-9) compound(Villagers-11, Urban-10) nmod:in(look-3, Villagers-11) nsubj(find-15, we-14) root(ROOT-0, find-15) nsubj(different-19, units-16) neg(different-19, not-17) advmod(different-19, very-18) xcomp(find-15, different-19) case(Italy-22, from-20) compound(Italy-22, Little-21) nmod:from(different-19, Italy-22) case(York-25, in-23) compound(York-25, New-24) nmod:in(Italy-22, York-25) cc(York-25, or-26) det(tenements-30, the-27) compound(tenements-30, West-28) compound(tenements-30, Village-29) nmod:in(Italy-22, tenements-30) conj:or(York-25, tenements-30)  ",units,16,"nsubj(different-19, units-16) ","Villagers , "" we find units not very different from Little",NNS,[],,,subject,,,,,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"<p> Wherever social scientists examine these things , they find a taste that architects on the whole do not find it interesting to satisfy , a taste for the low-rise , the small scale , the unit that gives some privacy , some control , some access to the ground , a small piece of land wholly under one 's control .","<p>/NNP Wherever/NNP social/JJ scientists/NNS examine/VBP these/DT things/NNS ,/, they/PRP find/VBP a/DT taste/NN that/IN architects/NNS on/IN the/DT whole/NN do/VBP not/RB find/VB it/PRP interesting/JJ to/TO satisfy/VB ,/, a/DT taste/NN for/IN the/DT low-rise/NN ,/, the/DT small/JJ scale/NN ,/, the/DT unit/NN that/WDT gives/VBZ some/DT privacy/NN ,/, some/DT control/NN ,/, some/DT access/NN to/TO the/DT ground/NN ,/, a/DT small/JJ piece/NN of/IN land/NN wholly/RB under/IN one/CD 's/POS control/NN ./.","compound(scientists-4, <p>-1) compound(scientists-4, Wherever-2) amod(scientists-4, social-3) nsubj(examine-5, scientists-4) ccomp(find-10, examine-5) det(things-7, these-6) dobj(examine-5, things-7) nsubj(find-10, they-9) root(ROOT-0, find-10) det(taste-12, a-11) dobj(find-10, taste-12) mark(find-20, that-13) nsubj(find-20, architects-14) case(whole-17, on-15) det(whole-17, the-16) nmod:on(architects-14, whole-17) aux(find-20, do-18) neg(find-20, not-19) ccomp(find-10, find-20) nsubj(interesting-22, it-21) nsubj(satisfy-24, it-21) xcomp(find-20, interesting-22) mark(satisfy-24, to-23) xcomp(interesting-22, satisfy-24) det(taste-27, a-26) nsubj(wholly-57, taste-27) case(low-rise-30, for-28) det(low-rise-30, the-29) nmod:for(taste-27, low-rise-30) det(scale-34, the-32) amod(scale-34, small-33) appos(taste-27, scale-34) det(unit-37, the-36) appos(taste-27, unit-37) nsubj(gives-39, unit-37) ref(unit-37, that-38) acl:relcl(unit-37, gives-39) det(privacy-41, some-40) dobj(gives-39, privacy-41) det(control-44, some-43) dobj(gives-39, control-44) det(access-47, some-46) appos(control-44, access-47) case(ground-50, to-48) det(ground-50, the-49) nmod:to(access-47, ground-50) det(piece-54, a-52) amod(piece-54, small-53) appos(ground-50, piece-54) case(land-56, of-55) nmod:of(piece-54, land-56) xcomp(find-10, wholly-57) case(control-61, under-58) nmod:poss(control-61, one-59) case(one-59, 's-60) nmod:under(wholly-57, control-61)  ",unit,37,"det(unit-37, the-36) ref(unit-37, that-38) acl:relcl(unit-37, gives-39) appos(taste-27, unit-37) nsubj(gives-39, unit-37) ","the small scale , the unit that gives some privacy ,",NN,[],gives,VBZ,subject,gives,give,,,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],"['modifier', 'taste']",['taste'],[],[],[],,,singular,linked,singular,[],unknown,unknown
"Perhaps Egypt should be studied as part of the African unit ( geographically , it is located on the African continent ) ; but placing it in one region rather than the other is not what most people think of as racism or bias .","Perhaps/RB Egypt/NNP should/MD be/VB studied/VBN as/IN part/NN of/IN the/DT African/JJ unit/NN -LRB-/-LRB- geographically/NN ,/, it/PRP is/VBZ located/VBN on/IN the/DT African/JJ continent/NN -RRB-/-RRB- ;/: but/CC placing/VBG it/PRP in/IN one/CD region/NN rather/RB than/IN the/DT other/JJ is/VBZ not/RB what/WP most/JJS people/NNS think/VBP of/IN as/IN racism/NN or/CC bias/NN ./.","advmod(studied-5, Perhaps-1) nsubjpass(studied-5, Egypt-2) aux(studied-5, should-3) auxpass(studied-5, be-4) root(ROOT-0, studied-5) case(part-7, as-6) nmod:as(studied-5, part-7) case(unit-11, of-8) det(unit-11, the-9) amod(unit-11, African-10) nmod:of(part-7, unit-11) nsubjpass(located-17, geographically-13) nsubjpass(located-17, it-15) auxpass(located-17, is-16) dep(unit-11, located-17) case(continent-21, on-18) det(continent-21, the-19) amod(continent-21, African-20) nmod:on(located-17, continent-21) cc(studied-5, but-24) csubj(is-34, placing-25) dobj(placing-25, it-26) case(region-29, in-27) nummod(region-29, one-28) nmod:in(placing-25, region-29) cc(region-29, rather-30) mwe(rather-30, than-31) det(other-33, the-32) nmod:in(placing-25, other-33) conj:negcc(region-29, other-33) conj:but(studied-5, is-34) neg(is-34, not-35) dobj(think-39, what-36) amod(people-38, most-37) nsubj(think-39, people-38) ccomp(is-34, think-39) case(racism-42, of-40) case(racism-42, as-41) nmod:as(think-39, racism-42) cc(racism-42, or-43) nmod:as(think-39, bias-44) conj:or(racism-42, bias-44)  ",unit,11,"case(unit-11, of-8) det(unit-11, the-9) amod(unit-11, African-10) dep(unit-11, located-17) nmod:of(part-7, unit-11) ","as part of the African unit ( geographically , it is",NN,[],,,,,,,,,"[('of', 'part')]",['of'],['part'],[],['the'],definite article,[],[],[],[],['African'],[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"But writing forty years later he remembers , "" There were gaps of hundreds of yards between the fortified positions of our units .","But/CC writing/VBG forty/JJ years/NNS later/RB he/PRP remembers/VBZ ,/, ''/'' There/EX were/VBD gaps/NNS of/IN hundreds/NNS of/IN yards/NNS between/IN the/DT fortified/JJ positions/NNS of/IN our/PRP$ units/NNS ./.","cc(were-11, But-1) dep(remembers-7, writing-2) amod(years-4, forty-3) nmod:tmod(writing-2, years-4) advmod(writing-2, later-5) nsubj(remembers-7, he-6) dep(were-11, remembers-7) expl(were-11, There-10) root(ROOT-0, were-11) nsubj(were-11, gaps-12) case(hundreds-14, of-13) nmod:of(gaps-12, hundreds-14) case(yards-16, of-15) nmod:of(hundreds-14, yards-16) case(positions-20, between-17) det(positions-20, the-18) amod(positions-20, fortified-19) nmod:between(yards-16, positions-20) case(units-23, of-21) nmod:poss(units-23, our-22) nmod:of(positions-20, units-23)  ",units,23,"case(units-23, of-21) nmod:poss(units-23, our-22) nmod:of(positions-20, units-23) ",the fortified positions of our units .,NNS,[],,,,,,,,,"[('of', 'positions')]",['of'],['positions'],[],[],,[],[],[],[],[],[],['our'],[],['of'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"Thus , on this account , in the closed , finite property case , I can accumulate two more units of property only by denying them to you and to everyone else , on the assumption that antecedently you had their use and enjoyment .","Thus/RB ,/, on/IN this/DT account/NN ,/, in/IN the/DT closed/JJ ,/, finite/JJ property/NN case/NN ,/, I/PRP can/MD accumulate/VB two/CD more/JJR units/NNS of/IN property/NN only/RB by/IN denying/VBG them/PRP to/TO you/PRP and/CC to/TO everyone/NN else/RB ,/, on/IN the/DT assumption/NN that/IN antecedently/RB you/PRP had/VBD their/PRP$ use/NN and/CC enjoyment/NN ./.","advmod(accumulate-17, Thus-1) case(account-5, on-3) det(account-5, this-4) nmod:on(accumulate-17, account-5) case(case-13, in-7) det(case-13, the-8) amod(case-13, closed-9) amod(case-13, finite-11) compound(case-13, property-12) nmod:in(accumulate-17, case-13) nsubj(accumulate-17, I-15) aux(accumulate-17, can-16) root(ROOT-0, accumulate-17) nummod(units-20, two-18) amod(units-20, more-19) dobj(accumulate-17, units-20) case(property-22, of-21) nmod:of(units-20, property-22) advmod(denying-25, only-23) mark(denying-25, by-24) advcl(accumulate-17, denying-25) advcl(accumulate-17, denying-25') conj:and(denying-25, denying-25') dobj(denying-25, them-26) case(you-28, to-27) nmod:to(denying-25, you-28) cc(denying-25, and-29) case(everyone-31, to-30) nmod:to(denying-25', everyone-31) advmod(everyone-31, else-32) case(assumption-36, on-34) det(assumption-36, the-35) nmod:on(accumulate-17, assumption-36) mark(had-40, that-37) advmod(had-40, antecedently-38) nsubj(had-40, you-39) dep(assumption-36, had-40) nmod:poss(use-42, their-41) dobj(had-40, use-42) cc(use-42, and-43) dobj(had-40, enjoyment-44) conj:and(use-42, enjoyment-44)  ",units,20,"nummod(units-20, two-18) amod(units-20, more-19) nmod:of(units-20, property-22) dobj(accumulate-17, units-20) ",I can accumulate two more units of property only by denying,NNS,[],accumulate,VB,object,,,accumulate,accumulate,[],"[('of', 'property')]",['of'],[],['property'],[],,[],[],[],[],['more'],[],[],['two'],[],[],[],[],[],[],[],two,other,plural,linked,ambiguous,['O-DEN'],countable,unknown
"<p> In this manner , items were scaled separately for the American and the Japanese manager groups , and each item was scaled above or below the group mean in standard deviation units .","<p>/RB In/IN this/DT manner/NN ,/, items/NNS were/VBD scaled/VBN separately/RB for/IN the/DT American/NNP and/CC the/DT Japanese/JJ manager/NN groups/NNS ,/, and/CC each/DT item/NN was/VBD scaled/VBN above/IN or/CC below/IN the/DT group/NN mean/NN in/IN standard/JJ deviation/NN units/NNS ./.","advmod(manner-4, <p>-1) case(manner-4, In-2) det(manner-4, this-3) nmod:in(scaled-8, manner-4) nsubjpass(scaled-8, items-6) auxpass(scaled-8, were-7) root(ROOT-0, scaled-8) advmod(scaled-8, separately-9) case(American-12, for-10) det(American-12, the-11) nmod:for(scaled-8, American-12) cc(American-12, and-13) det(groups-17, the-14) amod(groups-17, Japanese-15) compound(groups-17, manager-16) nmod:for(scaled-8, groups-17) conj:and(American-12, groups-17) cc(scaled-8, and-19) det(item-21, each-20) nsubjpass(scaled-23, item-21) nsubjpass(scaled-23', item-21) auxpass(scaled-23, was-22) conj:and(scaled-8, scaled-23) conj:and(scaled-8, scaled-23') conj:or(scaled-23, scaled-23') case(mean-29, above-24) cc(above-24, or-25) conj:or(above-24, below-26) det(mean-29, the-27) compound(mean-29, group-28) nmod:above(scaled-23, mean-29) nmod:below(scaled-23', mean-29) case(units-33, in-30) amod(units-33, standard-31) compound(units-33, deviation-32) nmod:in(scaled-23, units-33)  ",units,33,"case(units-33, in-30) amod(units-33, standard-31) compound(units-33, deviation-32) nmod:in(scaled-23, units-33) ",group mean in standard deviation units .,NNS,[],,,,,,,,,"[('in', 'scaled')]",['in'],['scaled'],[],[],,[],[],[],['deviation'],['standard'],[],[],[],['in'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Ideally , those who are most likely to become competent and dedicated members of operational units are those whose performance should be facilitated .","Ideally/RB ,/, those/DT who/WP are/VBP most/RBS likely/JJ to/TO become/VB competent/JJ and/CC dedicated/JJ members/NNS of/IN operational/JJ units/NNS are/VBP those/DT whose/WP$ performance/NN should/MD be/VB facilitated/VBN ./.","advmod(those-18, Ideally-1) nsubj(likely-7, those-3) nsubj(become-9, those-3) nsubj(those-18, those-3) ref(those-3, who-4) cop(likely-7, are-5) advmod(likely-7, most-6) acl:relcl(those-3, likely-7) mark(become-9, to-8) xcomp(likely-7, become-9) amod(members-13, competent-10) cc(competent-10, and-11) conj:and(competent-10, dedicated-12) amod(members-13, dedicated-12) xcomp(become-9, members-13) case(units-16, of-14) amod(units-16, operational-15) nmod:of(members-13, units-16) cop(those-18, are-17) root(ROOT-0, those-18) nmod:poss(performance-20, those-18) ref(those-18, whose-19) nsubjpass(facilitated-23, performance-20) aux(facilitated-23, should-21) auxpass(facilitated-23, be-22) acl:relcl(those-18, facilitated-23)  ",units,16,"case(units-16, of-14) amod(units-16, operational-15) nmod:of(members-13, units-16) ",and dedicated members of operational units are those whose performance should,NNS,[],,,,,,,,,"[('of', 'members')]",['of'],['members'],[],[],,[],[],[],[],['operational'],[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"<p> 
"They are complex unities involving decisions , historical contexts surrounding the decisions .","They/PRP are/VBP complex/JJ unities/NNS involving/VBG decisions/NNS ,/, historical/JJ contexts/NNS surrounding/VBG the/DT decisions/NNS ./.","nsubj(unities-4, They-1) cop(unities-4, are-2) amod(unities-4, complex-3) root(ROOT-0, unities-4) case(decisions-6, involving-5) nmod:involving(unities-4, decisions-6) amod(contexts-9, historical-8) appos(decisions-6, contexts-9) acl(contexts-9, surrounding-10) det(decisions-12, the-11) dobj(surrounding-10, decisions-12)  ",unities,4,"nsubj(unities-4, They-1) cop(unities-4, are-2) amod(unities-4, complex-3) nmod:involving(unities-4, decisions-6) root(ROOT-0, unities-4) ","They are complex unities involving decisions , historical contexts",NNS,[],are,VBP,object,,,are,be,[],"[('involving', 'decisions')]",['involving'],[],['decisions'],[],,[],[],[],[],['complex'],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,plural,[],unknown,unknown
